,lat,lon,depth,time,evid,nass,ml,sdobs,etype,matchid
0,51.8342,-177.8446,13.8494,1599000344.32977,53,12,1.46,0.5562,-,missed
1,52.2146,-170.345,26.6194,1599156930.55204,249,14,2.14,0.5553,-,missed
2,52.762,-169.4595,23.1984,1599171920.09424,266,12,1.7,0.8529,-,missed
3,51.4929,-177.6523,55.0094,1599179640.39547,280,37,2.08,0.3442,-,missed
4,51.5653,-177.8025,63.1669,1599353699.91902,523,29,2.19,0.3533,-,missed
5,52.0025,-176.0087,126.86,1599475150.11994,693,17,2.12,0.33,-,missed
6,51.428,-176.1876,25.3305,1599496370.19395,699,25,1.81,0.2643,-,missed
7,50.8725,-173.9399,14.2619,1599561087.78388,800,29,2.24,0.684,-,missed
8,53.0801,-170.2685,122.667,1599572158.4737,807,21,2.4,0.6508,-,missed
9,53.1948,-166.7132,19.8479,1599619653.72267,908,15,1.32,0.3087,-,missed
10,54.4747,-171.0564,5.3821,1599634505.07502,849,35,2.48,0.7783,-,missed
11,51.148,-177.6652,19.95,1599649443.04221,863,28,1.92,0.3479,-,missed
12,51.2413,-168.6214,7.5061,1599665154.18009,919,19,2.42,0.4672,-,missed
13,53.1033,-166.7185,21.4857,1599704054.13686,1033,14,1.32,0.3436,-,missed
14,51.4794,-176.1483,24.0084,1599751117.92627,1047,21,1.51,0.397,-,missed
15,52.3079,-176.0345,210.1571,1599790039.63158,1063,18,2.37,0.3538,-,missed
16,51.6288,-168.0551,33.682,1599834442.73131,1143,20,2.01,0.3316,-,missed
17,52.3837,-169.5403,32.3714,1599862279.3701,1180,13,1.84,0.2996,-,missed
18,53.6198,-166.7995,74.4104,1599879999.29008,1212,32,2.38,0.3287,-,missed
19,54.147,-165.9673,4.8864,1599896706.72531,1232,15,1.09,0.3751,a,missed
20,53.7521,-165.1622,53.1322,1599958677.52018,1478,21,1.61,0.3376,-,missed
21,52.1563,-174.289,148.7697,1600010218.67892,1425,32,2.37,0.3738,-,missed
22,51.4599,-177.5137,38.3104,1600031609.12694,1515,34,1.6,0.3858,-,missed
23,54.3411,-165.5546,159.1774,1600060378.37915,1663,23,2.35,0.4895,-,missed
24,50.9914,-173.456,13.3745,1600097881.70677,1670,21,2.22,0.4828,-,missed
25,51.9775,-175.4149,230.5798,1600099727.60625,1627,33,2.35,0.6042,-,missed
26,50.3974,-173.2291,9.8139,1600103434.89904,1671,18,2.23,0.5067,-,missed
27,51.4012,-176.1482,21.3417,1600105243.44964,1631,17,1.36,0.1943,-,missed
28,52.5853,-169.5343,38.6954,1600111776.81087,1639,18,2.37,0.6383,-,missed
29,51.572,-175.2063,25.3854,1600130232.30222,1793,18,1.37,0.5835,-,missed
30,53.2944,-165.6647,48.5952,1600131860.04296,1794,14,1.85,0.328,-,missed
31,51.5689,-171.1509,25.0847,1600139628.50899,1796,25,2.61,0.4758,-,missed
32,53.8292,-166.361,88.3981,1600182697.24581,1809,12,1.34,0.1999,-,missed
33,51.508,-175.9575,24.3669,1600227350.47179,1830,13,1.61,0.169,-,missed
34,51.3805,-177.6339,29.2869,1600283884.65539,1926,15,1.62,0.3672,-,missed
35,51.0593,-171.8157,6.0095,1600328552.40826,1989,20,2.63,0.6052,-,missed
36,51.2845,-177.6469,25.6195,1600390956.3313,1994,33,1.83,0.497,-,missed
