,lat,lon,depth,time,evid,nass,ml,sdobs,etype,matchid
0,51.5414,-176.4464,35.7441,1598927572.70941,63,13,1.51,0.1868,-,0
1,51.8345,-177.8164,10.1895,1598944614.1756,15,20,1.87,0.5243,-,1
2,53.6105,-166.9044,75.9752,1598971072.27039,37,15,1.85,0.1803,-,2
3,51.1013,-176.3574,16.4628,1598997882.17313,51,19,2.13,0.2604,-,3
4,50.8181,-173.7013,29.0027,1599001202.17026,56,15,2.7,0.6936,-,4
5,53.4383,-165.2441,14.1719,1599024896.71557,92,15,1.59,0.3267,-,5
6,51.2815,-176.3678,25.5683,1599035603.45236,100,16,2.22,0.346,-,6
7,51.4141,-176.3582,24.265,1599106423.24387,186,39,2.05,0.4135,-,7
8,53.3008,-167.1648,28.1029,1599126518.62107,215,16,1.2,0.1783,-,8
9,51.5778,-176.9884,39.2187,1599198191.33107,382,22,1.54,0.3886,-,9
10,51.7349,-174.391,27.8485,1599198526.14155,300,25,2.1,0.2354,-,10
11,53.3091,-167.0507,25.535,1599201009.15946,384,17,1.09,0.3483,-,11
12,51.3485,-176.9402,21.9792,1599206467.72806,390,18,1.56,0.4055,-,12
13,51.9408,-173.8744,68.2913,1599207037.35286,314,25,2.16,0.2471,-,13
14,51.5642,-176.425,34.0494,1599221212.77641,334,21,1.59,0.2768,-,14
15,52.0169,-175.5734,91.2752,1599221736.14704,335,25,1.97,0.2775,-,15
16,53.4552,-165.2215,38.1174,1599281178.60189,414,15,1.98,0.0945,-,16
17,51.961,-176.9695,13.3877,1599284908.74405,419,15,1.34,0.3639,-,17
18,51.3188,-177.1504,41.9871,1599288640.53195,424,18,1.99,0.3206,-,18
19,53.6876,-165.9065,34.4121,1599290129.43986,427,14,1.49,0.1326,-,19
20,53.0666,-166.8349,63.9071,1599344261.49136,497,22,2.92,0.2521,-,20
21,51.7603,-174.8611,9.4013,1599369623.8484,615,12,1.72,0.6707,-,21
22,51.072,-176.2419,25.4783,1599389173.62837,619,16,1.66,0.3959,-,22
23,51.7373,-176.6455,66.2297,1599398491.41283,624,21,1.79,0.2884,-,23
24,51.4784,-175.9336,25.6137,1599402488.75486,626,22,1.89,0.6872,-,24
25,51.2553,-177.663,25.5953,1599428413.53665,603,30,2.4,0.4341,-,25
26,53.5306,-167.4361,6.1273,1599478999.28577,659,24,2.12,0.4336,-,26
27,51.5495,-167.6442,2.1815,1599484224.7139,696,24,2.83,0.3121,-,27
28,51.8712,-175.3164,71.9407,1599495721.078,698,14,1.59,0.1654,-,28
29,51.6387,-176.4823,46.0252,1599510127.30114,678,35,2.04,0.3388,-,29
30,51.6741,-177.1733,66.9295,1599535339.20441,715,44,2.17,0.486,-,30
31,53.7633,-166.6462,81.4651,1599574669.60868,743,20,1.65,0.3296,-,31
32,51.3016,-177.6762,39.9647,1599576887.22494,744,32,1.72,0.4693,-,32
33,53.4759,-167.5696,80.7226,1599625512.84251,835,24,1.81,0.3081,-,33
34,52.6814,-167.5391,25.5251,1599627165.13367,839,18,1.54,0.4769,-,34
35,51.8588,-173.7213,82.1645,1599653632.16664,915,17,1.75,0.2541,-,35
