,lat,lon,depth,time,evid,nass,ml,sdobs,etype
0,53.4639,-166.0567,62.2655,1598921763.23087,12,7,-999.0,0.2965,-
1,54.0327,-165.8864,0.0593,1598923543.23599,13,10,2.23,0.8202,-
2,51.7287,-176.0479,52.1905,1598926052.38325,14,6,-999.0,0.3093,-
8,51.552,-176.2648,50.0853,1598972194.75788,21,10,1.94,0.5963,-
11,53.618,-168.2587,95.8331,1599015212.76756,24,4,-999.0,0.4202,-
12,51.4137,-177.7067,19.2798,1599015641.45624,25,7,3.07,0.2348,-
13,53.8192,-165.7338,22.8192,1599020883.64009,26,9,2.14,0.3658,-
16,52.3023,-174.1924,0.6722,1599026654.12357,29,8,0.7,4.7932,-
17,54.244,-166.1297,0.6122,1599030398.33917,30,8,-999.0,0.2042,-
18,52.103,-174.537,0.0,1599031787.31383,31,8,-999.0,1.2883,-
19,54.459,-165.8698,0.0004,1599032800.19406,32,4,1.27,0.4548,-
20,51.5389,-176.5007,35.6558,1599035607.07264,33,11,2.26,0.4681,-
24,54.0035,-166.0152,0.0083,1599074341.40109,37,17,-999.0,4.2186,-
25,51.184,-177.0162,17.4335,1599093546.21125,38,11,1.92,0.8661,-
26,51.1071,-177.9873,0.0995,1599104850.46629,39,19,3.84,0.8268,-
28,53.388,-167.248,46.2909,1599126518.90803,41,6,1.62,0.249,-
29,52.3565,-174.165,0.3597,1599126822.12262,42,7,0.72,0.5876,-
30,52.6353,-174.2735,40.0581,1599126814.69102,43,4,1.52,0.2158,-
31,51.5358,-176.6649,0.0216,1599126992.23746,44,4,2.06,0.2282,-
33,51.0807,-177.3107,1.849,1599126964.84574,46,4,2.5,0.4442,-
34,51.3277,-176.1665,24.7596,1599131202.37722,47,9,-999.0,0.2878,-
35,53.1217,-167.5332,52.4721,1599131619.89712,48,13,1.84,3.4655,-
36,51.7404,-177.5395,22.1008,1599134338.77462,49,4,1.19,0.2211,-
37,52.5261,-177.1881,51.6614,1599136272.93535,50,7,-999.0,0.9296,-
39,51.7399,-177.0057,26.787,1599141032.87484,52,17,1.15,3.0181,-
40,54.1492,-165.4974,38.8772,1599146496.10532,53,8,2.16,0.1905,-
41,54.0612,-165.4542,20.451,1599146508.52569,54,4,2.53,0.019,-
42,51.4785,-175.997,35.4429,1599155111.54842,55,14,1.43,0.3325,-
43,51.6547,-176.6019,62.0944,1599160587.11627,56,11,-999.0,0.4243,-
44,51.7438,-177.2208,69.2496,1599160778.931,57,6,-999.0,0.0186,-
45,52.8728,-167.3314,28.6034,1599160870.44738,58,7,1.69,0.1589,-
46,51.136,-177.8226,9.0974,1599176158.08097,59,21,4.45,0.7098,-
47,51.4409,-177.5267,23.3841,1599176163.75566,60,11,4.18,0.2257,-
48,53.4793,-168.3449,34.1491,1599176248.73277,61,4,1.51,0.5319,-
50,51.9568,-177.0492,9.9938,1599179652.49531,63,15,1.09,3.8671,-
51,51.4942,-177.9685,0.0,1599181275.67511,64,6,1.68,1.8631,-
52,53.7307,-166.2264,34.509,1599183181.7399,65,4,0.67,0.2919,-
56,51.8509,-176.0526,12.9414,1599201524.22141,69,16,1.19,0.6106,-
61,51.8097,-177.2525,20.381,1599253712.35063,75,4,0.88,0.174,-
62,51.939,-176.3921,0.0379,1599256716.41825,76,8,-999.0,3.1868,-
65,51.8773,-177.6375,28.4769,1599282900.02828,79,12,4.14,0.1861,-
69,53.7578,-166.6333,18.4027,1599294114.13355,83,4,-999.0,0.0165,-
71,53.6084,-165.6762,99.9985,1599303891.08604,85,16,2.79,0.5704,-
73,53.9422,-165.6733,53.6906,1599312006.90947,87,6,-999.0,0.3395,-
78,51.2056,-176.2041,5.6804,1599345952.9814,92,8,-999.0,0.6463,-
79,51.7361,-177.1264,0.513,1599353712.65652,93,11,1.37,3.5804,-
83,52.899,-167.0115,2.2604,1599390601.71194,97,9,-999.0,0.4701,-
86,53.7571,-165.0851,14.9823,1599404620.45714,100,4,1.98,0.2659,-
87,51.5703,-177.2572,1.1735,1599405296.87175,102,9,-999.0,2.1572,-
88,53.3839,-166.5018,0.0,1599412848.23562,103,5,-999.0,1.5727,-
91,51.4413,-177.6086,26.8473,1599416384.58159,107,8,2.94,0.2674,-
96,53.3372,-165.1345,5.2491,1599484695.32568,112,17,2.97,0.4739,-
98,51.9102,-176.5108,0.0852,1599496381.04223,114,15,1.17,3.7525,-
100,51.2862,-175.0845,36.4181,1599513740.79071,116,8,-999.0,0.8033,-
102,51.9782,-176.0036,10.5292,1599524837.0993,118,9,1.43,0.4787,-
104,54.1381,-165.9181,6.431,1599545708.57813,120,9,-999.0,0.1408,-
105,52.1174,-176.557,23.8526,1599547335.95983,121,11,1.31,0.2331,-
106,51.7865,-176.579,15.7376,1599555760.44305,122,12,-999.0,2.4734,-
110,52.0488,-176.4969,0.2026,1599591442.82902,126,8,-999.0,2.9777,-
111,51.4353,-176.6493,0.0105,1599601491.31175,127,8,-999.0,0.8736,-
112,53.5087,-165.8147,15.3245,1599608194.97484,128,6,2.75,1.1081,-
113,52.2405,-174.4267,13.3459,1599621514.96372,129,6,-999.0,2.6338,-
116,53.6341,-166.9538,17.5841,1599628079.02709,132,10,-999.0,0.4614,-
117,51.514,-173.485,16.4759,1599628866.1463,133,9,2.06,0.7436,-
118,51.9018,-176.5394,1.9109,1599637572.49642,134,7,0.51,3.3732,-
119,51.5482,-176.7485,34.0511,1599638388.17056,135,7,-999.0,0.3153,-
120,53.846,-166.1138,36.9395,1599638533.4654,136,4,-999.0,0.2572,-
121,51.5803,-177.1351,0.1568,1599649456.19987,137,9,1.96,3.925,-
122,51.6718,-176.7291,25.1078,1599649733.66939,138,7,-999.0,1.9889,-
123,51.4433,-177.5226,29.092,1599651703.0403,139,5,-999.0,0.2213,-
125,52.8994,-167.9442,32.3361,1599660010.95302,141,6,-999.0,0.7296,-
126,53.3621,-167.3225,0.2365,1599660086.05844,142,6,-999.0,2.4132,-
127,52.0044,-175.0875,29.6697,1599672241.30992,143,7,-999.0,1.3831,-
129,51.7885,-177.2543,0.4856,1599686963.70454,145,10,1.68,5.3872,-
130,51.5748,-176.8919,32.2575,1599688890.96896,146,9,-999.0,0.4273,-
131,51.4777,-176.1377,32.9487,1599689497.11202,147,12,1.8,0.5209,-
133,54.5528,-166.9215,54.2671,1599692968.76525,149,15,1.71,0.813,-
134,51.5818,-176.337,2.7309,1599693680.74391,150,8,2.29,1.3267,-
139,53.8302,-166.9048,5.7072,1599720939.57251,155,7,0.46,0.1751,-
142,51.8925,-177.1332,0.3217,1599741238.88056,158,6,-999.0,2.471,-
143,52.0292,-177.5402,24.3626,1599741357.14408,159,5,1.38,0.3013,-
144,51.9843,-177.5192,30.0,1599741484.38536,160,6,-999.0,-1.0,-
145,52.1561,-177.2487,40.5149,1599741546.73198,161,4,-999.0,0.01,-
146,52.0498,-176.9536,0.0,1599741616.29768,162,7,-999.0,1.0146,-
147,52.0204,-177.5195,22.2005,1599741874.5382,164,7,-999.0,0.3588,-
148,51.9671,-177.3082,13.2204,1599743624.09804,165,6,-999.0,0.228,-
149,52.1405,-177.6368,20.7795,1599744001.43147,166,4,-999.0,0.1727,-
150,52.0512,-177.3177,10.0338,1599744134.54374,167,5,1.02,0.0964,-
151,51.9692,-177.1878,5.109,1599744007.671,169,5,-999.0,0.6087,-
153,51.9729,-176.1146,1.8774,1599745245.86329,171,6,-999.0,0.2699,-
155,52.3275,-175.7609,49.0169,1599747110.78052,173,4,2.21,0.3845,-
156,51.9076,-176.341,0.162,1599751129.36045,174,13,1.09,2.9347,-
157,53.6032,-166.2624,59.7635,1599752350.01442,175,7,-999.0,0.5398,-
158,52.0263,-177.0176,0.034,1599752617.27226,176,5,-999.0,0.2312,-
159,52.7221,-176.5231,0.5127,1599753420.48299,178,5,1.8,3.7903,-
161,51.0381,-177.5757,0.3361,1599754662.04783,180,7,2.09,1.2648,-
162,51.9659,-176.9228,0.0232,1599755136.38007,181,4,-999.0,0.5143,-
163,53.7441,-175.0186,0.4198,1599755746.05826,182,9,2.18,11.908,-
164,51.9498,-176.6211,7.8215,1599762067.00625,183,5,-999.0,0.8987,-
165,51.9695,-176.6395,6.4883,1599762658.52299,184,5,-999.0,0.2104,-
167,52.0353,-176.4761,7.4189,1599770594.79939,186,7,0.66,0.5882,-
168,52.0336,-176.2165,50.3971,1599776304.73002,187,4,0.6,0.3852,-
169,54.1447,-165.9148,0.0178,1599778829.19119,188,13,0.58,0.3276,-
170,52.0957,-176.1795,5.0783,1599782403.8231,189,8,0.68,0.2781,-
171,52.1134,-176.201,0.0,1599784168.28995,190,6,0.6,0.3557,-
172,51.3803,-176.1082,13.4252,1599784446.24371,191,9,2.13,0.4909,-
173,52.1358,-176.1998,0.0,1599784299.7888,192,5,0.67,0.4549,-
174,52.1523,-176.1647,2.8994,1599787412.42711,193,5,0.73,0.2889,-
175,52.2241,-176.0838,0.0,1599788157.69,194,6,0.83,0.4368,-
176,52.7631,-175.9044,44.569,1599788271.54949,195,4,2.18,0.1074,-
178,51.744,-175.4046,77.4087,1599790054.05532,197,6,1.95,0.682,-
179,52.667,-176.8889,34.8914,1599790065.23705,198,5,1.87,0.7618,-
180,52.1086,-176.0379,5.8075,1599790549.34974,199,5,0.57,0.1322,-
181,52.1386,-176.0139,6.3106,1599790676.66426,200,5,0.65,0.2892,-
182,52.5635,-172.2411,42.6464,1599793032.56493,201,7,2.74,0.7064,-
183,52.0937,-176.2695,1.5961,1599799558.54212,202,7,2.6,0.3801,-
184,53.7004,-166.3304,2.2394,1599804039.47014,203,10,0.71,0.8276,-
