,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotations
0,53.4639,-166.0567,62.2655,1598921763,12,7,-999,0.2965,-,very small earthquake
1,54.0327,-165.8864,0.0593,1598923543,13,10,2.23,0.8202,-,earthquake
2,51.7287,-176.0479,52.1905,1598926052,14,6,-999,0.3093,-,earthquake (noisy signals)
8,51.552,-176.2648,50.0853,1598972195,21,10,1.94,0.5963,-,earthquake
11,53.618,-168.2587,95.8331,1599015213,24,4,-999,0.4202,nT,"noise, mostlikely teleseismic"
12,51.4137,-177.7067,19.2798,1599015641,25,7,3.07,0.2348,-,earthquake (one subnet only)
13,53.8192,-165.7338,22.8192,1599020884,26,9,2.14,0.3658,-,earthquake
16,52.3023,-174.1924,0.6722,1599026654,29,8,0.7,4.7932,-,earthquake (one subnet only)
17,54.244,-166.1297,0.6122,1599030398,30,8,-999,0.2042,V,"volcanic (type A), one subnet only"
18,52.103,-174.537,0,1599031787,31,8,-999,1.2883,-,earthquake (one subnet only)
19,54.459,-165.8698,0.0004,1599032800,32,4,1.27,0.4548,V,"volcanic (type A), one subnet only"
20,51.5389,-176.5007,35.6558,1599035607,33,11,2.26,0.4681,D,duplicate of matched evid #34 (matched on only S-phase solution)
24,54.0035,-166.0152,0.0083,1599074341,37,17,-999,4.2186,-,"earthquake, poor solution"
25,51.184,-177.0162,17.4335,1599093546,38,11,1.92,0.8661,-,earthquake (only 2 Ps w/ 9 Ss)
26,51.1071,-177.9873,0.0995,1599104850,39,19,3.84,0.8268,-,earthquake — missing a LOT of phases for size and clarity
28,53.388,-167.248,46.2909,1599126519,41,6,1.62,0.249,-,earthquake
29,52.3565,-174.165,0.3597,1599126822,42,7,0.72,0.5876,V,"volcanic (type A), one subnet only"
30,52.6353,-174.2735,40.0581,1599126815,43,4,1.52,0.2158,D,Duplicate of evid #42 (volcanic)
31,51.5358,-176.6649,0.0216,1599126992,44,4,2.06,0.2282,V,"volcanic (type A), one subnet only"
33,51.0807,-177.3107,1.849,1599126965,46,4,2.5,0.4442,D,"Duplicate of evid #44 (volcanic, only S-phases)"
34,51.3277,-176.1665,24.7596,1599131202,47,9,-999,0.2878,-,"earthquake, small high SNR"
35,53.1217,-167.5332,52.4721,1599131620,48,13,1.84,3.4655,-,earthquake
36,51.7404,-177.5395,22.1008,1599134339,49,4,1.19,0.2211,-,"real earthquake, missing significant number of clear phases"
37,52.5261,-177.1881,51.6614,1599136273,50,7,-999,0.9296,-,earthquake
39,51.7399,-177.0057,26.787,1599141033,52,17,1.15,3.0181,-,earthquake
40,54.1492,-165.4974,38.8772,1599146496,53,8,2.16,0.1905,-,earthquake — some Ps on S-arrivlals instead of emergent P
41,54.0612,-165.4542,20.451,1599146509,54,4,2.53,0.019,D,Duplicate of evid #53 (S-phase only location)
42,51.4785,-175.997,35.4429,1599155112,55,14,1.43,0.3325,-,earthquake
43,51.6547,-176.6019,62.0944,1599160587,56,11,-999,0.4243,-,earthquake
44,51.7438,-177.2208,69.2496,1599160779,57,6,-999,0.0186,-,earthquake
45,52.8728,-167.3314,28.6034,1599160870,58,7,1.69,0.1589,-,earthquake
46,51.136,-177.8226,9.0974,1599176158,59,21,4.45,0.7098,-,earthquake
47,51.4409,-177.5267,23.3841,1599176164,60,11,4.18,0.2257,D,Duplicate of evid #59
48,53.4793,-168.3449,34.1491,1599176249,61,4,1.51,0.5319,D,Duplicate of evid #59 — P-only location of phases at ~6 degrees
50,51.9568,-177.0492,9.9938,1599179652,63,15,1.09,3.8671,-,"earthquake, missing many phases"
51,51.4942,-177.9685,0,1599181276,64,6,1.68,1.8631,-,"earthquake, missing many phases"
52,53.7307,-166.2264,34.509,1599183182,65,4,0.67,0.2919,-,"earthquake, no S-phases"
56,51.8509,-176.0526,12.9414,1599201524,69,16,1.19,0.6106,-,earthquake
61,51.8097,-177.2525,20.381,1599253712,75,4,0.88,0.174,-,earthquake near Little Sitkin (miss located)
62,51.939,-176.3921,0.0379,1599256716,76,8,-999,3.1868,-,"earthquake, single subnet"
65,51.8773,-177.6375,28.4769,1599282900,79,12,4.14,0.1861,D,Duplicate of matched evid #78
69,53.7578,-166.6333,18.4027,1599294114,83,4,-999,0.0165,-,"earthquake (Chignik, miss-loacted, P-only)"
71,53.6084,-165.6762,99.9985,1599303891,85,16,2.79,0.5704,D,Duplicate of matched evid #86
73,53.9422,-165.6733,53.6906,1599312007,87,6,-999,0.3395,-,earthquake
78,51.2056,-176.2041,5.6804,1599345953,92,8,-999,0.6463,-,earthquake (one subnet only)
79,51.7361,-177.1264,0.513,1599353713,93,11,1.37,3.5804,-,earthquake
83,52.899,-167.0115,2.2604,1599390602,97,9,-999,0.4701,-,earthquake
86,53.7571,-165.0851,14.9823,1599404620,100,4,1.98,0.2659,-,earthquake
87,51.5703,-177.2572,1.1735,1599405297,102,9,-999,2.1572,-,earthquake
88,53.3839,-166.5018,0,1599412848,103,5,-999,1.5727,V,volcanic (type A)
91,51.4413,-177.6086,26.8473,1599416385,107,8,2.94,0.2674,D,Duplicate of matched evid #106 (P-only location)
96,53.3372,-165.1345,5.2491,1599484695,112,17,2.97,0.4739,-,earthquake
98,51.9102,-176.5108,0.0852,1599496381,114,15,1.17,3.7525,-,earthquake
100,51.2862,-175.0845,36.4181,1599513741,116,8,-999,0.8033,-,earthquake (very small)
102,51.9782,-176.0036,10.5292,1599524837,118,9,1.43,0.4787,-,earthquake (very small)
104,54.1381,-165.9181,6.431,1599545709,120,9,-999,0.1408,V,"volcanic (type A), one subnet only"
105,52.1174,-176.557,23.8526,1599547336,121,11,1.31,0.2331,-,earthquake
106,51.7865,-176.579,15.7376,1599555760,122,12,-999,2.4734,-,earthquake
110,52.0488,-176.4969,0.2026,1599591443,126,8,-999,2.9777,-,earthquake
111,51.4353,-176.6493,0.0105,1599601491,127,8,-999,0.8736,-,earthquake
112,53.5087,-165.8147,15.3245,1599608195,128,6,2.75,1.1081,-,"earthquake — distant (snad point), lots of missing pahses"
113,52.2405,-174.4267,13.3459,1599621515,129,6,-999,2.6338,-,earthquake
116,53.6341,-166.9538,17.5841,1599628079,132,10,-999,0.4614,-,earthquake
117,51.514,-173.485,16.4759,1599628866,133,9,2.06,0.7436,-,earthquake (one subnet only)
118,51.9018,-176.5394,1.9109,1599637572,134,7,0.51,3.3732,-,earthquake (small)
119,51.5482,-176.7485,34.0511,1599638388,135,7,-999,0.3153,-,earthquake (small)
120,53.846,-166.1138,36.9395,1599638533,136,4,-999,0.2572,-,earthquake (missing many clear detections)
121,51.5803,-177.1351,0.1568,1599649456,137,9,1.96,3.925,-,earthquake
122,51.6718,-176.7291,25.1078,1599649734,138,7,-999,1.9889,-,"earthquake, low SNR"
123,51.4433,-177.5226,29.092,1599651703,139,5,-999,0.2213,-,earthquake
125,52.8994,-167.9442,32.3361,1599660011,141,6,-999,0.7296,-,earthquake
126,53.3621,-167.3225,0.2365,1599660086,142,6,-999,2.4132,-,earthquake
127,52.0044,-175.0875,29.6697,1599672241,143,7,-999,1.3831,-,earthquake
129,51.7885,-177.2543,0.4856,1599686964,145,10,1.68,5.3872,-,earthquake (missing many clear detections)
130,51.5748,-176.8919,32.2575,1599688891,146,9,-999,0.4273,-,earthquake
131,51.4777,-176.1377,32.9487,1599689497,147,12,1.8,0.5209,-,earthquake
133,54.5528,-166.9215,54.2671,1599692969,149,15,1.71,0.813,-,earthquake
134,51.5818,-176.337,2.7309,1599693681,150,8,2.29,1.3267,n,"noise, possibly volcanic"
139,53.8302,-166.9048,5.7072,1599720940,155,7,0.46,0.1751,-,earthquake (one subnet only)
142,51.8925,-177.1332,0.3217,1599741239,158,6,-999,2.471,-,"small earthquake, one subnet only (Kanaga)"
143,52.0292,-177.5402,24.3626,1599741357,159,5,1.38,0.3013,-,"small earthquake, one subnet only (Kanaga)"
144,51.9843,-177.5192,30,1599741484,160,6,-999,-1,-,"small earthquake, one subnet only (Kanaga)"
145,52.1561,-177.2487,40.5149,1599741547,161,4,-999,0.01,-,"small earthquake, one subnet only (Kanaga)"
146,52.0498,-176.9536,0,1599741616,162,7,-999,1.0146,-,"small earthquake, one subnet only (Kanaga)"
147,52.0204,-177.5195,22.2005,1599741875,164,7,-999,0.3588,-,"small earthquake, one subnet only (Kanaga)"
148,51.9671,-177.3082,13.2204,1599743624,165,6,-999,0.228,-,"small earthquake, one subnet only (Kanaga)"
149,52.1405,-177.6368,20.7795,1599744001,166,4,-999,0.1727,-,"small earthquake, one subnet only (Kanaga)"
150,52.0512,-177.3177,10.0338,1599744135,167,5,1.02,0.0964,-,"small earthquake, one subnet only (Kanaga)"
151,51.9692,-177.1878,5.109,1599744008,169,5,-999,0.6087,D,Duplicate of evid #166 (P-only location)
153,51.9729,-176.1146,1.8774,1599745246,171,6,-999,0.2699,-,earthquake
155,52.3275,-175.7609,49.0169,1599747111,173,4,2.21,0.3845,n,noise
156,51.9076,-176.341,0.162,1599751129,174,13,1.09,2.9347,-,earthquake
157,53.6032,-166.2624,59.7635,1599752350,175,7,-999,0.5398,-,earthquake
158,52.0263,-177.0176,0.034,1599752617,176,5,-999,0.2312,n,"noise, mixed impulsive noise signals"
159,52.7221,-176.5231,0.5127,1599753420,178,5,1.8,3.7903,V,"volcanic (type A), one subnet only"
161,51.0381,-177.5757,0.3361,1599754662,180,7,2.09,1.2648,-,earthquake
162,51.9659,-176.9228,0.0232,1599755136,181,4,-999,0.5143,-,"earthquake (very, very small), one subnet only"
163,53.7441,-175.0186,0.4198,1599755746,182,9,2.18,11.908,V,"volcanic (type A), one subnet only"
164,51.9498,-176.6211,7.8215,1599762067,183,5,-999,0.8987,V,"volcanic (type A), one subnet only"
165,51.9695,-176.6395,6.4883,1599762659,184,5,-999,0.2104,n,"noise, possibly volcanic"
167,52.0353,-176.4761,7.4189,1599770595,186,7,0.66,0.5882,V,"volcanic (type A), one subnet only"
168,52.0336,-176.2165,50.3971,1599776305,187,4,0.6,0.3852,n,LF noise (possibly volcanic @ Great Sitkin)
169,54.1447,-165.9148,0.0178,1599778829,188,13,0.58,0.3276,V,"volcanic (type A), one subnet only"
170,52.0957,-176.1795,5.0783,1599782404,189,8,0.68,0.2781,n,LF noise (possibly volcanic @ Great Sitkin)
171,52.1134,-176.201,0,1599784168,190,6,0.6,0.3557,n,LF noise (possibly volcanic @ Great Sitkin)
172,51.3803,-176.1082,13.4252,1599784446,191,9,2.13,0.4909,-,earthquake
173,52.1358,-176.1998,0,1599784300,192,5,0.67,0.4549,n,LF noise (possibly volcanic @ Great Sitkin)
174,52.1523,-176.1647,2.8994,1599787412,193,5,0.73,0.2889,n,LF noise (possibly volcanic @ Great Sitkin)
175,52.2241,-176.0838,0,1599788158,194,6,0.83,0.4368,n,LF noise (possibly volcanic @ Great Sitkin)
176,52.7631,-175.9044,44.569,1599788272,195,4,2.18,0.1074,n,LF noise (possibly volcanic @ Great Sitkin)
178,51.744,-175.4046,77.4087,1599790054,197,6,1.95,0.682,-,earthquake
179,52.667,-176.8889,34.8914,1599790065,198,5,1.87,0.7618,D,Duplicate of evid #197 (uses S-only and one poor P-pick)
180,52.1086,-176.0379,5.8075,1599790549,199,5,0.57,0.1322,n,LF noise (possibly volcanic @ Great Sitkin)
181,52.1386,-176.0139,6.3106,1599790677,200,5,0.65,0.2892,n,LF noise (possibly volcanic @ Great Sitkin)
182,52.5635,-172.2411,42.6464,1599793033,201,7,2.74,0.7064,-,earthquake
