,lat,lon,depth,time,evid,nass,ml,sdobs,etype,matchid
0,51.9081,-176.6267,18.2403,1598927578.80446,16,11,-999.0,2.6988,-,0
1,51.8707,-177.7625,0.0971,1598944616.05394,17,16,2.4,0.9172,-,1
2,53.5433,-166.8361,64.1375,1598971073.9511,20,15,-999.0,0.7338,-,2
3,51.0874,-176.3723,21.414,1598997882.1601,22,16,2.54,0.7614,-,3
4,51.1935,-173.8443,100.0,1599001206.23527,23,12,2.7,1.7047,-,4
5,53.5024,-165.2862,34.9799,1599024898.43116,28,8,1.96,0.651,-,5
6,51.5389,-176.5007,35.6558,1599035607.07264,33,11,2.26,0.4681,-,6
7,51.7247,-176.4844,38.7914,1599106427.04653,40,26,2.15,1.7897,-,7
8,53.388,-167.248,46.2909,1599126518.90803,41,6,1.62,0.249,-,8
9,51.5031,-176.9313,31.5041,1599198191.41501,66,9,-999.0,0.3515,-,9
10,51.8342,-174.4577,34.7703,1599198527.34473,67,15,2.24,0.9917,-,10
11,53.403,-167.1204,42.236,1599201009.64594,68,8,1.08,1.0962,-,11
12,51.8045,-176.8997,22.5862,1599206474.35014,70,16,1.24,3.0136,-,12
13,52.1227,-174.2387,44.4237,1599207041.71222,71,10,2.11,0.3784,-,13
14,51.8561,-176.6076,0.0711,1599221219.93131,73,16,1.31,3.1428,-,14
15,51.7864,-175.4528,62.0324,1599221738.95092,74,17,2.16,1.1348,-,15
16,53.5276,-165.3981,28.685,1599281180.54841,77,15,2.13,1.1755,-,16
17,52.0316,-177.0349,24.3239,1599284908.06179,80,13,1.91,0.5107,-,17
18,51.3415,-177.1127,32.2876,1599288641.79938,81,12,2.28,0.6342,-,18
19,53.9183,-166.1965,0.0696,1599290135.75878,82,18,1.05,2.3451,-,19
20,53.7123,-167.1566,37.8176,1599344268.92394,91,25,2.7,3.2244,-,20
21,52.0775,-174.9361,34.0977,1599369626.14849,94,7,2.2,1.0335,-,21
22,51.3479,-176.3691,0.4431,1599389180.5766,96,11,-999.0,2.0542,-,22
23,51.6266,-176.5776,62.9799,1599398491.81386,98,14,1.85,0.1689,-,23
24,51.2357,-175.9168,0.0,1599402482.86843,99,12,2.32,1.4397,-,24
25,51.1635,-177.3596,0.0,1599428413.1433,108,13,2.39,0.5639,-,25
26,53.533,-167.4143,24.1559,1599479000.23587,109,22,2.69,0.8533,-,26
27,52.2695,-167.9086,0.2409,1599484231.73137,111,8,3.21,0.6653,-,27
