,lat,lon,depth,time,evid,nass,ml,sdobs,etype,matchid
0,51.5414,-176.4464,35.7441,1598927572.70941,63,13,1.51,0.1868,-,missed
1,51.8342,-177.8446,13.8494,1599000344.32977,53,12,1.46,0.5562,-,missed
2,50.8181,-173.7013,29.0027,1599001202.17026,56,15,2.7,0.6936,-,missed
3,53.3008,-167.1648,28.1029,1599126518.62107,215,16,1.2,0.1783,-,missed
4,52.2146,-170.345,26.6194,1599156930.55204,249,14,2.14,0.5553,-,missed
5,52.762,-169.4595,23.1984,1599171920.09424,266,12,1.7,0.8529,-,missed
6,51.5778,-176.9884,39.2187,1599198191.33107,382,22,1.54,0.3886,-,missed
7,53.3091,-167.0507,25.535,1599201009.15946,384,17,1.09,0.3483,-,missed
8,51.3485,-176.9402,21.9792,1599206467.72806,390,18,1.56,0.4055,-,missed
9,51.5653,-177.8025,63.1669,1599353699.91902,523,29,2.19,0.3533,-,missed
10,51.7603,-174.8611,9.4013,1599369623.8484,615,12,1.72,0.6707,-,missed
11,51.072,-176.2419,25.4783,1599389173.62837,619,16,1.66,0.3959,-,missed
12,51.7373,-176.6455,66.2297,1599398491.41283,624,21,1.79,0.2884,-,missed
13,51.4784,-175.9336,25.6137,1599402488.75486,626,22,1.89,0.6872,-,missed
14,52.0025,-176.0087,126.86,1599475150.11994,693,17,2.12,0.33,-,missed
15,51.5495,-167.6442,2.1815,1599484224.7139,696,24,2.83,0.3121,-,missed
16,51.8712,-175.3164,71.9407,1599495721.078,698,14,1.59,0.1654,-,missed
17,51.428,-176.1876,25.3305,1599496370.19395,699,25,1.81,0.2643,-,missed
18,50.8725,-173.9399,14.2619,1599561087.78388,800,29,2.24,0.684,-,missed
19,53.0801,-170.2685,122.667,1599572158.4737,807,21,2.4,0.6508,-,missed
20,51.3016,-177.6762,39.9647,1599576887.22494,744,32,1.72,0.4693,-,missed
21,53.1948,-166.7132,19.8479,1599619653.72267,908,15,1.32,0.3087,-,missed
22,51.148,-177.6652,19.95,1599649443.04221,863,28,1.92,0.3479,-,missed
23,51.8588,-173.7213,82.1645,1599653632.16664,915,17,1.75,0.2541,-,missed
24,51.2413,-168.6214,7.5061,1599665154.18009,919,19,2.42,0.4672,-,missed
25,53.1033,-166.7185,21.4857,1599704054.13686,1033,14,1.32,0.3436,-,missed
26,53.5818,-167.1286,79.6858,1599704071.45487,1032,16,1.39,0.3446,-,missed
27,51.5328,-176.6569,36.8083,1599712667.12546,1037,19,1.54,0.4989,-,missed
28,53.5646,-167.145,14.2442,1599721864.98388,1040,17,0.64,0.4428,-,missed
29,51.4794,-176.1483,24.0084,1599751117.92627,1047,21,1.51,0.397,-,missed
30,53.0766,-165.7633,0.9922,1599764489.62211,1006,22,1.8,0.4407,-,missed
31,52.3079,-176.0345,210.1571,1599790039.63158,1063,18,2.37,0.3538,-,missed
32,51.4963,-177.7411,26.6986,1599827716.76962,1124,19,1.49,0.3801,-,missed
33,51.6288,-168.0551,33.682,1599834442.73131,1143,20,2.01,0.3316,-,missed
34,53.8712,-166.7573,7.5241,1599841239.44469,1154,13,0.94,0.5159,-,missed
35,52.3837,-169.5403,32.3714,1599862279.3701,1180,13,1.84,0.2996,-,missed
36,51.3509,-175.7951,25.4851,1599866408.49598,1185,16,1.91,0.2948,-,missed
37,53.8606,-166.7633,7.4829,1599890993.07563,1224,16,0.89,0.485,-,missed
38,53.8699,-166.804,8.0673,1599894536.59097,1229,24,1.03,0.648,-,missed
39,51.4501,-176.4671,25.6188,1599929004.10359,1329,24,1.87,0.4071,-,missed
40,53.7521,-165.1622,53.1322,1599958677.52018,1478,21,1.61,0.3376,-,missed
41,51.531,-174.6409,13.0482,1599980217.71104,1493,17,1.91,0.5252,-,missed
42,51.3779,-175.8088,21.9675,1599994356.29938,1500,16,1.55,0.2561,-,missed
43,51.5241,-175.5008,20.1155,1599996266.34948,1502,16,1.5,0.1995,-,missed
44,52.1563,-174.289,148.7697,1600010218.67892,1425,32,2.37,0.3738,-,missed
45,51.4599,-177.5137,38.3104,1600031609.12694,1515,34,1.6,0.3858,-,missed
46,51.8989,-165.9961,13.9778,1600037991.33563,1518,22,2.74,0.5777,-,missed
47,53.4958,-168.1348,143.5868,1600047441.03535,1534,19,2.33,0.4173,-,missed
48,53.8591,-166.7709,7.3295,1600056661.76285,1553,19,1.57,0.4572,-,missed
49,54.3411,-165.5546,159.1774,1600060378.37915,1663,23,2.35,0.4895,-,missed
50,50.9914,-173.456,13.3745,1600097881.70677,1670,21,2.22,0.4828,-,missed
51,51.9775,-175.4149,230.5798,1600099727.60625,1627,33,2.35,0.6042,-,missed
