,lat,lon,depth,time,evid,nass,ml,sdobs,etype,matchid
0,51.8345,-177.8164,10.1895,1598944614.1756,15,20,1.87,0.5243,-,0
1,53.6105,-166.9044,75.9752,1598971072.27039,37,15,1.85,0.1803,-,1
2,51.1013,-176.3574,16.4628,1598997882.17313,51,19,2.13,0.2604,-,2
3,53.4383,-165.2441,14.1719,1599024896.71557,92,15,1.59,0.3267,-,3
4,51.2815,-176.3678,25.5683,1599035603.45236,100,16,2.22,0.346,-,4
5,51.4141,-176.3582,24.265,1599106423.24387,186,39,2.05,0.4135,-,5
6,51.4929,-177.6523,55.0094,1599179640.39547,280,37,2.08,0.3442,-,6
7,51.7349,-174.391,27.8485,1599198526.14155,300,25,2.1,0.2354,-,7
8,51.9408,-173.8744,68.2913,1599207037.35286,314,25,2.16,0.2471,-,8
9,51.5642,-176.425,34.0494,1599221212.77641,334,21,1.59,0.2768,-,9
10,52.0169,-175.5734,91.2752,1599221736.14704,335,25,1.97,0.2775,-,10
11,53.4552,-165.2215,38.1174,1599281178.60189,414,15,1.98,0.0945,-,11
12,51.961,-176.9695,13.3877,1599284908.74405,419,15,1.34,0.3639,-,12
13,51.3188,-177.1504,41.9871,1599288640.53195,424,18,1.99,0.3206,-,13
14,53.6876,-165.9065,34.4121,1599290129.43986,427,14,1.49,0.1326,-,14
15,53.0666,-166.8349,63.9071,1599344261.49136,497,22,2.92,0.2521,-,15
16,51.2553,-177.663,25.5953,1599428413.53665,603,30,2.4,0.4341,-,16
17,53.5306,-167.4361,6.1273,1599478999.28577,659,24,2.12,0.4336,-,17
18,51.6387,-176.4823,46.0252,1599510127.30114,678,35,2.04,0.3388,-,18
19,51.6741,-177.1733,66.9295,1599535339.20441,715,44,2.17,0.486,-,19
20,53.7633,-166.6462,81.4651,1599574669.60868,743,20,1.65,0.3296,-,20
21,53.4759,-167.5696,80.7226,1599625512.84251,835,24,1.81,0.3081,-,21
22,52.6814,-167.5391,25.5251,1599627165.13367,839,18,1.54,0.4769,-,22
23,54.4747,-171.0564,5.3821,1599634505.07502,849,35,2.48,0.7783,-,23
24,53.627,-167.0708,67.6935,1599679107.40432,889,23,1.35,0.3218,-,24
25,51.2852,-177.0985,25.5865,1599690940.75896,901,24,1.81,0.5494,-,25
26,51.5132,-176.8945,56.7414,1599699690.89471,935,24,1.69,0.2125,-,26
27,51.4843,-176.1717,25.6101,1599734401.24764,977,32,1.9,0.4113,-,27
28,51.9314,-174.2764,53.5583,1599753564.85486,995,44,3.21,0.5469,-,28
29,53.1342,-166.7608,25.552,1599823075.73954,1115,22,2.14,0.2682,-,29
30,53.1384,-166.7722,35.7401,1599831776.87202,1135,33,3.08,0.5613,-,30
31,51.3911,-175.8583,22.491,1599855686.35917,1170,17,1.84,0.3388,-,31
32,51.345,-175.7397,20.7766,1599867435.79686,1187,17,2.28,0.2805,-,32
33,53.6198,-166.7995,74.4104,1599879999.29008,1212,32,2.38,0.3287,-,33
34,53.8605,-166.7467,7.1228,1599895034.95429,1230,19,1.08,0.5066,-,34
35,51.4594,-175.9236,25.6293,1599895840.40387,1231,25,2.43,0.4484,-,35
36,54.147,-165.9673,4.8864,1599896706.72531,1232,15,1.09,0.3751,a,36
37,53.8669,-166.7535,6.7074,1599909410.50595,1249,20,1.02,0.4682,-,37
38,53.8085,-165.3394,38.1975,1599945841.70128,1298,27,1.88,0.2744,-,38
39,51.555,-176.3582,32.3235,1599988660.87669,1388,27,1.54,0.3077,-,39
40,53.8472,-166.7725,3.4179,1600030416.33652,1465,20,1.9,0.6538,a,40
41,51.8299,-173.7382,87.4099,1600035580.30559,1470,36,2.45,0.4074,-,41
42,52.0541,-173.4192,69.2159,1600055565.46628,1549,22,1.88,0.3149,-,42
43,53.7448,-165.9031,37.1232,1600063171.00528,1561,31,2.85,0.3154,-,43
44,51.4076,-176.5332,26.0541,1600081287.11218,1597,26,1.77,0.5552,-,44
45,53.9152,-166.3611,5.3396,1600084532.08312,1604,17,1.26,0.4511,-,45
46,51.4012,-176.1482,21.3417,1600105243.44964,1631,17,1.36,0.1943,-,46
47,52.2031,-173.7236,8.3685,1600121154.40026,1651,28,2.17,0.4492,-,47
48,51.5357,-176.1161,45.0965,1600131434.31506,1684,28,1.55,0.3413,-,48
49,51.879,-175.9438,78.9365,1600137245.25339,1693,46,2.45,0.4366,-,49
50,54.0064,-166.2365,97.7963,1600152922.21432,1710,29,2.23,0.2684,-,50
51,51.4075,-176.6194,25.3169,1600170959.07289,1731,20,1.49,0.3705,-,51
52,51.3294,-176.0014,29.6716,1600217508.32325,1821,33,3.28,0.4545,-,52
53,51.433,-176.1492,22.8855,1600217884.11468,1823,24,2.64,0.3268,-,53
54,51.508,-175.9575,24.3669,1600227350.47179,1830,13,1.61,0.169,-,54
55,53.5638,-166.3867,85.6949,1600233349.32055,1840,42,3.28,1.1519,-,55
56,51.5997,-175.3084,29.0613,1600260425.93259,1868,18,1.93,0.3748,-,56
57,51.3639,-176.3363,27.095,1600268243.60879,1872,30,3.62,0.4358,-,57
58,51.6031,-175.3595,25.5387,1600380526.10748,1985,18,1.6,0.4913,-,58
59,51.2845,-177.6469,25.6195,1600390956.3313,1994,33,1.83,0.497,-,59
60,51.2367,-177.6976,25.5684,1600391056.48575,1995,30,1.72,0.589,-,60
61,51.8718,-173.4033,31.097,1600435316.09004,2065,22,2.18,0.2818,-,61
62,51.7059,-177.7546,77.4221,1600512587.56119,2111,58,2.36,0.5656,-,62
63,51.7366,-174.6523,18.4013,1600524159.24265,2131,40,2.06,0.3339,-,63
64,51.5349,-176.0195,31.5879,1600532733.9775,2144,32,2.02,0.608,-,64
65,53.4718,-167.3161,13.1787,1600575282.66314,2267,18,1.53,0.2828,-,65
66,51.761,-176.4983,75.8727,1600691937.27926,2390,33,2.44,0.3162,-,66
67,51.3963,-176.394,25.6228,1600718146.66004,2408,21,2.09,0.3295,-,67
68,52.9644,-167.5092,56.9747,1600732825.21975,2448,17,2.69,0.3448,-,68
69,53.0627,-167.6395,69.2961,1600737673.45651,2451,18,2.95,0.5974,-,69
70,51.7622,-176.9908,82.482,1600738490.36583,2452,31,3.11,0.3735,-,70
