,lat,lon,depth,time,evid,nass,ml,sdobs,etype
0,53.8966,-165.5567,0.0079,1598923539.20479,280,9,2.44,0.8165,-
4,52.0887,-176.036,32.265,1599001227.63773,284,4,1.59,0.0362,-
5,54.0417,-168.3602,26.6337,1599015214.05161,285,11,2.4,0.7205,-
6,51.8933,-175.9055,52.0031,1599015179.75622,286,5,2.52,0.1973,-
7,51.7462,-177.1986,19.1177,1599015648.49234,287,10,2.59,0.5855,-
8,51.8051,-176.3576,17.7243,1599015655.82615,289,5,-999.0,0.7234,-
9,53.8025,-165.6984,20.0847,1599020883.54679,290,8,2.19,0.3482,-
11,54.2476,-166.1321,0.3606,1599030398.35685,292,5,-999.0,0.1021,-
13,53.7993,-167.1229,99.9779,1599070263.16456,294,4,-999.0,0.1344,-
14,51.7176,-177.1837,17.4096,1599104863.23166,295,15,-999.0,0.6564,-
16,51.9225,-176.1819,0.0063,1599127000.68653,297,7,0.96,0.8143,-
17,53.3012,-167.924,97.0515,1599131616.31947,298,5,1.36,0.1273,-
18,53.874,-165.8139,10.0,1599146498.64446,299,14,2.06,-1.0,-
19,51.2648,-175.1561,81.1247,1599153745.09091,301,9,2.25,0.6517,-
20,53.4078,-167.4419,83.2148,1599153761.55071,302,6,1.71,0.3802,-
21,51.7384,-177.0285,24.6381,1599156222.3469,303,4,-999.0,0.3106,-
22,51.7372,-177.1936,20.0393,1599176169.19662,304,18,-999.0,0.6291,-
23,53.876,-165.9029,21.7875,1599178253.87634,306,10,1.8,0.478,-
25,54.0398,-165.8268,46.3181,1599183177.70472,308,7,-999.0,0.5085,-
26,53.8203,-168.0409,95.0925,1599196316.49526,309,7,1.61,1.0753,-
32,51.8331,-177.2532,21.7975,1599282903.59091,315,21,3.97,0.64,-
36,54.225,-165.9335,30.4803,1599294107.03349,320,5,-999.0,0.3799,-
37,53.4262,-165.5452,99.8348,1599303890.11473,321,21,-999.0,0.7262,-
38,53.9776,-165.8171,1.1114,1599332359.28552,323,4,0.77,0.048,-
40,52.0676,-176.6938,100.0,1599352317.2281,325,13,-999.0,2.3023,-
41,54.3356,-168.4646,19.3922,1599352348.65519,326,12,3.14,0.7594,-
42,53.9382,-166.0019,0.0682,1599380576.3982,327,5,1.7,0.4119,-
43,52.1721,-176.9336,100.0,1599406438.5438,328,12,2.68,1.6586,-
44,53.4709,-167.7836,99.3202,1599406475.54851,329,10,2.65,0.8208,-
45,51.6925,-177.2531,19.8184,1599413468.30516,330,12,-999.0,0.5293,-
46,51.6239,-177.3295,19.7039,1599416389.01277,331,11,2.6,0.8116,-
47,51.5823,-177.2703,19.2556,1599417573.88067,333,6,2.21,0.2163,-
50,53.8358,-165.98,28.9501,1599484705.98483,336,9,2.28,0.3343,-
51,51.6829,-176.5019,42.1664,1599510128.41618,337,12,1.97,0.4914,-
53,52.1891,-175.7319,2.0002,1599524834.90699,339,4,1.96,1.3237,-
54,53.8698,-168.1264,99.9384,1599526605.03575,340,12,3.12,0.8972,-
55,51.712,-176.6805,100.0,1599526573.06976,341,11,2.72,2.3141,-
57,51.791,-177.5448,50.0,1599572663.7234,343,8,1.77,-1.0,-
59,54.0971,-165.855,29.846,1599608194.77629,345,25,-999.0,0.577,-
60,52.2621,-174.0409,33.8357,1599608266.25646,347,10,-999.0,0.6709,-
64,53.9591,-165.8346,32.7998,1599638531.4989,352,8,-999.0,0.5088,-
66,51.6011,-177.242,18.4047,1599686952.9416,354,6,1.59,0.1322,-
67,51.8441,-177.2751,0.0,1599686970.72345,355,5,1.19,0.6633,-
69,53.6317,-167.589,99.866,1599692767.19511,357,11,2.01,1.2992,-
70,52.1795,-174.1425,13.7516,1599692770.22549,358,4,1.17,0.2705,-
73,52.0399,-177.1626,38.0513,1599745235.38765,361,4,1.69,0.8259,-
74,53.988,-165.9013,19.9897,1599746058.84489,362,7,0.58,0.2901,-
76,52.3739,-176.4925,0.505,1599755764.55489,365,4,2.05,0.7984,-
77,53.8125,-166.311,40.0,1599764501.77168,366,4,0.79,-1.0,-
78,54.1406,-165.7355,5.1919,1599778827.08423,367,8,0.68,0.6502,-
79,52.1055,-176.1992,2.6168,1599784429.14676,368,4,0.68,0.0669,-
80,52.1084,-176.198,2.8079,1599784684.75214,369,4,-999.0,0.0507,-
81,51.9352,-175.5137,99.9902,1599790053.18014,370,7,1.66,2.8866,-
82,52.0978,-176.0108,2.3819,1599791928.13894,371,4,0.58,0.0152,-
83,51.6719,-177.4561,33.7395,1599799550.91608,372,27,2.55,0.5216,-
86,53.1986,-167.7793,41.4729,1599834464.37242,376,6,1.1,0.218,-
