,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotation
0,53.8966,-165.5567,0.0079,1598923539,280,9,2.44,0.8165,-,earthquake
4,52.0887,-176.036,32.265,1599001228,284,4,1.59,0.0362,-,earthquake
5,54.0417,-168.3602,26.6337,1599015214,285,11,2.4,0.7205,nT,"noise, teleseismic signal"
6,51.8933,-175.9055,52.0031,1599015180,286,5,2.52,0.1973,nT,"noise, teleseismic signal (same signal as evid #285)"
7,51.7462,-177.1986,19.1177,1599015648,287,10,2.59,0.5855,-,earthquake
8,51.8051,-176.3576,17.7243,1599015656,289,5,-999,0.7234,D,duplicate of evid #287
9,53.8025,-165.6984,20.0847,1599020884,290,8,2.19,0.3482,-,earthquake
11,54.2476,-166.1321,0.3606,1599030398,292,5,-999,0.1021,V,"volcanic (type A), one subnet only"
13,53.7993,-167.1229,99.9779,1599070263,294,4,-999,0.1344,n,noise
14,51.7176,-177.1837,17.4096,1599104863,295,15,-999,0.6564,-,"earthquake, Ps only"
16,51.9225,-176.1819,0.0063,1599127001,297,7,0.96,0.8143,V,"volcanic (type A), one subnet only"
17,53.3012,-167.924,97.0515,1599131616,298,5,1.36,0.1273,-,earthquake
18,53.874,-165.8139,10,1599146499,299,14,2.06,-1,-,earthquake
19,51.2648,-175.1561,81.1247,1599153745,301,9,2.25,0.6517,nT,"noise, teleseismic signal "
20,53.4078,-167.4419,83.2148,1599153762,302,6,1.71,0.3802,nT,"noise, teleseismic signal (same signal as evid #301)"
21,51.7384,-177.0285,24.6381,1599156222,303,4,-999,0.3106,-,earthquake — distant or deep
22,51.7372,-177.1936,20.0393,1599176169,304,18,-999,0.6291,-,earthquake
23,53.876,-165.9029,21.7875,1599178254,306,10,1.8,0.478,-,earthquake
25,54.0398,-165.8268,46.3181,1599183178,308,7,-999,0.5085,-,earthquake
26,53.8203,-168.0409,95.0925,1599196316,309,7,1.61,1.0753,n,noise
32,51.8331,-177.2532,21.7975,1599282904,315,21,3.97,0.64,-,earthquake
36,54.225,-165.9335,30.4803,1599294107,320,5,-999,0.3799,nT,"Sand point earthquake, picked on S-phases, treated as teleseismic noise"
37,53.4262,-165.5452,99.8348,1599303890,321,21,-999,0.7262,-,earthquake
38,53.9776,-165.8171,1.1114,1599332359,323,4,0.77,0.048,-,earthquake
40,52.0676,-176.6938,100,1599352317,325,13,-999,2.3023,nT,"noise, teleseismic signal"
41,54.3356,-168.4646,19.3922,1599352349,326,12,3.14,0.7594,nT,"noise, teleseismic signal (same signal as evid #325)"
42,53.9382,-166.0019,0.0682,1599380576,327,5,1.7,0.4119,-,earthquake
43,52.1721,-176.9336,100,1599406439,328,12,2.68,1.6586,nT,"noise, teleseismic signal"
44,53.4709,-167.7836,99.3202,1599406476,329,10,2.65,0.8208,nT,"noise, teleseismic signal (same signal as evid #328)"
45,51.6925,-177.2531,19.8184,1599413468,330,12,-999,0.5293,-,earthquake
46,51.6239,-177.3295,19.7039,1599416389,331,11,2.6,0.8116,-,earthquake
47,51.5823,-177.2703,19.2556,1599417574,333,6,2.21,0.2163,-,earthquake
50,53.8358,-165.98,28.9501,1599484706,336,9,2.28,0.3343,-,earthquake
51,51.6829,-176.5019,42.1664,1599510128,337,12,1.97,0.4914,-,earthquake
53,52.1891,-175.7319,2.0002,1599524835,339,4,1.96,1.3237,V,"volcanic (type A), one subnet only"
54,53.8698,-168.1264,99.9384,1599526605,340,12,3.12,0.8972,nT,"noise, teleseismic signal"
55,51.712,-176.6805,100,1599526573,341,11,2.72,2.3141,nT,"noise, teleseismic signal (same signal as evid #340)"
