,lat,lon,depth,time,evid,nass,ml,sdobs,etype,matchid
0,51.8038,-177.2591,13.1324,1598944620.34261,281,6,-999.0,0.3096,-,0
1,53.7656,-166.9337,99.9965,1598971070.33587,282,5,-999.0,0.1062,-,1
2,51.3058,-176.45,32.5862,1598997885.62699,283,6,2.46,0.204,-,2
3,53.8538,-165.9358,34.3686,1599024904.63042,291,5,1.29,0.312,-,3
4,51.5715,-176.4976,34.1013,1599035607.58803,293,6,2.26,0.4115,-,4
5,51.578,-176.4714,34.9117,1599106425.40431,296,10,2.17,0.232,-,5
6,51.7006,-177.286,38.8389,1599179645.40787,307,8,-999.0,0.9973,-,6
7,51.9206,-174.5531,30.3858,1599198528.1597,310,12,2.23,0.7748,-,7
8,52.0681,-174.195,43.9134,1599207041.45105,311,9,2.11,0.9903,-,8
9,51.8462,-176.8026,2.341,1599221219.79629,312,6,-999.0,1.1367,-,9
10,51.995,-176.0126,46.3667,1599221743.48678,313,4,1.16,0.0495,-,10
11,53.8756,-166.0047,27.9386,1599281187.05751,314,5,1.48,0.3638,-,11
12,51.9913,-176.9649,21.329,1599284908.90788,317,7,1.82,0.4596,-,12
13,51.7357,-177.036,0.0,1599288648.65195,318,5,1.37,0.8983,-,13
14,53.8622,-166.1008,37.0531,1599290131.79331,319,6,1.08,0.7563,-,14
15,53.541,-167.2705,63.2925,1599344265.88723,324,11,2.72,0.6888,-,15
16,51.602,-177.138,1.1675,1599428421.89201,334,5,1.92,0.2891,-,16
17,53.4916,-167.3974,19.2746,1599478999.68716,335,10,2.69,0.221,-,17
18,51.6829,-176.5019,42.1664,1599510128.41618,337,12,1.97,0.4914,-,18
19,51.784,-177.06,50.0,1599535342.05831,342,7,-999.0,-1.0,-,19
20,53.7973,-166.6872,80.0,1599574670.48712,344,5,-999.0,-1.0,-,20
21,53.362,-167.5353,100.0,1599625511.05386,348,7,1.47,0.1041,-,21
22,53.4925,-167.7569,29.7531,1599627173.7598,349,4,-999.0,0.2439,-,22
23,54.3088,-170.8526,95.2352,1599634507.91884,350,12,2.94,0.3858,-,23
24,54.1176,-167.6448,1.9576,1599679107.44111,353,6,1.48,1.19,-,24
25,51.5013,-177.0243,32.5208,1599690943.83633,356,9,1.95,0.8323,-,25
26,51.5375,-176.865,46.8964,1599699692.33589,359,9,1.59,0.5749,-,26
27,51.5952,-176.2797,32.5038,1599734403.02847,360,8,1.98,0.585,-,27
28,51.9988,-174.3692,41.1282,1599753566.64348,363,17,3.4,0.4581,-,28
29,53.5837,-167.1514,49.9757,1599823079.20869,374,14,2.15,0.5239,-,29
30,53.4863,-167.1053,63.0266,1599831779.1352,375,15,3.03,0.4377,-,30
31,51.7014,-176.1946,31.1635,1599855691.60466,379,6,1.7,0.5149,-,31
32,51.844,-175.8969,42.2807,1599867442.05185,381,9,1.87,1.2728,-,32
33,53.6388,-166.8357,65.6584,1599880000.59318,384,14,2.27,0.1918,-,33
34,53.8357,-166.741,3.222,1599895036.10824,386,6,-999.0,0.3456,-,34
35,51.5067,-175.9768,35.757,1599895841.19437,387,11,2.49,0.4683,-,35
36,54.2578,-165.824,21.3352,1599896700.60185,393,8,1.58,0.6944,-,36
37,53.8559,-166.7486,1.1776,1599909411.81027,397,4,-999.0,0.0119,-,37
38,53.8293,-165.682,19.6679,1599945844.9707,401,11,1.59,0.2151,-,38
39,51.9013,-176.5488,0.0216,1599988669.07317,402,8,-999.0,2.687,-,39
40,53.8666,-166.7916,4.5069,1600030417.76175,407,8,2.03,0.4484,-,40
41,52.2118,-174.4274,50.0,1600035586.45667,408,11,-999.0,-1.0,-,41
42,52.3269,-174.088,40.0,1600055571.93101,409,4,-999.0,-1.0,-,42
43,53.8906,-166.1465,33.8927,1600063173.09202,411,15,2.62,0.3973,-,43
44,51.6486,-176.6001,35.9867,1600081289.94063,412,10,1.64,0.7753,-,44
45,53.8048,-166.496,0.0,1600084535.14503,414,4,0.87,0.3534,-,45
46,51.6719,-176.2889,0.1724,1600105248.74139,416,5,-999.0,0.6667,-,46
47,52.1058,-173.7664,11.129,1600121154.78251,417,15,2.28,0.7674,-,47
48,51.6833,-176.1435,27.8085,1600131437.72463,419,5,1.29,0.5032,-,48
49,51.7921,-175.9375,91.2459,1600137244.39416,420,12,2.29,0.4016,-,49
50,54.0319,-166.3245,85.6181,1600152924.22473,427,14,1.59,0.1849,-,50
51,51.4039,-176.6621,1.0903,1600170960.08121,428,6,-999.0,0.6017,-,51
52,51.3849,-176.0527,36.5131,1600217509.43626,430,16,3.37,0.3922,-,52
53,51.461,-176.1691,35.8012,1600217884.67835,431,14,2.79,0.5636,-,53
54,51.6385,-176.1415,24.7968,1600227353.91833,433,6,1.45,0.9155,-,54
55,53.7797,-166.6672,79.8437,1600233351.57722,434,14,-999.0,0.3844,-,55
56,51.8876,-175.3926,38.0655,1600260428.78693,438,11,2.16,1.0551,-,56
57,51.5761,-176.4238,36.9289,1600268246.32207,439,16,3.71,0.6276,-,57
58,51.6293,-175.4115,35.9846,1600380527.08549,452,11,1.82,0.604,-,58
59,51.3657,-177.6625,45.8618,1600390956.814,453,5,1.69,0.2159,-,59
60,51.5677,-177.7129,33.4859,1600391060.01549,454,6,1.51,0.5811,-,60
61,52.2021,-174.0287,11.4927,1600435325.39782,459,5,0.91,0.2393,-,61
62,51.7761,-177.1773,36.1121,1600512594.78148,462,11,1.74,0.2688,-,62
63,51.9546,-174.756,36.0073,1600524161.51111,463,12,2.04,0.4701,-,63
64,51.6409,-176.0718,35.3732,1600532735.46618,464,16,2.29,0.5827,-,64
65,53.5595,-167.4043,19.9891,1600575283.64246,468,6,1.33,0.2471,-,65
66,51.6382,-176.499,76.7532,1600691937.24405,471,5,2.32,0.0772,-,66
67,51.7467,-176.3993,16.5394,1600718152.87226,472,5,1.63,0.4389,-,67
68,53.5182,-167.7555,40.0,1600732831.00006,473,5,2.38,-1.0,-,68
69,53.3401,-167.5364,33.3289,1600737678.49713,474,6,2.64,0.2245,-,69
70,51.8024,-176.8805,56.1098,1600738494.09423,475,11,2.6,0.1897,-,70
71,52.0852,-174.0515,37.4653,1600782451.98005,478,11,-999.0,0.241,-,71
72,52.0081,-175.3909,100.0,1600796404.00014,481,15,2.56,0.3634,-,72
73,51.5358,-176.7322,17.6326,1600798722.57835,482,13,2.44,0.6982,-,73
74,51.5905,-177.1773,20.046,1600814998.61716,483,9,2.22,0.2714,-,74
75,52.1235,-174.5597,67.2477,1600823849.0738,484,14,3.18,0.3301,-,75
76,53.5595,-167.6117,99.9689,1600874180.44583,486,5,1.7,0.1793,-,76
77,51.4475,-176.5026,32.9919,1600886951.27598,487,7,2.16,0.1851,-,77
78,53.4865,-167.7448,40.0884,1600921515.33703,489,6,1.97,0.1227,-,78
79,52.1953,-174.1607,34.8794,1600931500.57856,490,9,1.58,0.3443,-,79
80,51.7923,-174.8839,57.1159,1600955459.00153,493,9,1.78,0.3506,-,80
81,51.8207,-177.3264,12.0214,1600971603.38449,496,7,0.75,0.375,-,81
82,51.6752,-176.6581,9.7228,1600977238.36398,499,9,1.12,0.4321,-,82
83,51.6224,-176.8217,33.1115,1600979792.44112,500,11,1.37,0.9253,-,83
84,51.884,-177.0557,60.0,1600980358.3861,501,10,1.65,-1.0,-,84
85,52.0113,-175.1365,63.3572,1600980528.08691,502,16,2.56,0.2238,-,85
86,51.7056,-176.6105,54.5412,1600982373.71249,504,9,1.35,0.9452,-,86
87,51.7634,-176.1276,12.0972,1600998249.11792,508,6,1.34,0.7475,-,87
88,52.0831,-174.7771,100.0,1601033163.24802,512,5,-999.0,0.3744,-,88
89,51.813,-177.2829,15.5496,1601046849.63855,513,10,-999.0,0.3075,-,89
90,53.5324,-168.0569,48.1828,1601053050.31111,515,4,-999.0,0.1858,-,90
91,51.8503,-174.6829,80.9727,1601079883.11964,516,6,1.6,0.4202,-,91
92,51.9624,-175.5595,89.7637,1601087980.12576,518,16,2.59,0.1653,-,92
93,52.1745,-174.4037,99.9974,1601117500.88109,526,5,0.57,0.3347,-,93
94,51.9874,-176.1963,46.8381,1601126315.61853,528,6,0.52,0.2959,-,94
95,51.679,-176.4688,35.7419,1601164169.02868,529,13,1.76,0.5431,-,95
96,52.5164,-170.1095,40.6657,1601179943.62492,530,31,5.51,0.7039,-,96
97,52.2739,-174.2824,42.8159,1601187425.48762,532,8,-999.0,1.3534,-,97
98,52.5006,-170.0831,95.2185,1601188572.46958,534,17,4.12,0.7921,-,98
99,52.7456,-170.1264,100.0,1601190958.31471,535,12,3.04,0.5593,-,99
100,53.0209,-170.3204,99.9595,1601194673.6167,540,18,3.84,0.6662,-,100
101,52.3549,-169.9282,63.7207,1601203874.18942,543,20,4.47,0.8334,-,101
102,51.7319,-177.0053,18.4419,1601215829.53981,544,10,1.83,0.8051,-,102
103,51.7597,-177.2201,2.354,1601216941.99423,546,9,-999.0,1.2749,-,103
104,51.8771,-174.5562,46.1565,1601247428.08627,547,8,2.22,0.2501,-,104
105,51.8513,-176.207,21.7195,1601253896.8307,548,10,1.7,0.631,-,105
106,52.8356,-170.1919,58.7295,1601261067.61994,549,27,4.77,0.7733,-,106
107,51.8694,-176.0703,22.1382,1601286029.62363,550,4,-999.0,0.2259,-,107
108,52.9616,-170.1327,99.789,1601342121.80416,551,17,3.84,0.65,-,108
109,51.5768,-177.2617,17.9869,1601353327.09912,552,7,-999.0,1.0865,-,109
110,51.5966,-176.7146,69.9873,1601405875.67948,553,6,1.81,0.1183,-,110
111,52.2101,-174.2111,37.3715,1601419861.17027,554,4,-999.0,0.1202,-,111
112,51.5783,-177.085,34.6299,1601422450.88734,555,8,1.6,0.8219,-,112
113,51.8221,-176.512,23.3883,1601424676.70123,556,12,1.45,2.165,-,113
114,51.7333,-176.2665,32.5202,1601446391.28169,557,9,1.8,1.1715,-,114
