,lat,lon,depth,time,evid,nass,ml,sdobs,etype,matchid
0,61.3978,-149.998,46.9566,1543599147.60529,464,31,4.51,0.3407,-,missed
1,61.4786,-149.9231,37.1516,1543599156.96242,198,32,4.62,0.5404,-,missed
2,61.2833,-149.9082,45.8034,1543599397.80654,162,42,4.87,0.5218,-,missed
3,61.4315,-150.0063,41.127,1543599465.23085,158,30,3.97,0.4847,-,missed
4,61.5596,-149.5871,28.7082,1543599622.73222,197,23,3.14,0.6248,-,missed
5,61.4543,-150.0465,40.1243,1543599913.20185,175,21,3.52,0.4511,-,missed
6,61.5064,-149.949,35.9542,1543600055.82727,193,29,2.96,0.3431,-,missed
7,61.4973,-149.9654,30.0411,1543600339.75998,195,17,3.22,0.5161,-,missed
8,61.4934,-149.9616,33.0492,1543600439.87179,196,17,2.33,0.4839,-,missed
9,61.408,-150.1311,40.1363,1543600639.75582,192,45,3.21,0.3928,-,missed
10,61.3785,-150.0229,41.9763,1543601032.72484,201,35,3.08,0.4491,-,missed
11,61.3644,-149.994,45.1966,1543601055.77508,202,12,2.83,0.2913,-,missed
12,61.4171,-150.0412,36.4115,1543601160.07276,203,16,2.76,0.398,-,missed
13,61.4509,-149.8361,50.6259,1543601227.86457,204,19,2.8,0.2705,-,missed
14,61.4929,-149.9033,30.8748,1543601334.31711,94,27,3.44,0.4856,-,missed
15,61.51,-149.9296,42.2713,1543601569.63059,205,27,2.87,0.3519,-,missed
16,61.5149,-149.9279,38.1044,1543601593.75675,209,30,3.18,0.3133,-,missed
17,61.3924,-150.0013,38.6515,1543601914.7251,211,23,2.54,0.3492,-,missed
18,61.4098,-150.0579,41.9711,1543602032.72486,212,22,3.02,0.2991,-,missed
19,61.4363,-150.0099,38.6752,1543602166.25747,217,16,2.47,0.7327,-,missed
20,61.4365,-149.8359,51.236,1543602199.57526,218,20,2.38,0.3173,-,missed
21,61.4518,-149.9251,33.0127,1543602265.37325,215,17,2.31,0.2453,-,missed
22,61.5251,-149.9065,43.1771,1543602345.41305,219,20,2.23,0.3269,-,missed
23,61.486,-149.9121,54.6663,1543602449.90434,214,16,3.02,0.3513,-,missed
24,61.4774,-149.9753,48.2269,1543602674.27603,230,22,3.56,0.3689,-,missed
25,61.4348,-149.9234,33.9905,1543603190.93147,238,102,3.8,0.3958,-,missed
26,61.4665,-149.9517,42.4827,1543603259.95163,239,13,2.51,0.3607,-,missed
27,61.4631,-150.1279,45.2242,1543603377.25912,241,25,3.15,0.3559,-,missed
28,61.507,-149.9508,45.8606,1543603589.83781,249,17,2.71,0.4309,-,missed
29,61.3788,-150.0118,37.5748,1543604128.55695,265,20,2.74,0.2986,-,missed
30,61.4138,-150.0674,39.5576,1543604363.45296,263,25,2.36,0.494,-,missed
31,61.4077,-150.0572,34.9714,1543604650.18583,272,19,2.47,0.4768,-,missed
32,61.4125,-149.8814,55.4295,1543604680.54416,273,14,2.14,0.2324,-,missed
33,61.4126,-150.0297,37.6021,1543604800.73773,275,45,3.6,0.434,-,missed
34,61.4668,-150.0071,40.9067,1543604952.12687,266,20,2.4,0.3942,-,missed
35,61.4219,-150.0651,38.0943,1543605217.79023,278,15,2.31,0.4832,-,missed
36,61.5011,-149.9576,48.0761,1543605435.39889,280,14,2.6,0.3203,-,missed
37,61.4056,-150.074,44.396,1543605742.35296,226,14,2.45,0.1888,-,missed
