,lat,lon,depth,time,evid,nass,ml,sdobs,etype,matchid
0,61.3464,-149.9552,46.7199,1543598969.3301,465,398,6.77,1.0353,-,0
1,61.336,-149.9101,39.3425,1543599232.95048,159,61,4.26,0.5755,-,1
2,61.2822,-149.9571,40.7938,1543599337.22182,83,219,5.73,0.5383,-,2
3,61.454,-150.0896,33.8781,1543599577.59271,161,51,3.6,0.6563,-,3
4,61.4209,-149.9614,43.3971,1543599718.70128,84,85,4.05,0.474,-,4
5,61.4283,-149.9418,36.5973,1543599740.60894,191,46,4.04,0.4867,-,5
6,61.5357,-149.9486,43.3259,1543599779.85258,173,77,4.45,0.6233,-,6
7,61.5117,-149.9159,36.6467,1543599848.30417,160,44,3.71,0.4917,-,7
8,61.4331,-149.9789,32.3943,1543599877.69791,174,30,3.32,0.4185,-,8
9,61.4833,-149.9497,45.9106,1543600019.72902,189,28,3.15,0.3515,-,9
10,61.3625,-150.0546,31.0273,1543600101.18685,180,27,3.49,0.5955,-,10
11,61.4698,-149.9477,29.4497,1543600128.77838,179,36,3.66,0.6899,-,11
12,61.4289,-149.8952,43.4071,1543600183.05769,86,29,3.37,0.484,-,12
13,61.5226,-149.92,37.4008,1543600295.70552,85,51,3.24,0.4018,-,13
14,61.4062,-149.9557,35.3084,1543600505.85468,87,202,3.64,0.4581,-,14
15,61.4993,-149.9658,36.3903,1543600548.47066,89,91,3.72,0.504,-,15
16,61.3913,-150.0486,42.1616,1543600657.23866,90,83,3.39,0.4033,-,16
17,61.3846,-150.0163,43.0351,1543600724.563,190,43,3.11,0.3825,-,17
18,61.459,-149.9541,40.1871,1543600806.56676,88,262,4.84,0.6597,-,18
19,61.4664,-149.9779,42.825,1543600896.26061,194,40,3.81,0.4145,-,19
20,61.438,-149.9347,38.4101,1543600939.81702,199,54,3.39,0.5238,-,20
21,61.3471,-150.0258,40.6069,1543600973.77955,200,37,3.18,0.5163,-,21
22,61.4781,-150.0002,39.6637,1543601091.82283,92,37,3.22,0.4371,-,22
23,61.4543,-149.9944,50.0225,1543601120.69164,176,15,2.92,0.4867,-,23
24,61.5125,-149.9205,38.2531,1543601187.03086,91,47,3.07,0.6028,-,24
25,61.4062,-150.0625,32.1585,1543601267.69075,93,42,3.32,0.5609,-,25
26,61.5849,-149.8374,49.918,1543601436.52669,95,83,3.79,0.4568,-,26
27,61.4697,-149.9802,46.2169,1543601509.81407,206,25,2.92,0.3609,-,27
28,61.4083,-150.0187,42.0523,1543601552.61931,207,26,2.89,0.4089,-,28
29,61.5066,-149.9415,42.7334,1543601608.92461,101,36,3.29,0.5417,-,29
30,61.4805,-150.0206,37.3089,1543601721.75382,96,70,3.24,0.3794,-,30
31,61.415,-150.0859,30.442,1543601753.99693,210,23,3.03,0.463,-,31
32,61.4111,-150.0916,31.1583,1543601786.8266,208,28,3.21,0.4473,-,32
33,61.4034,-150.0715,46.7443,1543601878.94726,98,36,2.99,0.4883,-,33
34,61.4192,-150.0817,37.1502,1543601985.06342,99,39,3.16,0.3783,-,34
35,61.504,-149.9316,45.8263,1543602004.4134,177,42,3.22,0.2192,-,35
36,61.4442,-149.872,35.7653,1543602091.8515,100,44,3.62,0.4249,-,36
37,61.3983,-150.059,39.0757,1543602101.74442,178,76,3.61,0.5134,-,37
38,61.4304,-150.1005,32.625,1543602243.6507,216,27,2.32,0.5562,-,38
39,61.2814,-149.9732,45.2743,1543602288.88465,213,32,2.51,0.4203,-,39
40,61.3761,-150.0444,34.943,1543602373.84564,102,89,2.8,0.4286,-,40
41,61.5366,-149.9108,51.366,1543602436.21955,104,48,3.0,0.327,-,41
42,61.4857,-149.9475,50.2022,1543602475.17133,228,20,2.78,0.4008,-,42
43,61.4873,-149.9691,38.9508,1543602501.49545,232,21,2.75,0.3496,-,43
44,61.4852,-149.9273,37.8247,1543602551.76102,233,32,3.14,0.4063,-,44
