,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotated
171,61.2749,-149.926,36.5575,1543599337,304,71,5.93,0.6514,D,duplicate of MATCHED evid #311 or #310
186,61.5741,-149.9601,17.8416,1543599921,363,5,3.76,0.4123,-,earthquake — very few phases
191,61.4999,-149.7172,79.4263,1543600329,372,6,3.21,0.4321,n,"classified as noise (potentially very small aftershock, P-only location)"
203,61.3452,-149.9966,0.268,1543600636,404,7,3.66,2.0393,n,"possibly small earthquake, but not clear in waveforms"
209,61.4198,-149.9275,76.5047,1543601030,423,12,3.04,1.6186,-,earthquake
218,61.4802,-149.8557,23.6646,1543601332,441,39,3.33,1.1173,-,earthquake (some P-arrivals appear to not be in the correct spot)
267,61.4359,-149.9168,3.129,1543603187,580,79,3.95,1.5543,D,Duplicate of MATCHED evid #599 (this is the better solution)
272,61.3832,-150.1233,23.5126,1543603320,593,17,2.74,0.6508,D,Duplicate of MATCHED evid #605
284,61.5107,-150.1068,9.1417,1543603375,602,23,3.04,0.9277,D,Duplicate of MATCHED evid #616
310,61.3415,-149.8932,3.3459,1543604263,714,12,3.29,1.1225,D,Duplicate of MATCHED evid #700
319,61.4137,-149.9137,0.0305,1543604047,731,13,2.58,0.7182,D,Duplicate of MATCHED evid #682
321,61.4094,-149.9054,36.0326,1543604746,736,9,2.64,0.8298,D,Duplicate of MATCHED evid #735
323,61.535,-149.8617,36.9491,1543604823,739,7,3.75,0.724,D,Duplicate of MATCHED evid #743
329,61.3797,-150.0524,14.99,1543604798,734,67,3.67,0.7902,D,Duplicate of MATCHED evid #758 (this is the better solution)
335,61.5312,-149.7719,30.1538,1543605362,786,12,3.04,0.9196,-,earthquake
343,61.2147,-150.2441,99.0768,1543605612,804,14,3.56,0.7023,D,Duplicate of MATCHED evid #803
346,61.5013,-149.206,8.9093,1543605589,819,7,4.04,1.0639,n,"jumbled waveforms — possibly something small, but no real discernable phases"
350,61.463,-149.8886,36.2471,1543605324,783,14,-999,0.5491,D,Duplicate of MATCHED evid #820
353,61.5507,-150.321,12.3576,1543605920,829,7,3.2,0.5991,D,Duplicate of MATCHED evid #830 (possibly #827)
360,61.4033,-150.1483,30.9064,1543606134,863,7,3.74,0.7205,-,earthquake
364,61.5689,-149.4738,9.6445,1543606276,874,9,3.67,0.7636,D,Duplicate of MATCHED evid #890
365,61.5602,-150.0752,35.7406,1543605776,822,21,3.08,0.6381,D,Duplicate of MATCHED evid #881
378,61.3339,-149.9314,35.9923,1543606888,913,35,3,0.9111,-,earthquake
384,61.5131,-149.9382,32.325,1543607258,936,8,-999,0.5751,-,earthquake (messy phase arrivals)
386,61.5818,-150.2963,53.3145,1543606759,946,11,3.51,0.6095,D,Duplicate of MATCHED evid #903
398,61.2929,-149.249,99.9391,1543607674,975,8,3.01,1.4159,D,Duplicate of MATCHED evid #979
412,61.5171,-149.8537,91.422,1543608067,1009,9,2.77,1.8301,-,earthquake — in coda of preceeding event
419,61.467,-150.3215,0,1543608292,1032,8,2.7,0.9149,-,earthquake
426,61.387,-150.3462,65.929,1543608425,1040,59,3.68,1.1031,D,Duplicate of MATCHED evid #1042
458,61.3667,-150.1252,26.3665,1543610267,1157,19,2.54,0.7943,-,earthquake — in coda of preceeding event (P-arrivals placed on first S-phase at farther stations)
463,61.4662,-149.9583,29.8195,1543610493,1173,8,-999,0.4098,D,Duplicate of MATCHED evid #1227
