,lat,lon,depth,time,evid,nass,ml,sdobs,etype,matchid
0,61.3089,-149.9746,36.6061,1543598970.10331,295,101,6.89,1.1461,-,0
1,61.3019,-149.9098,37.6616,1543599232.88054,303,18,4.62,0.6128,-,1
2,61.2749,-149.926,36.5575,1543599336.89994,304,71,5.93,0.6514,-,2
3,61.465,-150.0944,16.3556,1543599575.63698,316,20,3.73,0.7332,-,3
4,61.4755,-150.0732,23.7598,1543599717.73312,324,26,4.08,0.8102,-,4
5,61.3928,-149.9168,34.8331,1543599740.5126,323,60,4.24,0.788,-,5
6,61.5099,-149.9097,36.226,1543599779.74,328,47,4.5,0.676,-,6
7,61.5147,-149.924,35.2144,1543599847.72619,338,17,3.71,0.4484,-,7
8,61.3305,-149.9345,48.4208,1543599876.50591,340,6,-999.0,0.4479,-,8
9,61.6083,-150.0276,6.2535,1543600018.56017,348,22,3.37,0.7754,-,9
10,61.3487,-150.0371,34.6906,1543600100.66068,351,39,3.82,0.6221,-,10
11,61.4342,-149.9084,20.4971,1543600127.05266,353,30,3.74,0.4968,-,11
12,61.415,-149.9109,37.1261,1543600182.88617,366,21,3.35,0.4107,-,12
13,61.5455,-149.9098,38.8539,1543600295.71745,371,49,3.37,0.796,-,13
14,61.3903,-149.9203,34.9435,1543600505.41887,380,68,3.66,0.7062,-,14
15,61.5023,-149.9346,35.0846,1543600548.25113,388,48,4.09,0.6844,-,15
16,61.3876,-150.081,25.3559,1543600656.44769,401,29,3.36,0.8165,-,16
17,61.3819,-150.07,48.1175,1543600724.65845,406,6,2.97,0.8454,-,17
18,61.4628,-149.9439,34.6136,1543600806.01783,408,58,5.11,0.3943,-,18
19,61.4485,-150.0154,37.2243,1543600896.50747,418,15,3.95,0.5512,-,19
20,61.4558,-149.9291,33.1032,1543600939.00086,419,8,3.31,0.1626,-,20
21,61.2472,-149.9099,46.2081,1543600972.50704,421,13,3.43,0.8638,-,21
22,61.4663,-149.9434,34.6851,1543601091.64946,424,38,3.25,0.6108,-,22
23,61.5473,-149.9488,38.4353,1543601121.26102,425,15,-999.0,0.8358,-,23
24,61.4961,-149.9294,35.7066,1543601186.73453,427,21,3.13,0.5995,-,24
25,61.3737,-150.0778,33.8694,1543601267.3756,435,33,3.42,0.6241,-,25
26,61.5777,-149.8472,41.0688,1543601436.45449,451,49,3.78,0.5205,-,26
27,61.4855,-150.0005,35.4263,1543601509.65963,457,13,3.03,0.3677,-,27
28,61.4389,-150.0746,34.9651,1543601552.27371,458,14,2.81,0.5528,-,28
29,61.4455,-149.9143,42.9523,1543601608.73828,461,19,3.36,0.6838,-,29
30,61.4707,-150.0342,34.9731,1543601721.81461,464,72,3.46,0.8306,-,30
31,61.4052,-150.1261,22.8092,1543601752.28202,467,11,-999.0,1.0215,-,31
32,61.4227,-150.1183,30.4557,1543601785.93043,470,17,3.21,0.5262,-,32
33,61.4004,-150.1133,20.9829,1543601878.13271,474,44,2.97,0.7204,-,33
34,61.4027,-150.0804,34.7397,1543601984.90033,477,41,3.28,0.6654,-,34
35,61.4852,-149.9109,35.202,1543602004.87341,478,42,3.23,0.6406,-,35
36,61.4826,-149.8914,26.8031,1543602090.75888,489,11,3.77,0.4885,-,36
37,61.3935,-150.0504,21.999,1543602100.15547,487,61,3.64,0.5164,-,37
38,61.4252,-150.1498,36.4342,1543602243.28443,494,13,2.38,0.4974,-,38
39,61.2588,-149.9442,45.4223,1543602288.57646,496,13,2.7,0.6371,-,39
40,61.3743,-150.0575,35.4157,1543602373.99191,501,58,2.89,0.6994,-,40
41,61.5354,-149.8993,45.4099,1543602436.08598,503,47,3.03,0.6975,-,41
42,61.5356,-149.8682,0.8159,1543602477.08976,512,9,-999.0,1.2253,-,42
43,61.5816,-149.9593,37.8009,1543602502.08109,511,11,2.68,0.7609,-,43
44,61.4754,-149.9141,34.747,1543602551.74839,510,51,3.08,0.7272,-,44
45,61.403,-150.0932,35.0422,1543602596.97536,514,44,3.26,0.6127,-,45
46,61.491,-149.9056,34.9986,1543602652.26545,517,68,3.8,0.6436,-,46
47,61.4077,-150.1059,35.11,1543602694.74411,531,36,3.89,0.6226,-,47
48,61.4844,-150.0749,35.3002,1543602778.21572,536,39,3.39,0.5184,-,48
49,61.4215,-150.0913,24.3559,1543602854.76269,543,13,2.5,0.5158,-,49
50,61.3704,-150.0523,34.968,1543602916.1809,544,63,3.6,0.5306,-,50
51,61.401,-150.093,35.0374,1543602942.53514,546,13,3.89,0.8338,-,51
52,61.484,-149.9107,34.8434,1543602960.08063,559,29,3.82,0.6933,-,52
53,61.3853,-150.1101,36.7657,1543602998.11912,560,22,3.77,0.5149,-,53
54,61.4807,-149.9148,44.585,1543603325.05499,605,6,2.78,0.0642,-,54
55,61.4709,-149.7201,45.4316,1543603502.28083,611,42,3.07,0.5484,-,55
56,61.3059,-150.125,50.3091,1543603517.81145,614,42,3.14,0.7912,-,56
57,61.3357,-150.1024,35.3311,1543603549.78223,620,33,3.28,0.8198,-,57
58,61.4572,-149.9106,26.2273,1543603646.60279,639,58,3.52,0.6814,-,58
59,61.4275,-149.9058,39.7847,1543603719.13081,650,15,2.24,0.4657,-,59
60,61.2731,-149.9602,41.5541,1543603749.16676,649,12,2.75,0.2011,-,60
61,61.5313,-149.993,55.2321,1543603786.58711,651,17,3.1,0.4654,-,61
62,61.4659,-149.9109,34.6831,1543603868.07459,657,23,3.17,0.6769,-,62
63,61.5213,-150.0995,16.2952,1543603883.97489,663,17,3.27,0.9729,-,63
64,61.4555,-149.9475,36.972,1543603945.44708,664,38,3.05,0.5913,-,64
65,61.4881,-149.9313,11.0826,1543603968.93177,671,20,2.89,0.831,-,65
66,61.4169,-149.9084,36.1424,1543604051.81906,678,43,2.58,0.7833,-,66
67,61.4608,-149.6798,44.1855,1543604144.62289,683,39,2.71,0.6061,-,67
68,61.2624,-149.9822,44.0571,1543604241.43178,701,8,2.79,0.3252,-,68
69,61.4846,-150.1013,27.6325,1543604269.96054,700,58,3.17,0.742,-,69
70,61.3919,-150.072,35.5736,1543604394.64196,711,64,3.03,0.617,-,70
71,61.3884,-150.0791,33.9604,1543604550.06379,725,25,3.03,0.7122,-,71
72,61.3685,-150.1124,34.9778,1543604609.78682,727,14,2.44,0.6165,-,72
73,61.4755,-150.0732,19.2678,1543604739.95176,735,17,2.81,0.9767,-,73
74,61.4135,-150.0502,36.6279,1543604829.43303,743,22,3.47,0.5371,-,74
75,61.3935,-149.9556,45.6169,1543604993.23583,761,19,2.3,0.5632,-,75
76,61.4648,-150.1876,28.132,1543605035.39481,769,19,2.45,0.6155,-,76
