,lat,lon,depth,time,evid,nass,ml,sdobs,etype,matchid
0,61.3978,-149.998,46.9566,1543599147.60529,464,31,4.51,0.3407,-,missed
1,61.4786,-149.9231,37.1516,1543599156.96242,198,32,4.62,0.5404,-,missed
2,61.336,-149.9101,39.3425,1543599232.95048,159,61,4.26,0.5755,-,missed
3,61.2822,-149.9571,40.7938,1543599337.22182,83,219,5.73,0.5383,-,missed
4,61.2833,-149.9082,45.8034,1543599397.80654,162,42,4.87,0.5218,-,missed
5,61.4315,-150.0063,41.127,1543599465.23085,158,30,3.97,0.4847,-,missed
6,61.454,-150.0896,33.8781,1543599577.59271,161,51,3.6,0.6563,-,missed
7,61.5596,-149.5871,28.7082,1543599622.73222,197,23,3.14,0.6248,-,missed
8,61.5117,-149.9159,36.6467,1543599848.30417,160,44,3.71,0.4917,-,missed
9,61.4331,-149.9789,32.3943,1543599877.69791,174,30,3.32,0.4185,-,missed
10,61.4543,-150.0465,40.1243,1543599913.20185,175,21,3.52,0.4511,-,missed
11,61.5064,-149.949,35.9542,1543600055.82727,193,29,2.96,0.3431,-,missed
12,61.4698,-149.9477,29.4497,1543600128.77838,179,36,3.66,0.6899,-,missed
13,61.4973,-149.9654,30.0411,1543600339.75998,195,17,3.22,0.5161,-,missed
14,61.4934,-149.9616,33.0492,1543600439.87179,196,17,2.33,0.4839,-,missed
15,61.408,-150.1311,40.1363,1543600639.75582,192,45,3.21,0.3928,-,missed
16,61.3913,-150.0486,42.1616,1543600657.23866,90,83,3.39,0.4033,-,missed
17,61.3846,-150.0163,43.0351,1543600724.563,190,43,3.11,0.3825,-,missed
18,61.4664,-149.9779,42.825,1543600896.26061,194,40,3.81,0.4145,-,missed
19,61.438,-149.9347,38.4101,1543600939.81702,199,54,3.39,0.5238,-,missed
20,61.3471,-150.0258,40.6069,1543600973.77955,200,37,3.18,0.5163,-,missed
21,61.3785,-150.0229,41.9763,1543601032.72484,201,35,3.08,0.4491,-,missed
22,61.3644,-149.994,45.1966,1543601055.77508,202,12,2.83,0.2913,-,missed
23,61.4543,-149.9944,50.0225,1543601120.69164,176,15,2.92,0.4867,-,missed
24,61.4171,-150.0412,36.4115,1543601160.07276,203,16,2.76,0.398,-,missed
25,61.5125,-149.9205,38.2531,1543601187.03086,91,47,3.07,0.6028,-,missed
26,61.4509,-149.8361,50.6259,1543601227.86457,204,19,2.8,0.2705,-,missed
27,61.4929,-149.9033,30.8748,1543601334.31711,94,27,3.44,0.4856,-,missed
28,61.4697,-149.9802,46.2169,1543601509.81407,206,25,2.92,0.3609,-,missed
29,61.4083,-150.0187,42.0523,1543601552.61931,207,26,2.89,0.4089,-,missed
30,61.51,-149.9296,42.2713,1543601569.63059,205,27,2.87,0.3519,-,missed
31,61.5149,-149.9279,38.1044,1543601593.75675,209,30,3.18,0.3133,-,missed
32,61.5066,-149.9415,42.7334,1543601608.92461,101,36,3.29,0.5417,-,missed
33,61.415,-150.0859,30.442,1543601753.99693,210,23,3.03,0.463,-,missed
34,61.4111,-150.0916,31.1583,1543601786.8266,208,28,3.21,0.4473,-,missed
35,61.4034,-150.0715,46.7443,1543601878.94726,98,36,2.99,0.4883,-,missed
36,61.3924,-150.0013,38.6515,1543601914.7251,211,23,2.54,0.3492,-,missed
37,61.504,-149.9316,45.8263,1543602004.4134,177,42,3.22,0.2192,-,missed
