,lat,lon,depth,time,evid,nass,ml,sdobs,etype,matchid
0,61.3464,-149.9552,46.7199,1543598969.3301,465,398,6.77,1.0353,-,0
1,61.4209,-149.9614,43.3971,1543599718.70128,84,85,4.05,0.474,-,1
2,61.4283,-149.9418,36.5973,1543599740.60894,191,46,4.04,0.4867,-,2
3,61.5357,-149.9486,43.3259,1543599779.85258,173,77,4.45,0.6233,-,3
4,61.4833,-149.9497,45.9106,1543600019.72902,189,28,3.15,0.3515,-,4
5,61.3625,-150.0546,31.0273,1543600101.18685,180,27,3.49,0.5955,-,5
6,61.4289,-149.8952,43.4071,1543600183.05769,86,29,3.37,0.484,-,6
7,61.5226,-149.92,37.4008,1543600295.70552,85,51,3.24,0.4018,-,7
8,61.4062,-149.9557,35.3084,1543600505.85468,87,202,3.64,0.4581,-,8
9,61.4993,-149.9658,36.3903,1543600548.47066,89,91,3.72,0.504,-,9
10,61.459,-149.9541,40.1871,1543600806.56676,88,262,4.84,0.6597,-,10
11,61.4781,-150.0002,39.6637,1543601091.82283,92,37,3.22,0.4371,-,11
12,61.4062,-150.0625,32.1585,1543601267.69075,93,42,3.32,0.5609,-,12
13,61.5849,-149.8374,49.918,1543601436.52669,95,83,3.79,0.4568,-,13
14,61.4805,-150.0206,37.3089,1543601721.75382,96,70,3.24,0.3794,-,14
15,61.4192,-150.0817,37.1502,1543601985.06342,99,39,3.16,0.3783,-,15
16,61.4442,-149.872,35.7653,1543602091.8515,100,44,3.62,0.4249,-,16
17,61.3983,-150.059,39.0757,1543602101.74442,178,76,3.61,0.5134,-,17
18,61.3761,-150.0444,34.943,1543602373.84564,102,89,2.8,0.4286,-,18
19,61.5366,-149.9108,51.366,1543602436.21955,104,48,3.0,0.327,-,19
20,61.4852,-149.9273,37.8247,1543602551.76102,233,32,3.14,0.4063,-,20
21,61.4206,-150.0634,35.2373,1543602597.20387,234,34,3.34,0.4627,-,21
22,61.495,-149.9215,36.4213,1543602652.69104,229,86,3.69,0.4449,-,22
23,61.4857,-150.0708,42.0562,1543602778.26635,243,42,3.44,0.4436,-,23
24,61.3863,-150.0373,43.4086,1543602916.33832,245,76,3.57,0.3937,-,24
25,61.4078,-150.0944,38.9542,1543602998.38925,235,48,3.76,0.4999,-,25
26,61.4348,-149.9234,33.9905,1543603190.93147,238,102,3.8,0.3958,-,26
27,61.4597,-149.755,52.8449,1543603502.30021,242,41,3.08,0.3002,-,27
28,61.3548,-150.0956,41.0541,1543603517.84585,247,18,3.02,0.4794,-,28
29,61.3504,-150.0815,33.3248,1543603550.32977,248,32,3.3,0.4329,-,29
30,61.4766,-149.8979,31.3463,1543603647.52683,250,45,3.37,0.3777,-,30
31,61.3045,-149.9444,39.7705,1543603750.00029,252,23,2.82,0.4521,-,31
32,61.5021,-149.9702,50.6784,1543603787.1086,254,32,3.13,0.296,-,32
33,61.4329,-149.9204,41.8332,1543603868.3931,256,41,3.24,0.3129,-,33
34,61.4683,-149.9376,39.0622,1543603945.45913,251,32,3.01,0.3545,-,34
35,61.4212,-149.9138,33.8127,1543604052.12672,255,52,2.59,0.49,-,35
36,61.4716,-149.7305,56.2032,1543604144.42272,264,36,2.81,0.2913,-,36
37,61.4395,-150.1092,33.5992,1543604270.73492,261,35,3.24,0.4553,-,37
38,61.4122,-150.0649,38.7832,1543604394.93351,260,46,3.04,0.3666,-,38
39,61.3751,-149.9896,39.6486,1543604550.07657,262,31,3.04,0.4943,-,39
40,61.3806,-150.0725,39.8116,1543604609.89769,271,34,2.58,0.4812,-,40
41,61.4221,-150.1027,38.5027,1543605124.14971,269,26,2.85,0.4262,-,41
42,61.4421,-149.7594,40.8114,1543605153.84422,270,40,3.15,0.3555,-,42
43,61.4229,-150.0654,38.9414,1543605291.18774,281,45,2.78,0.5155,-,43
44,61.3599,-150.0628,35.6364,1543605351.27974,282,31,2.98,0.4674,-,44
45,61.439,-150.0754,39.6802,1543605417.11235,277,29,2.69,0.3767,-,45
46,61.3851,-150.0523,38.9631,1543605467.49363,225,52,3.01,0.4313,-,46
47,61.3809,-150.0205,43.9309,1543605554.2978,283,33,2.88,0.4119,-,47
48,61.4658,-149.9591,39.4527,1543605620.56024,221,52,3.69,0.3948,-,48
49,61.4735,-149.9241,36.1746,1543605773.04234,227,84,3.11,0.4571,-,49
50,61.3691,-150.1063,38.8682,1543605863.71361,224,31,2.29,0.3478,-,50
51,61.4447,-150.0508,39.1026,1543605907.03936,223,35,3.14,0.2973,-,51
52,61.389,-150.005,42.7821,1543605923.80691,220,63,3.09,0.4416,-,52
53,61.3707,-150.0039,39.7582,1543605989.63825,97,126,4.77,0.4224,-,53
54,61.3713,-149.7104,35.2192,1543606092.69079,295,79,4.37,0.4559,-,54
55,61.4779,-150.0545,29.9887,1543606267.38754,289,104,3.5,0.6044,-,55
56,61.346,-150.0308,40.9826,1543606381.58919,287,56,3.2,0.4438,-,56
57,61.4322,-149.881,33.0484,1543606445.5345,286,23,2.58,0.3528,-,57
58,61.4484,-149.9252,29.3206,1543606609.07398,285,35,2.55,0.564,-,58
59,61.3867,-150.0458,39.4021,1543606754.18762,293,130,3.54,0.5437,-,59
60,61.3702,-150.0414,40.6639,1543606967.00861,103,94,3.93,0.3279,-,60
61,61.4312,-150.0416,42.0255,1543607314.44346,304,51,2.38,0.334,-,61
62,61.4092,-150.0888,31.8509,1543607396.25688,299,71,3.38,0.4332,-,62
63,61.5011,-149.6599,53.9482,1543607491.97485,301,50,3.21,0.2756,-,63
64,61.4552,-149.8803,34.9163,1543607649.05813,303,41,2.96,0.3638,-,64
65,61.3948,-150.0652,39.4013,1543607730.39884,306,75,3.35,0.4897,-,65
66,61.4564,-149.8908,36.4679,1543607785.51424,307,50,3.39,0.4078,-,66
67,61.428,-149.8728,34.9322,1543607909.35041,309,52,2.86,0.5255,-,67
68,61.4997,-149.942,37.6361,1543607978.19806,310,31,2.91,0.5464,-,68
