,lat,lon,depth,time,evid,nass,ml,sdobs,etype
119,61.2628,-149.9288,14.6628,1543599334.94491,5908,76,5.86,0.7332,-
134,61.2599,-150.1181,0.6825,1543600196.79588,5980,6,3.5,1.1587,-
137,61.1383,-149.823,100.0,1543599792.15933,5944,8,4.67,0.838,-
142,61.1845,-149.9197,1.1429,1543600653.57988,6010,15,3.49,0.8964,-
149,61.3904,-150.1218,0.0,1543600907.48218,6045,4,4.2,0.7389,-
154,61.3728,-149.9718,27.5057,1543601329.30609,6058,21,3.36,1.0388,-
163,61.1871,-149.4778,12.8983,1543601614.18935,6076,7,3.38,0.7051,-
189,61.1612,-150.2265,67.7924,1543602792.56414,6144,8,3.64,0.8891,-
195,61.274,-149.9186,0.0058,1543602567.14199,6122,7,3.4,0.836,-
197,61.4839,-150.1141,1.1776,1543603009.74251,6165,8,3.93,0.7948,-
208,61.5339,-150.007,50.7484,1543603370.94126,6201,12,3.04,0.8547,-
218,61.4063,-150.3227,0.298,1543603660.83614,6228,5,3.76,0.7853,-
219,61.2644,-149.2933,0.1793,1543603569.56998,6222,7,3.5,1.0552,-
249,61.5367,-150.105,0.0045,1543605169.43852,6307,10,3.17,0.8442,-
252,61.3796,-150.1066,5.0001,1543604797.62107,6277,74,3.68,0.7405,-
273,61.5599,-150.1196,0.8339,1543606109.85001,6410,12,4.56,0.6908,-
303,61.308,-149.8805,23.1851,1543606887.57811,6467,29,3.18,0.8583,-
325,61.5942,-149.9185,6.6848,1543607927.70819,6540,4,2.96,0.1211,-
326,61.2136,-149.9288,0.087,1543607989.64396,6542,4,3.08,0.8163,-
335,61.2107,-149.9921,35.4799,1543608178.34421,6565,5,3.27,0.8814,-
340,61.2396,-149.3641,70.5139,1543608124.65928,6574,4,3.1,0.0997,-
342,61.4426,-149.9851,47.1817,1543608422.61713,6571,45,3.66,0.7357,-
368,61.487,-150.107,12.2801,1543609690.71712,6673,7,4.97,0.3266,-
371,61.3897,-150.1206,0.0,1543609773.98376,6685,5,3.9,0.6166,-
385,61.2772,-149.5033,0.6686,1543609697.30057,6712,5,4.72,1.0396,-
394,61.383,-150.0797,37.3946,1543610267.47072,6718,9,2.76,0.5778,-
396,61.3845,-149.9045,13.6503,1543610454.41085,6724,38,3.74,0.4969,-
401,61.6039,-149.4429,5.0329,1543610801.62822,6754,5,3.09,0.7296,-
