,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotated
119,61.2628,-149.9288,14.6628,1543599335,5908,76,5.86,0.7332,D,Duplicate of MATCHED evid #5924 (same signal)
134,61.2599,-150.1181,0.6825,1543600197,5980,6,3.5,1.1587,n,Duplicate P-arrivals assigned to S-arrivals and associated as new event
137,61.1383,-149.823,100,1543599792,5944,8,4.67,0.838,n,Duplicate P-arrivals assigned to S-arrivals and associated as new event
142,61.1845,-149.9197,1.1429,1543600654,6010,15,3.49,0.8964,-,"earthquake — many unpromoted detections, location is kind of a mess"
149,61.3904,-150.1218,0,1543600907,6045,4,4.2,0.7389,D,Duplicate of MATCHED evid #6070
154,61.3728,-149.9718,27.5057,1543601329,6058,21,3.36,1.0388,-,earthquake 
163,61.1871,-149.4778,12.8983,1543601614,6076,7,3.38,0.7051,-,earthquake — lots of unpromoted detections
189,61.1612,-150.2265,67.7924,1543602793,6144,8,3.64,0.8891,n,Duplicate P-arrivals assigned to S-arrivals and associated as new event
195,61.274,-149.9186,0.0058,1543602567,6122,7,3.4,0.836,n,Duplicate P-arrivals assigned to S-arrivals and associated as new event
197,61.4839,-150.1141,1.1776,1543603010,6165,8,3.93,0.7948,D,"Duplicate of  MATCHED evid #6184 (6218, 6153)"
208,61.5339,-150.007,50.7484,1543603371,6201,12,3.04,0.8547,-,earthquake — P-only location
218,61.4063,-150.3227,0.298,1543603661,6228,5,3.76,0.7853,n,Duplicate P-arrivals assigned to S-arrivals and associated as new event
219,61.2644,-149.2933,0.1793,1543603570,6222,7,3.5,1.0552,D,Duplicate of MATCHED evid #6238
249,61.5367,-150.105,0.0045,1543605169,6307,10,3.17,0.8442,D,"Duplicate of MATCHED evid #6323 (6346, ...)"
252,61.3796,-150.1066,5.0001,1543604798,6277,74,3.68,0.7405,-,earthquake
273,61.5599,-150.1196,0.8339,1543606110,6410,12,4.56,0.6908,n,Duplicate P-arrivals assigned to S-arrivals and associated as new event
303,61.308,-149.8805,23.1851,1543606888,6467,29,3.18,0.8583,-,earthquake — seems like poor location
325,61.5942,-149.9185,6.6848,1543607928,6540,4,2.96,0.1211,n,Duplicate P-arrivals assigned to S-arrivals and associated as new event
326,61.2136,-149.9288,0.087,1543607990,6542,4,3.08,0.8163,n,Duplicate P-arrivals assigned to S-arrivals and associated as new event
335,61.2107,-149.9921,35.4799,1543608178,6565,5,3.27,0.8814,D,Duplicate of MATCHED evid #6557
340,61.2396,-149.3641,70.5139,1543608125,6574,4,3.1,0.0997,D,Duplicate of MATCHED evid #6566
342,61.4426,-149.9851,47.1817,1543608423,6571,45,3.66,0.7357,-,earthquake
368,61.487,-150.107,12.2801,1543609691,6673,7,4.97,0.3266,-,"earthquake — in coda of larger event, missing many clear arrivals"
371,61.3897,-150.1206,0,1543609774,6685,5,3.9,0.6166,D,Duplicate of MATCHED evid #6685
385,61.2772,-149.5033,0.6686,1543609697,6712,5,4.72,1.0396,D,Duplicate of evid #6673
394,61.383,-150.0797,37.3946,1543610267,6718,9,2.76,0.5778,-,"earthquake — overlapping, this is second signal (could use more detections)"
396,61.3845,-149.9045,13.6503,1543610454,6724,38,3.74,0.4969,D,Duplicate of MATCHED evid #6783
401,61.6039,-149.4429,5.0329,1543610802,6754,5,3.09,0.7296,D,Duplicate of MATCHED evid #6800
434,61.1797,-149.1461,2.696,1543611502,6848,7,3.06,0.7281,D,Duplicate of MATCHED evid #6813
451,61.385,-150.1203,6.9282,1543612276,6857,107,3.6,0.8089,D,Duplicate of MATCHED evid #6920 (this is the better solution)
460,61.29,-149.712,0.0353,1543612755,6897,10,3.53,0.693,n,Duplicate P-arrivals assigned to S-arrivals and associated as new event
463,61.3787,-150.0634,11.8126,1543612716,6887,37,3.01,0.8377,-,"earthquake — messy, overlapping signals"
475,61.4552,-150.0717,36.0468,1543614214,6983,11,2.14,1.0278,-,"earthquake — messy, overlapping signals"
529,61.5512,-150.0981,40.1616,1543616307,7124,18,2.52,0.6653,-,"earthquake — messy, overlapping signals"
556,61.2007,-149.8926,16.6146,1543618090,7190,9,1.9,0.72,-,earthquake
586,61.5898,-149.4161,7.7455,1543619660,7279,7,3.45,0.5843,n,Duplicate P-arrivals assigned to S-arrivals and associated as new event
588,61.5178,-149.9212,14.9037,1543619266,7235,155,4.24,0.4332,-,earthquake — P-only location
594,61.4997,-150.0117,0,1543619574,7260,49,3.46,0.9934,D,Duplicate of MATCHED evid #7271
601,61.4492,-149.9991,18.4394,1543620570,7323,15,2.82,0.5898,D,Duplicate of MATCHED evid #7252
602,61.4282,-149.9409,12.1425,1543620528,7322,14,2.66,0.6764,-,"earthquake — messy, overlapping signals"
