,lat,lon,depth,time,evid,nass,ml,sdobs,etype,matchid
0,61.3257,-149.9163,43.1226,1543598968.74406,5889,246,6.98,0.3313,-,0
1,61.3965,-149.9357,44.3291,1543599718.37554,5928,40,4.09,0.6111,-,1
2,61.4499,-149.9023,33.6723,1543599740.54083,5933,25,4.34,0.7557,-,2
3,61.4888,-149.9051,35.9524,1543599779.43917,5937,49,4.54,0.7036,-,3
4,61.4963,-149.9135,36.7575,1543600020.60832,5964,22,3.32,0.8804,-,4
5,61.3716,-149.9797,35.8087,1543600100.6573,5965,37,3.56,0.919,-,5
6,61.434,-149.908,36.7789,1543600183.00418,5973,23,3.4,0.62,-,6
7,61.5259,-149.9081,30.0676,1543600294.99855,5982,37,3.43,0.7957,-,7
8,61.3838,-149.9159,35.6384,1543600505.42111,5993,86,3.64,0.6658,-,8
9,61.495,-149.9148,35.2294,1543600548.42846,6003,53,4.07,0.6794,-,9
10,61.4595,-149.9278,35.4463,1543600806.10517,6016,170,5.02,0.499,-,10
11,61.4998,-150.0312,34.0949,1543601091.79718,6048,25,3.25,0.5619,-,11
12,61.3754,-150.0924,18.53,1543601266.15748,6055,42,3.37,0.7343,-,12
13,61.5859,-149.8426,45.6307,1543601436.26644,6061,63,3.83,0.4709,-,13
14,61.4879,-150.087,19.5666,1543601720.50825,6077,77,3.46,0.6906,-,14
15,61.4072,-150.0857,34.1674,1543601984.78061,6092,54,3.21,0.7116,-,15
16,61.4534,-149.8783,33.779,1543602091.28362,6098,22,3.81,0.3703,-,16
17,61.396,-150.0734,35.3086,1543602101.48129,6099,66,3.67,0.5009,-,17
18,61.3694,-150.0613,34.4506,1543602373.50615,6107,66,2.93,0.5925,-,18
19,61.5319,-149.9092,45.5534,1543602436.03475,6115,38,2.99,0.4937,-,19
20,61.4782,-149.907,34.957,1543602551.54425,6119,41,3.13,0.7279,-,20
21,61.4363,-150.0622,40.4434,1543602596.43806,6121,19,3.28,0.3924,-,21
22,61.5137,-149.9122,29.5866,1543602651.80578,6127,74,3.76,0.6098,-,22
23,61.4869,-150.0966,34.7173,1543602778.27042,6142,34,3.46,0.5322,-,23
24,61.3872,-150.0383,35.0015,1543602915.97182,6148,63,3.57,0.3982,-,24
25,61.4022,-150.1091,35.5467,1543602998.25211,6163,29,3.8,0.6865,-,25
26,61.4521,-149.9172,18.9565,1543603189.30463,6171,100,3.9,0.7429,-,26
27,61.4719,-149.7212,53.1257,1543603501.83029,6206,29,3.05,0.4415,-,27
28,61.336,-150.118,19.5141,1543603516.79005,6212,14,3.07,0.4323,-,28
29,61.3523,-150.0625,34.8177,1543603549.6387,6216,10,3.25,0.4712,-,29
30,61.4932,-149.9233,25.6931,1543603646.86994,6227,48,3.57,0.7967,-,30
31,61.2643,-149.9512,36.6953,1543603749.99037,6233,25,2.85,0.7237,-,31
32,61.5133,-149.9276,55.1564,1543603786.38523,6237,24,3.08,0.5099,-,32
33,61.4199,-149.9116,43.5231,1543603867.94602,6241,30,3.23,0.5178,-,33
34,61.4611,-149.9354,35.0348,1543603945.11222,6243,28,3.13,0.6909,-,34
