,lat,lon,depth,time,evid,nass,ml,sdobs,etype,matchid
0,60.2684,-141.3217,0.0,1662012576.3909,786933,10,1.46,0.3059,G,missed
1,60.1039,-139.8795,37.5029,1662245611.42543,787324,9,1.39,0.4409,-,missed
2,61.3232,-140.9882,0.8741,1662187554.83944,787427,22,1.28,0.8984,-,missed
3,60.3874,-143.0894,11.0765,1662484280.32851,787831,34,1.59,0.6658,-,missed
4,60.4378,-138.8284,14.8136,1662494698.31696,787850,23,1.1,0.4482,-,missed
5,59.7483,-138.9599,10.3553,1662413115.0984,788132,20,1.2,0.6959,-,missed
6,60.0304,-141.508,0.0,1662415472.79913,788130,14,1.25,0.7485,G,missed
7,60.6252,-140.6683,0.0,1662422673.38417,788162,12,0.99,0.8505,G,missed
8,60.8631,-143.2027,0.0,1662424839.44415,788163,13,0.53,0.4959,G,missed
9,60.5854,-143.5181,0.0,1662450891.71644,788168,9,0.79,0.4146,X,missed
10,61.3863,-144.0916,19.9621,1662836027.06252,788235,23,1.12,0.4931,-,missed
11,60.3676,-141.9178,13.1167,1662996646.9616,788603,15,0.75,0.4436,-,missed
12,60.1129,-139.4566,2.3253,1662812661.12804,788754,36,1.95,0.5828,-,missed
13,60.1595,-141.4609,0.0,1662857505.69934,788771,10,0.98,0.8185,G,missed
14,60.0082,-139.3972,0.0,1662861009.24578,788772,9,1.08,0.7413,G,missed
15,60.4341,-143.9695,0.0,1663197008.01125,788821,20,1.33,0.6708,G,missed
16,60.2562,-141.2511,0.0,1663322235.72358,788976,11,1.15,0.7977,G,missed
17,59.9709,-139.575,0.0,1663307659.90702,789129,14,1.61,0.4804,G,missed
18,60.0491,-141.4717,0.0,1663391256.11528,789276,9,1.08,0.2411,G,missed
19,61.0311,-140.478,0.0,1663266683.50878,789416,9,1.17,0.7126,X,missed
20,59.9868,-141.2406,14.0874,1663534468.81842,789442,29,1.28,0.7247,-,missed
21,60.6633,-142.943,13.9646,1663622359.33807,789567,14,0.97,0.3415,-,missed
22,61.3146,-141.0931,13.0372,1663800079.31865,789774,22,1.15,0.6519,-,missed
23,60.8861,-143.2172,0.0,1663091813.4509,789797,9,0.88,0.5284,G,missed
24,59.3724,-138.3706,21.2952,1663108757.36233,789801,14,1.94,0.9719,-,missed
25,61.4503,-141.5826,3.9499,1663920826.79436,789951,26,1.16,0.7258,-,missed
26,60.2122,-141.1891,0.0,1663170086.30215,789971,11,1.04,1.1842,G,missed
27,59.2014,-142.7659,6.9944,1663262429.59298,789978,26,1.42,0.3303,-,missed
28,59.9087,-140.5835,9.9968,1663449143.56454,790142,12,1.1,0.6382,-,missed
29,60.1524,-139.6322,5.6462,1663549155.61682,790202,21,1.04,0.5383,-,missed
30,61.3174,-141.0779,5.9413,1664079168.21411,790226,28,1.14,0.5953,-,missed
31,59.513,-138.8505,5.2966,1663655617.9383,790272,22,1.72,0.7159,-,missed
32,61.1657,-140.8852,2.3583,1663987208.98208,790413,18,1.3,0.6464,-,missed
33,60.8231,-140.2594,16.942,1663954630.7834,790471,15,1.24,0.2724,-,missed
34,60.1805,-141.3763,0.0,1663681069.65989,790570,11,1.31,0.7089,G,missed
35,60.1738,-141.3629,0.0,1664164303.7492,790601,18,1.24,0.5048,G,missed
36,59.6861,-138.9346,3.1889,1664169942.43519,790632,25,1.51,0.7593,-,missed
37,61.3461,-141.0963,8.6527,1663767985.19157,790720,14,1.03,0.5935,-,missed
38,61.3372,-141.1038,10.2604,1663863892.12947,790790,24,1.21,0.7341,-,missed
39,61.3119,-141.0854,5.1955,1663863939.20039,790791,35,1.2,0.8419,-,missed
40,61.3227,-141.0623,3.9842,1663864146.32731,790792,41,1.5,0.948,-,missed
41,60.5068,-141.2416,16.1842,1663871369.57738,790804,18,1.06,0.5734,-,missed
42,60.2756,-141.2696,4.5242,1663953746.38001,790829,18,1.27,1.063,-,missed
43,60.0722,-141.5344,0.0,1664338401.6367,790912,18,1.1,0.9558,G,missed
44,60.1923,-141.302,0.0,1664315178.78903,791050,11,0.91,0.7103,G,missed
45,60.1995,-141.154,0.0,1664382012.38053,791108,15,1.47,0.6932,G,missed
