,lat,lon,depth,time,evid,nass,ml,sdobs,etype,matchid
0,60.424,-143.1795,19.5671,1662238940.40635,787321,26,1.39,0.4202,-,0
1,59.9347,-140.6898,12.0158,1662133221.08273,787380,59,2.68,0.7398,-,1
2,60.765,-144.5811,21.436,1662159213.82579,787609,49,1.9,0.482,-,2
3,60.6232,-141.264,18.969,1662451332.64175,787774,37,1.22,0.5184,-,3
4,60.6061,-142.7191,20.4875,1662479391.48646,787807,40,1.1,0.5695,-,4
5,60.3359,-143.0822,10.4737,1662484299.8783,787832,52,1.82,0.5764,-,5
6,60.3627,-143.1192,9.4339,1662484717.99397,787833,14,0.79,0.6983,-,6
7,59.811,-139.4449,0.6233,1662488106.52431,787839,26,1.72,0.8846,-,7
8,60.1603,-140.6079,5.7119,1662427357.32084,787887,34,1.41,0.486,-,8
9,61.4774,-140.6001,6.7342,1662440292.10601,787895,34,1.86,0.9963,-,9
10,60.1616,-141.0797,4.4348,1662538800.93389,787947,29,1.35,0.8141,-,10
11,60.3082,-143.3856,2.5675,1662573837.13948,787999,18,0.79,0.462,-,11
12,60.0825,-140.753,8.0034,1662575400.38393,788029,12,0.95,0.3177,-,12
13,60.4951,-142.7755,4.3839,1662593122.35807,788021,30,1.08,0.574,-,13
14,59.8574,-141.4905,6.9858,1662376124.61245,788118,19,1.02,0.3603,-,14
15,60.2779,-143.2685,0.6472,1662376341.17884,788080,22,1.1,0.6031,-,15
16,60.2584,-141.3036,20.0224,1662381224.59326,788090,28,1.35,0.6244,-,16
17,60.2482,-141.8367,11.3465,1662381577.98132,788092,20,1.03,0.5486,-,17
18,60.2187,-141.1317,9.752,1662775877.24326,788279,28,1.79,0.5948,-,18
19,60.402,-143.7764,5.0208,1662943832.1303,788343,22,1.35,0.7597,-,19
20,60.2464,-140.694,17.0207,1662519972.57388,788436,28,1.28,0.6863,-,20
21,60.2869,-140.9547,19.0922,1662527080.98561,788404,27,1.15,0.7864,-,21
22,60.5839,-144.4121,0.0,1662798369.48372,788505,9,1.66,0.4814,G,22
23,59.9599,-140.7079,13.8405,1662802021.13136,788509,16,1.57,0.6873,-,23
24,60.0426,-140.028,9.9366,1663024440.4308,788569,18,1.21,0.5814,-,24
25,59.9577,-139.467,0.0,1662916378.26325,788629,12,1.63,0.4095,G,25
26,60.3839,-140.0237,4.5266,1662926641.14281,788637,50,2.16,0.7636,-,26
27,60.6214,-141.2663,13.8966,1662686429.90769,788680,20,1.48,0.4241,-,27
28,60.0834,-139.4361,7.8518,1662812499.37186,788753,41,2.05,0.6291,-,28
29,60.0714,-139.4253,12.6166,1662813044.00146,788755,30,1.83,0.9505,-,29
30,60.2091,-139.1759,14.5081,1662823348.37152,788756,26,1.57,0.8435,-,30
31,60.3056,-141.0967,9.171,1662954655.82475,788782,26,1.53,0.6706,-,31
32,60.3456,-140.0705,12.0423,1663174160.06488,788798,30,1.3,0.3953,-,32
33,59.9296,-140.601,3.647,1663178610.82697,788804,22,1.55,0.5156,-,33
34,60.0592,-140.4816,5.7683,1663028720.07139,788908,26,1.32,0.5948,-,34
35,60.2452,-140.9478,8.8945,1663233523.3109,788944,29,1.25,0.6266,-,35
36,59.9991,-140.6715,4.8796,1663340389.46109,788983,19,1.35,0.422,-,36
37,61.4457,-140.7766,5.8233,1663340458.12532,788984,20,1.08,0.5736,-,37
38,60.5699,-142.9812,11.8734,1663307441.55296,789142,18,0.71,0.3301,-,38
39,60.4123,-140.0844,8.5549,1663442260.77392,789155,28,1.28,0.7115,-,39
40,61.2614,-140.9125,14.9736,1663460607.0522,789233,29,0.91,0.9789,-,40
41,60.199,-140.8664,8.7126,1663469964.40829,789241,35,1.37,0.5358,-,41
42,60.3293,-143.1086,13.5151,1663390179.42067,789274,54,1.31,0.6549,-,42
43,60.1164,-139.4395,15.2887,1663396638.27932,789305,32,1.34,0.5106,-,43
44,60.1483,-139.9267,3.1739,1663806083.98666,789311,22,1.75,0.7203,-,44
45,60.5268,-143.106,5.2006,1663827108.95893,789324,18,0.93,0.4579,-,45
46,60.4358,-143.8279,0.4503,1663505999.35086,789378,23,0.97,0.6212,-,46
47,60.3198,-143.137,9.3657,1663273341.42892,789420,24,1.05,0.6758,-,47
48,60.1319,-139.4358,0.7073,1663416798.92544,789521,43,2.19,0.6282,-,48
49,60.2732,-143.3158,0.1585,1663422553.82789,789526,31,2.11,0.7954,-,49
50,60.385,-142.9199,7.362,1663610145.70686,789559,31,1.21,0.5494,-,50
51,60.1364,-140.7728,12.4262,1663624537.90133,789571,17,1.27,0.2307,-,51
52,60.5245,-142.9789,7.9435,1663701840.84222,789633,30,1.44,0.4758,-,52
53,60.0736,-140.133,6.7943,1663702103.74156,789634,18,1.6,0.6755,-,53
54,60.2144,-140.9268,6.57,1663716893.01193,789648,14,1.48,0.5882,-,54
55,60.4727,-143.1797,8.8425,1663745825.97474,789745,30,1.66,0.7688,-,55
56,60.231,-141.2102,18.1814,1663670423.12598,789880,23,1.2,0.5778,-,56
57,61.3164,-141.0888,0.7043,1663922502.87439,789937,62,2.52,0.5284,-,57
58,60.3124,-141.3757,15.0607,1663936470.15231,789956,17,1.3,0.4395,-,58
59,60.2686,-141.3747,2.7007,1663947838.66235,789964,20,1.51,0.5687,-,59
60,60.1277,-141.0516,10.789,1663397402.84647,790021,18,0.88,0.5994,-,60
61,60.1275,-139.4346,14.0052,1663399079.89546,790025,23,1.2,0.8376,-,61
62,60.2204,-141.3433,0.0,1663889096.86955,790069,9,1.4,0.3472,G,62
63,61.1476,-141.7629,0.0,1664086725.54277,790232,27,1.47,0.382,G,63
64,61.3556,-141.1415,12.0439,1664030243.73569,790300,21,1.13,0.5283,-,64
65,60.4377,-142.9739,5.7438,1663958627.36441,790451,35,1.29,0.9693,-,65
66,61.3084,-141.0958,10.0532,1664117465.03804,790552,43,1.75,1.019,-,66
67,60.6399,-143.0651,12.0319,1664178487.96588,790616,24,0.91,0.4606,-,67
68,61.3701,-141.1036,2.6181,1663747990.61958,790716,117,3.18,0.7201,-,68
69,60.6173,-144.3911,0.0,1663835997.27277,790782,21,1.68,0.4133,G,69
70,59.8549,-141.1312,3.8931,1663878921.58223,790798,28,1.69,0.6497,-,70
71,60.5699,-142.6382,11.0716,1663917225.88928,790815,40,1.66,0.6687,-,71
72,60.2897,-141.2948,1.0507,1664281699.85067,790876,23,1.18,0.7229,-,72
73,59.7422,-138.8664,1.6078,1664331950.00996,790904,28,1.52,0.976,-,73
74,60.3731,-143.6297,2.0631,1664333575.19019,790909,22,0.95,0.5361,-,74
75,60.1905,-141.3277,0.0,1664337736.4106,790911,18,1.19,0.4761,G,75
76,60.3363,-139.9723,19.4336,1664002152.07694,790938,23,1.47,0.6879,-,76
77,60.2396,-143.2627,0.7436,1664095276.42106,790953,29,1.35,0.597,-,77
78,60.6585,-143.3993,11.0332,1664319404.30896,791039,29,0.99,0.4523,-,78
79,60.1261,-140.8957,5.4512,1664398862.04266,791121,36,1.7,0.7135,-,79
80,59.9192,-141.0944,1.9075,1664141935.11917,791175,24,1.17,0.5511,-,80
81,59.9281,-139.2528,5.8179,1664899291.17422,791178,43,2.01,0.6703,-,81
82,60.2703,-141.2126,9.4974,1664497496.95024,791301,17,1.11,0.6329,-,82
83,60.2314,-143.2502,0.4897,1664497623.74518,791300,25,1.41,0.53,-,83
84,60.402,-144.2215,14.1469,1664410117.38574,791372,41,1.46,0.4954,-,84
85,60.3656,-143.7991,0.3096,1664539112.35631,791397,43,1.45,0.6851,-,85
86,59.8928,-142.3491,7.3642,1664473864.31938,791425,30,1.55,0.5265,-,86
87,60.4741,-141.4929,14.5037,1664475476.43427,791426,34,1.67,0.4855,-,87
88,60.2235,-141.1937,13.2844,1664492890.22821,791431,221,5.15,1.1655,-,88
89,60.1667,-141.2585,14.2497,1664495782.49663,791432,17,1.28,0.7538,-,89
90,60.0539,-140.7987,9.1357,1664374568.21557,791462,28,1.23,0.3901,-,90
91,60.0358,-140.5635,12.2785,1664375246.88347,791463,29,1.27,0.5258,-,91
92,61.4185,-141.0896,8.2113,1664377040.39062,791490,30,1.03,0.3998,-,92
93,60.4323,-143.222,13.8798,1664586334.56872,791497,25,1.0,0.2662,-,93
94,60.4843,-143.0088,5.7661,1664588654.61327,791499,37,1.39,0.6849,-,94
95,60.6371,-143.1154,10.1103,1664594230.61617,791507,26,0.87,0.6357,-,95
96,60.0218,-141.1353,6.2781,1664598376.92381,791513,59,2.12,0.7646,-,96
97,60.2419,-141.2667,11.8804,1664607205.28607,791520,23,1.28,0.421,-,97
98,60.2491,-141.2369,10.5543,1664624744.09915,791576,27,1.35,0.6547,-,98
99,60.6383,-143.122,10.1572,1664633348.28968,791586,18,0.83,0.6095,-,99
100,60.2663,-140.226,7.3276,1664733531.99727,791634,18,1.51,0.4944,-,100
101,61.3256,-141.0774,15.0657,1664736086.14807,791610,24,1.45,0.7298,-,101
102,60.2064,-141.1973,12.2321,1664691472.25342,791660,18,1.12,0.4872,-,102
103,60.4546,-142.9527,12.3691,1664577579.52585,791738,29,1.05,0.5485,-,103
104,60.2105,-141.2517,13.5299,1664578674.40499,791697,55,1.81,0.6336,-,104
105,60.6032,-141.2977,14.1581,1664816280.91216,791743,18,0.89,0.336,-,105
106,60.2599,-140.2236,12.8455,1664837462.99142,791774,25,1.25,0.5023,-,106
107,60.5038,-142.9545,9.1498,1665223035.47032,791813,33,1.17,0.4273,-,107
108,60.3734,-143.6523,1.6943,1664796779.24604,791849,55,1.97,0.6618,-,108
109,59.9894,-140.1301,12.3959,1664557246.80786,791967,22,1.39,0.8599,-,109
110,61.2635,-139.6356,9.4409,1665039554.58152,792027,29,2.06,0.4285,-,110
111,61.2749,-139.556,11.6806,1665040050.03908,792028,32,2.13,0.6866,-,111
112,61.2799,-139.5882,13.4569,1665042290.33667,792030,40,2.2,0.5275,-,112
113,60.399,-143.7326,7.1321,1664644412.02586,792056,41,1.62,0.6439,-,113
114,60.651,-143.0921,12.237,1664662903.96446,792070,58,1.62,0.5283,-,114
115,60.3021,-139.677,16.9045,1664666696.35862,792107,27,1.57,0.4296,-,115
116,59.9358,-139.2537,4.0911,1664894774.59637,792132,76,2.77,0.5494,-,116
117,60.5138,-144.0001,9.7547,1665081190.82539,792198,35,1.23,0.7684,-,117
118,60.209,-139.5891,9.6006,1664706371.40452,792283,33,2.0,0.8268,-,118
119,60.2169,-141.2122,16.8995,1664706499.20566,792284,18,1.19,0.4276,-,119
120,60.1584,-139.5674,10.2498,1664710634.95979,792322,17,1.49,0.7854,-,120
121,60.1585,-139.6501,10.0,1664710884.79377,792323,15,1.36,0.9841,-,121
122,60.4921,-143.0168,5.3565,1664842808.75571,792540,33,0.93,0.5973,-,122
123,60.6185,-141.293,10.4502,1664847783.58667,792545,56,1.7,0.7316,-,123
124,60.6066,-141.2757,21.4565,1664847907.19761,792546,33,0.98,0.6651,-,124
125,60.2308,-140.7559,18.6114,1664855957.70494,792557,22,1.02,0.4297,-,125
126,60.2413,-141.1947,9.9658,1665102509.22348,792639,32,1.2,0.6541,-,126
127,61.1566,-139.0115,5.2431,1665607831.30491,792943,35,2.3,0.537,-,127
128,60.1005,-140.6385,7.1639,1665423834.53721,793012,19,1.48,0.2957,-,128
129,60.3413,-138.7319,9.7345,1665475511.27549,793020,37,2.07,0.7624,-,129
130,60.3267,-143.1559,7.8656,1665479029.71081,793051,24,1.35,0.4777,-,130
131,60.3379,-143.0722,11.1842,1665484224.69541,793031,46,1.92,0.6524,-,131
132,60.781,-140.3457,3.3282,1665489561.83818,793059,22,1.31,0.6674,-,132
133,60.6764,-142.9229,11.9838,1665492988.61941,793042,76,2.3,0.7934,-,133
134,60.5792,-141.2606,10.9275,1665501447.18348,793046,24,1.26,0.469,-,134
135,60.278,-140.8408,8.502,1665569746.59831,793075,17,1.08,0.456,-,135
136,60.3503,-141.4597,8.5133,1665810640.93308,793179,25,1.01,0.6463,-,136
137,60.3335,-143.07,9.6462,1665812380.18656,793180,42,1.62,0.5875,-,137
138,60.3143,-143.2569,2.4225,1665818017.90132,793183,38,1.57,0.7752,-,138
139,60.4018,-141.926,10.7149,1665818175.81783,793184,31,1.31,0.601,-,139
140,60.2825,-143.3082,8.5605,1665777941.68788,793215,44,1.24,0.5484,-,140
141,60.3746,-141.4082,13.8795,1665781298.06241,793221,48,1.33,0.5608,-,141
142,60.3621,-143.6214,4.9005,1665748202.36348,793317,17,0.9,0.2783,-,142
143,59.9951,-139.3556,25.0531,1665753273.62238,793333,20,1.31,0.5582,-,143
144,60.426,-143.4971,10.5142,1665754641.27275,793322,32,1.14,0.4977,-,144
145,60.9772,-140.0487,9.5267,1665464657.2622,793355,18,1.19,0.5425,-,145
146,60.3713,-141.4612,4.9201,1665471297.60216,793362,22,1.26,0.472,-,146
147,60.5657,-144.7591,9.9249,1665902335.17871,793425,47,1.76,0.6146,-,147
148,60.2991,-143.4216,1.9465,1666005891.18276,793479,18,1.12,0.3542,-,148
149,60.6318,-144.3961,0.0,1666006696.32857,793481,37,1.73,0.8896,G,149
150,60.3315,-143.1423,4.7897,1665849499.16096,793540,15,1.14,0.3767,-,150
151,60.1791,-141.629,0.0,1666062688.35239,793574,18,1.46,0.3699,G,151
152,60.5115,-143.8528,3.643,1666070052.40394,793580,48,1.64,0.5205,-,152
153,60.4947,-143.8387,6.6015,1666070087.38665,793579,36,1.72,0.5142,-,153
154,60.2652,-141.0705,8.3891,1666076689.76283,793605,15,1.08,0.3018,-,154
155,60.3317,-143.2209,4.6485,1665695023.42516,793623,60,2.64,0.7246,-,155
156,61.1906,-140.6388,10.7805,1664950195.80134,793660,32,1.18,0.4528,-,156
157,60.3403,-141.2158,19.4739,1665913528.34259,793703,15,1.38,0.4651,-,157
158,60.9964,-141.28,8.1361,1666333792.65342,793794,23,1.08,0.4748,-,158
159,61.2693,-139.6165,10.8776,1665033511.31621,793819,174,4.18,1.2377,-,159
160,60.2341,-141.2499,9.4351,1666026836.66137,793881,36,1.77,0.67,-,160
161,60.6147,-141.5721,15.8593,1666027814.83855,793885,32,1.34,0.6194,-,161
162,60.3517,-143.3601,3.9533,1665992193.28516,794000,22,1.24,0.8337,-,162
163,59.9854,-140.6055,4.1681,1666298923.83538,794174,18,1.59,0.5538,-,163
164,60.1151,-140.8032,16.0414,1665381003.23188,794198,29,1.7,0.2962,-,164
165,60.0527,-140.1713,8.5551,1666396952.53924,794240,13,1.35,0.7517,-,165
166,60.0171,-140.2204,17.9826,1666398813.65236,794219,30,1.65,0.7072,-,166
167,61.4644,-140.2231,1.4469,1666417663.80895,794263,15,1.1,0.3932,-,167
168,60.4903,-143.0423,9.4989,1666275825.93734,794292,31,1.19,0.4142,-,168
169,60.2214,-141.7788,1.8073,1665419695.13486,794314,30,1.34,0.5544,-,169
170,60.0113,-140.0799,8.3627,1665458497.67689,794443,17,1.49,0.6435,-,170
171,60.0667,-138.2786,9.1715,1666485837.70222,794572,29,1.63,0.7392,-,171
172,60.3918,-144.9916,8.9511,1666499490.07699,794590,50,1.56,0.641,-,172
173,60.0678,-140.4599,14.0381,1666479684.95935,794823,22,1.24,0.7281,-,173
174,60.2408,-141.8389,8.7445,1666634181.73683,794892,25,1.11,0.44,-,174
175,60.2764,-141.8003,3.8328,1666638504.08748,794898,30,1.05,0.699,-,175
176,60.1468,-141.9955,0.0,1665955520.89222,794963,14,1.38,0.5689,G,176
177,60.5533,-144.6575,11.955,1666571572.82054,795113,35,1.43,0.3961,-,177
178,61.2998,-140.9347,3.5046,1666783236.82497,795168,23,1.2,0.5953,-,178
179,59.9586,-140.1805,19.1762,1666664729.98825,795227,35,1.39,0.5619,-,179
180,61.3178,-140.9815,12.6746,1666668585.16139,795234,36,1.14,0.4429,-,180
181,60.3487,-141.4037,9.1866,1666742234.24839,795281,30,1.2,0.5518,-,181
182,60.2502,-141.4711,4.2947,1666748333.88243,795372,49,2.21,0.7324,-,182
183,60.254,-141.4852,6.1606,1666749958.22203,795374,35,1.92,0.5605,-,183
184,60.4844,-142.9175,9.5193,1666769162.81563,795393,18,1.08,0.4353,-,184
185,60.1685,-141.1357,20.4581,1666350659.22516,795429,45,1.72,0.6333,-,185
186,60.0521,-140.547,6.6536,1666381878.27896,795440,34,1.69,0.6932,-,186
187,60.259,-141.0385,11.6286,1666390311.11579,795458,22,1.25,0.3912,-,187
188,61.3833,-142.9677,9.8527,1666899271.79589,795486,22,1.02,0.5608,-,188
189,60.3442,-141.819,9.535,1666904066.96169,795465,30,1.43,0.573,-,189
190,60.235,-141.4937,9.849,1666833654.16094,795502,68,2.59,0.6576,-,190
191,60.0391,-140.0709,3.6307,1666413155.2394,795623,18,1.36,0.8749,-,191
192,60.1444,-141.053,7.5716,1666515352.87258,795660,19,1.06,0.5009,-,192
193,61.3437,-140.0552,2.8052,1666592253.98632,795720,44,1.78,0.6508,-,193
194,60.4169,-141.4747,1.3056,1666712703.35259,795802,55,1.85,0.6769,-,194
195,61.3619,-141.1676,4.0539,1666984930.4999,795840,55,2.01,0.61,-,195
