,lat,lon,depth,time,evid,nass,ml,sdobs,etype
0,60.223,-141.3613,7.1163,1662014176.13738,954,8,1.26,0.7239,-
1,60.4465,-142.6449,32.3736,1662036174.98747,955,4,-999.0,0.5528,-
2,60.4835,-144.6735,17.8864,1662119034.55558,956,6,2.41,0.3157,-
5,60.2895,-140.8588,16.2145,1662140508.31774,961,7,1.55,0.8201,-
11,60.4776,-144.4291,9.6253,1662255898.67502,968,11,-999.0,1.6033,-
12,60.3872,-142.8734,36.1698,1662255904.11403,969,8,1.23,0.9032,-
13,60.3516,-143.9093,42.1502,1662255890.95875,971,6,1.8,0.957,-
14,60.6152,-143.2119,20.0,1662269690.76189,975,8,1.1,-1.0,-
15,60.7448,-142.8285,32.8554,1662299533.59329,976,5,1.46,0.7298,-
17,60.3169,-142.3091,37.0101,1662343940.93965,978,8,0.87,1.499,-
18,60.4982,-143.0832,4.351,1662351633.81967,979,7,0.54,0.3423,-
19,60.1422,-141.6959,20.6779,1662376129.0472,980,10,0.58,1.8175,-
22,60.4128,-144.6567,25.1102,1662376808.57396,983,6,-999.0,0.479,-
26,61.1294,-144.7228,33.6865,1662390739.13332,987,8,-999.0,0.7075,-
28,60.3272,-139.3204,30.6853,1662413122.20463,989,7,-999.0,1.6462,-
29,59.7079,-141.3171,62.3841,1662413194.71541,990,9,1.29,3.7826,-
30,60.2962,-142.1484,27.3006,1662413966.11593,991,9,1.53,1.5127,-
31,60.3413,-143.6525,13.7249,1662413978.47423,992,4,0.41,0.8934,-
32,60.5602,-143.8466,0.1797,1662414029.87775,993,7,-999.0,0.8009,-
33,60.741,-140.8349,12.8673,1662422676.14584,994,6,1.02,0.6943,-
35,60.1507,-139.8828,4.5799,1662427347.472,996,6,1.82,0.5628,-
36,60.3497,-143.6913,0.7024,1662435259.52146,997,8,-999.0,0.5764,-
37,60.0696,-140.1188,0.6384,1662436806.51236,998,9,0.91,0.6329,-
39,60.4606,-142.4323,0.0098,1662449548.18541,1000,10,1.09,0.767,-
40,60.5951,-141.3647,6.8885,1662451301.60884,1002,15,0.73,0.8764,-
42,60.2918,-140.7913,99.8344,1662451921.41999,1005,8,-999.0,4.0484,-
43,59.4542,-141.7287,47.2348,1662454319.28031,1006,7,2.42,5.2457,-
45,60.3986,-141.6273,0.7784,1662471362.44919,1008,4,1.46,0.2044,-
46,60.2949,-143.1093,0.257,1662475165.43432,1009,7,0.39,0.5326,-
47,61.0153,-141.4058,29.3158,1662475575.97288,1010,9,-999.0,3.9341,-
48,60.3265,-143.0812,0.1476,1662476942.71667,1011,9,0.67,0.8439,-
52,61.4802,-141.277,4.0003,1662481138.38375,1016,26,2.51,0.8497,-
54,60.4001,-143.6673,3.3066,1662484293.04386,1019,4,1.97,0.0617,-
58,60.2965,-143.0866,1.7825,1662488209.9001,1023,7,0.45,0.8082,-
59,59.7254,-140.4624,25.2555,1662488643.96902,1024,8,1.23,0.6735,-
61,61.3354,-138.5227,99.7721,1662494693.84915,1026,8,1.68,2.6772,-
64,60.2061,-144.9754,33.9486,1662499714.62106,1029,16,1.63,0.8626,-
65,59.4983,-143.1069,1.3964,1662499748.17172,1030,6,1.92,0.9378,-
66,60.5716,-142.603,40.2486,1662499722.23936,1032,6,-999.0,0.7299,-
67,60.4532,-141.1743,1.1206,1662515866.6742,1033,10,-999.0,1.2719,-
70,60.5201,-144.9774,16.8441,1662530293.86024,1036,17,1.41,1.3437,-
71,60.3083,-141.4072,0.5406,1662532207.5038,1037,4,0.94,1.1452,-
72,60.3015,-141.6595,1.125,1662532961.68351,1038,9,0.73,0.5242,-
73,60.4694,-143.2017,16.0611,1662533214.82211,1039,12,0.69,0.4225,-
74,60.4064,-141.2565,0.4369,1662536023.14466,1040,11,0.74,1.3349,-
78,60.0998,-139.4666,11.1745,1662541985.85082,1045,7,-999.0,0.2929,-
79,60.422,-143.0718,24.5909,1662544192.11896,1046,12,0.59,0.7503,-
81,60.6369,-143.708,45.7351,1662572675.06248,1049,5,0.9,0.2402,-
82,60.7991,-141.2986,0.0144,1662572692.42418,1050,4,-999.0,0.399,-
85,60.0678,-141.3335,0.4645,1662576425.72545,1053,4,1.3,0.8865,-
