,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotations
0,60.223,-141.3613,7.1163,1662014176,954,8,1.26,0.7239,lf_G,low frequency glacial event
1,60.4465,-142.6449,32.3736,1662036175,955,4,-999,0.5528,nT,regional signal with P-detections placed on S-phases
2,60.4835,-144.6735,17.8864,1662119035,956,6,2.41,0.3157,-,earthquake -- P-only location of regional signal
5,60.2895,-140.8588,16.2145,1662140508,961,7,1.55,0.8201,-,"earthquake (small, low SNR)"
11,60.4776,-144.4291,9.6253,1662255899,968,11,-999,1.6033,-,"earthquake (high noise, poor P- and S-arrival locations)"
12,60.3872,-142.8734,36.1698,1662255904,969,8,1.23,0.9032,D,duplicate of evid #968
13,60.3516,-143.9093,42.1502,1662255891,971,6,1.8,0.957,D,duplicate of evid #968
14,60.6152,-143.2119,20,1662269691,975,8,1.1,-1,-,earthquake (small)
15,60.7448,-142.8285,32.8554,1662299534,976,5,1.46,0.7298,n,"regoinal signal with poor quality detections combined with local, impulsive signals"
17,60.3169,-142.3091,37.0101,1662343941,978,8,0.87,1.499,-,earthquake (small)
18,60.4982,-143.0832,4.351,1662351634,979,7,0.54,0.3423,-,earthquake (small)
19,60.1422,-141.6959,20.6779,1662376129,980,10,0.58,1.8175,D,duplicate of MATCHED evid #980
22,60.4128,-144.6567,25.1102,1662376809,983,6,-999,0.479,-,"regional earthquake, P-only location"
26,61.1294,-144.7228,33.6865,1662390739,987,8,-999,0.7075,-,"regional earthquake, P-only location"
28,60.3272,-139.3204,30.6853,1662413122,989,7,-999,1.6462,-,earthquake
29,59.7079,-141.3171,62.3841,1662413195,990,9,1.29,3.7826,-,earthquake (small)
30,60.2962,-142.1484,27.3006,1662413966,991,9,1.53,1.5127,-,earthquake (small)
31,60.3413,-143.6525,13.7249,1662413978,992,4,0.41,0.8934,D,duplicate of evid #991 (same signal)
32,60.5602,-143.8466,0.1797,1662414030,993,7,-999,0.8009,-,earthquake (small) — very similar successive event unlocated
33,60.741,-140.8349,12.8673,1662422676,994,6,1.02,0.6943,hf_G,high frequency glacial (with some impulsive noise)
35,60.1507,-139.8828,4.5799,1662427347,996,6,1.82,0.5628,D,duplicate of MATCHED evid #995 (same signal)
36,60.3497,-143.6913,0.7024,1662435260,997,8,-999,0.5764,-,earthquake (small) 
37,60.0696,-140.1188,0.6384,1662436807,998,9,0.91,0.6329,-,earthquake
39,60.4606,-142.4323,0.0098,1662449548,1000,10,1.09,0.767,-,earthquake (small)
40,60.5951,-141.3647,6.8885,1662451302,1002,15,0.73,0.8764,-,earthquake
42,60.2918,-140.7913,99.8344,1662451921,1005,8,-999,4.0484,-,"earthquake (small, poor location)"
43,59.4542,-141.7287,47.2348,1662454319,1006,7,2.42,5.2457,-,"earthquake (small, low SNR)"
45,60.3986,-141.6273,0.7784,1662471362,1008,4,1.46,0.2044,n,impulsive noise
46,60.2949,-143.1093,0.257,1662475165,1009,7,0.39,0.5326,-,earthquake (small)
47,61.0153,-141.4058,29.3158,1662475576,1010,9,-999,3.9341,-,earthquake [possibly missing clear arrivals]
48,60.3265,-143.0812,0.1476,1662476943,1011,9,0.67,0.8439,-,earthquake
52,61.4802,-141.277,4.0003,1662481138,1016,26,2.51,0.8497,-,earthquake (poor location)
54,60.4001,-143.6673,3.3066,1662484293,1019,4,1.97,0.0617,D,duplicate of MATCHED evid #1017 or #1018
58,60.2965,-143.0866,1.7825,1662488210,1023,7,0.45,0.8082,-,earthquake
59,59.7254,-140.4624,25.2555,1662488644,1024,8,1.23,0.6735,-,earthquake
61,61.3354,-138.5227,99.7721,1662494694,1026,8,1.68,2.6772,-,earthquake
64,60.2061,-144.9754,33.9486,1662499715,1029,16,1.63,0.8626,-,earthquake -- P-only location of regional signal
65,59.4983,-143.1069,1.3964,1662499748,1030,6,1.92,0.9378,D,duplicate of evid #1029
66,60.5716,-142.603,40.2486,1662499722,1032,6,-999,0.7299,D,duplicate of evid #1029
67,60.4532,-141.1743,1.1206,1662515867,1033,10,-999,1.2719,-,earthquake (small)
70,60.5201,-144.9774,16.8441,1662530294,1036,17,1.41,1.3437,-,earthquake
71,60.3083,-141.4072,0.5406,1662532208,1037,4,0.94,1.1452,lf_G,low frequency glacial event
72,60.3015,-141.6595,1.125,1662532962,1038,9,0.73,0.5242,-,earthquake
73,60.4694,-143.2017,16.0611,1662533215,1039,12,0.69,0.4225,-,earthquake
74,60.4064,-141.2565,0.4369,1662536023,1040,11,0.74,1.3349,-,earthquake
78,60.0998,-139.4666,11.1745,1662541986,1045,7,-999,0.2929,-,earthquake
79,60.422,-143.0718,24.5909,1662544192,1046,12,0.59,0.7503,-,earthquake
81,60.6369,-143.708,45.7351,1662572675,1049,5,0.9,0.2402,n,very poory and improperly located regional earthquake (questionable solution)
82,60.7991,-141.2986,0.0144,1662572692,1050,4,-999,0.399,D,duplicate of evid #1049
85,60.0678,-141.3335,0.4645,1662576426,1053,4,1.3,0.8865,lf_G,low frequency glacial event
86,59.9408,-141.1808,21.9774,1662588224,1054,11,1.28,1.0206,-,earthquake
88,60.1231,-141.0121,8.0459,1662620947,1056,6,-999,0.472,-,earthquake (small)
89,60.2816,-141.2654,16.6427,1662655234,1057,7,-999,0.2247,-,earthquake
91,60.1755,-141.5488,11.9648,1662695222,1059,5,-999,1.0717,-,earthquake (small)
92,60.5169,-141.8341,0.0019,1662695231,1060,4,-999,0.3196,D,duplicate of evid #1059
97,59.9247,-139.7729,7.1037,1662812664,1067,16,2.12,1.3126,-,earthquake
99,60.8643,-139.8282,0.0291,1662813040,1069,4,2.04,0.0812,D,duplicate of MATCHED evid #1068 (same signal)
100,60.0718,-141.6881,1.1082,1662818043,1070,6,0.94,1.1046,-,earthquake (small)
102,60.233,-141.4777,1.1,1662842129,1072,13,1.36,2.2656,-,earthquake
103,60.998,-144.5607,30,1662845671,1073,4,1.64,-1,n,"""phantom event"" on regional signal"
104,60.2217,-141.7066,0.0316,1662875522,1074,7,0.55,1.933,-,earthquake
106,60.044,-140.3044,0.6188,1662901835,1076,11,1.16,1.2894,-,earthquake
109,60.1575,-141.7987,9.1408,1662926056,1079,11,1.01,1.4082,-,earthquake (noisey)
111,60.3398,-143.1336,0,1662937242,1081,8,0.78,0.7493,-,earthquake
114,60.3504,-141.0719,61.1942,1662957301,1084,5,0.46,1.0918,-,earthquake (small)
115,59.8403,-142.0699,99.8541,1662996632,1085,12,1.25,4.2759,-,"earthquake (very poor location, deep 100km)"
116,59.9962,-141.9487,0.1179,1663003897,1086,6,1.27,0.9821,hf_G,high frequency glacial
117,60.293,-143.0959,19.2381,1663008499,1087,10,2.31,0.8515,n,"""phantom event"" on regional signal"
118,60.5017,-142.6702,45.3033,1663008495,1088,7,2.14,0.9994,D,duplicate of evid #1087
121,60.7972,-144.3563,0.6396,1663080750,1094,5,-999,0.4799,-,"regional earthquake, P-only location"
124,60.8962,-144.2197,0.4266,1663112544,1097,5,2.23,0.2492,n,"""phantom event"" on regional signal"
125,60.4441,-143.6597,9.3651,1663131078,1098,11,0.94,0.6852,-,earthquake
127,60.1839,-141.3991,0.5527,1663174282,1100,7,-999,0.9025,-,earthquake
129,60.7628,-143.2477,18.379,1663181099,1102,12,1.15,0.9381,hf_G,high frequency glacial
130,59.724,-138.541,5.3766,1663185946,1103,7,-999,1.2523,-,earthquake
131,61.0123,-144.6297,29.2084,1663191930,1104,10,1.99,1.079,n,"""phantom event"" on regional signal — Pn/Pg phase arrivals"
132,60.4112,-143.8575,43.1457,1663191939,1105,5,1.08,0.4054,D,duplictae of evid #1104 (same signals)
133,60.9174,-144.7926,0.048,1663191970,1106,5,2.64,0.6749,n,"""phantom event"" on regional signal — Sn/Sg phase arrials"
137,60.0492,-140.7198,0.5893,1663237285,1110,9,-999,1.4848,-,earthquake
138,60.3359,-143.0836,0.5576,1663238274,1111,5,-999,0.8218,-,earthquake (noisey)
139,60.3824,-143.4215,0.0095,1663247173,1112,8,0.76,0.9298,lf_G,low frequency glacial event
140,60.2674,-141.4657,4.026,1663257180,1113,4,0.64,0.0034,lf_G,low frequency glacial event
141,60.3274,-143.0887,0.2812,1663260560,1114,10,0.44,0.9194,-,earthquake
142,60.0671,-144.1073,31.4625,1663261581,1115,12,-999,1.1201,n,"""phantom event"" on regional signal — Pn/Pg phase arrivals"
143,59.3818,-143.7153,62.4353,1663261563,1116,6,2.08,0.6537,D,duplicate of evid #1116
144,60.8471,-140.8663,20.0451,1663261592,1117,4,-999,0.287,D,duplicate of evid #1116
145,59.5392,-142.5734,17.7328,1663262432,1118,10,1.55,0.9514,-,earthquake
146,60.4664,-143.8718,0,1663262485,1119,7,1.17,0.8118,-,earthquake (small)
147,60.227,-141.3071,13.0555,1663262955,1120,9,0.89,1.2383,lf_G,low frequency glacial event
150,59.9839,-141.0875,0,1663273474,1123,6,-999,1.2407,-,earthquake (small)
151,60.4453,-143.0088,7.4052,1663276532,1124,7,-999,0.2408,-,earthquake
152,60.36,-143.6886,0.0645,1663286405,1125,8,-999,0.5666,-,earthquake
153,60.2195,-141.7175,0.0024,1663287856,1126,9,-999,0.741,-,earthquake
154,60.3869,-141.374,0.0439,1663291251,1127,12,0.47,0.9726,-,earthquake
155,60.1052,-140.6122,0.5342,1663296351,1128,9,0.95,0.9328,-,earthquake
158,60.3866,-140.1854,28.6726,1663309978,1132,7,-999,0.2583,-,earthquake
163,59.9481,-141.4151,3.7802,1663352827,1137,6,1.46,0.3999,-,earthquake
166,60.2849,-144.0756,32.6161,1663382717,1140,13,-999,0.9424,n,"""phantom event"" on regional signal — Pn/Pg phase arrivals (also a duplicate of MATCHED evid #1141, which is a poor location of regional event with S-phases)"
168,60.3135,-143.1321,0.0031,1663386487,1143,6,0.68,0.5276,-,earthquake
170,60.2897,-143.0892,0,1663391413,1145,8,-999,0.4961,-,earthquake
171,59.8906,-140.1655,24.1772,1663395312,1146,7,1.56,1.2225,-,"earthquake (several unpromoted detections, noisey signal)"
175,60.1088,-140.7314,14.7861,1663409678,1150,8,-999,0.2423,-,earthquake (small)
176,60.1698,-140.3036,20.2398,1663412579,1151,11,-999,1.013,-,earthquake
178,60.2902,-141.0648,33.3259,1663416825,1154,5,1.76,0.2713,D,duplicate of MATCHED evid #1153
179,60.6807,-137.8366,0.0107,1663420039,1155,7,-999,0.8282,-,earthquake
180,59.7102,-144.6884,77.2807,1663422264,1156,14,1.91,0.8008,-,"regional earthquake, P-only location"
182,61.2727,-141.135,25,1663424143,1160,5,-999,-1,-,earthquake
183,60.1733,-141.5303,15.7824,1663428924,1161,6,-999,1.801,lf_G,low frequency glacial event
185,60.2836,-141.5891,11.2819,1663444865,1163,8,1.09,1.9531,-,earthquake
186,60.124,-140.8083,12.8901,1663449146,1164,5,-999,0.8498,-,earthquake (small)
188,60.3577,-142.2353,5.1562,1663458891,1166,11,0.92,0.8749,-,earthquake
190,60.6189,-143.8795,0.158,1663465502,1168,7,1.22,1.5267,-,earthquake (small)
193,60.2055,-141.3332,0.6336,1663499809,1171,10,0.75,0.9475,-,earthquake
194,60.3256,-143.5406,0.0713,1663503098,1172,9,0.42,0.5444,-,earthquake
196,59.5674,-141.2337,39.4179,1663506521,1174,7,-999,3.9475,D,duplicate of MATCHED evid #1175
198,59.7603,-141.427,28.5597,1663511573,1176,6,1.21,1.5164,-,earthquake
199,59.8681,-141.5535,18.4172,1663516361,1177,9,1.06,0.8554,-,earthquake (small)
200,59.9341,-141.5262,99.9984,1663533720,1178,8,0.94,4.4137,-,"earthquake (poor location, deep 100k)"
201,59.8109,-141.1161,19.292,1663534466,1179,18,1.61,1.3501,-,earthquake
202,60.9199,-143.1132,0.3349,1663542702,1181,5,-999,0.9581,-,earthquake (tiny)
203,60.3676,-139.8337,7.4028,1663549158,1182,12,1.25,1.0981,-,earthquake
204,60.4844,-141.4011,20,1663549856,1183,10,-999,-1,-,earthquake
205,60.2457,-141.0755,20.0513,1663554380,1184,4,0.52,0.2684,lf_G,low frequency glacial event
