,lat,lon,depth,time,evid,nass,ml,sdobs,etype,matchid
0,60.4463,-143.1964,15.1192,1662238941.12277,965,12,1.11,0.4781,-,0
1,60.0417,-140.6602,12.8368,1662133222.36527,959,20,2.86,1.207,-,1
2,60.7464,-144.5417,28.7635,1662159212.97106,963,19,1.98,0.6417,-,2
3,60.5959,-141.2348,15.9465,1662451333.10614,1001,19,1.15,1.1591,-,3
4,60.5759,-142.781,13.9777,1662479392.5673,1015,24,1.13,0.8329,-,4
5,60.3262,-143.0864,0.0233,1662484299.91077,1017,27,1.94,0.8446,-,5
6,60.3067,-143.0752,3.4429,1662484718.31917,1021,11,0.68,0.6102,-,6
7,59.8765,-139.2819,0.5489,1662488105.09562,1022,18,1.85,0.8254,-,7
8,60.061,-140.7241,7.7162,1662427356.05997,995,22,1.56,0.7732,-,8
9,61.3712,-140.6432,5.5021,1662440293.55479,999,19,1.87,1.2253,-,9
10,60.2087,-141.122,6.9187,1662538802.10562,1042,19,1.24,1.0989,-,10
11,60.2819,-143.4269,0.0,1662573837.49236,1051,8,0.8,0.5156,-,11
12,60.0693,-140.8667,18.3807,1662575400.23936,1052,8,0.99,0.7683,-,12
13,60.4976,-142.8037,6.0095,1662593123.01926,1055,23,1.09,0.4493,-,13
14,59.7136,-141.6431,0.0704,1662376122.97148,981,11,1.3,0.8696,-,14
15,60.316,-143.3132,0.0832,1662376342.74678,982,12,1.22,1.1756,-,15
16,60.2854,-141.3354,16.5608,1662381225.51941,984,29,1.41,0.8067,-,16
17,60.3122,-141.864,0.4359,1662381579.07533,985,16,1.1,0.6847,-,17
18,60.2421,-141.1661,12.9354,1662775877.64416,1061,17,1.91,0.6754,-,18
19,60.3672,-143.7321,0.024,1662943832.60535,1082,12,1.19,0.9826,-,19
20,60.2313,-140.7085,19.6992,1662519972.42997,1034,17,1.27,0.5532,-,20
21,60.2911,-140.8522,18.2629,1662527080.618,1035,13,1.14,0.5634,-,21
22,60.6207,-144.4646,0.524,1662798370.12123,1062,14,1.89,1.0841,-,22
23,59.9635,-140.5673,14.8509,1662802019.95016,1065,10,1.58,0.5984,-,23
24,60.0892,-139.9394,8.7697,1663024440.10342,1091,10,1.27,0.3798,-,24
25,60.0413,-139.519,0.0149,1662916379.00522,1078,10,1.69,1.0966,-,25
26,60.3776,-140.0201,7.2915,1662926641.09546,1080,26,2.18,0.869,-,26
27,60.6108,-141.3071,0.1469,1662686431.32824,1058,12,1.37,0.736,-,27
28,60.0502,-139.3456,14.126,1662812500.0874,1066,16,2.24,0.8204,-,28
29,60.1046,-139.4656,8.0025,1662813044.65691,1068,12,1.99,0.8737,-,29
30,60.2614,-139.2088,0.0027,1662823348.26557,1071,12,1.69,1.0127,-,30
31,60.2756,-141.1038,8.4313,1662954655.65344,1083,22,1.5,1.0017,-,31
32,60.3843,-140.0015,0.4151,1663174160.15398,1099,12,1.78,0.9527,-,32
33,60.0054,-140.715,16.1795,1663178612.74528,1101,17,1.64,1.8994,-,33
34,60.0901,-140.4915,1.8982,1663028720.67753,1092,11,1.58,0.8789,-,34
35,60.1681,-141.0093,16.8498,1663233522.22454,1109,18,1.58,0.7351,-,35
36,60.0024,-140.542,0.05,1663340389.55723,1135,10,1.62,0.8417,-,36
