,lat,lon,depth,time,evid,nass,ml,sdobs,etype,matchid
0,60.2684,-141.3217,0.0,1662012576.3909,786933,10,1.46,0.3059,G,missed
1,60.1039,-139.8795,37.5029,1662245611.42543,787324,9,1.39,0.4409,-,missed
2,61.3232,-140.9882,0.8741,1662187554.83944,787427,22,1.28,0.8984,-,missed
3,60.4378,-138.8284,14.8136,1662494698.31696,787850,23,1.1,0.4482,-,missed
4,61.4774,-140.6001,6.7342,1662440292.10601,787895,34,1.86,0.9963,-,missed
5,60.0825,-140.753,8.0034,1662575400.38393,788029,12,0.95,0.3177,-,missed
6,59.8574,-141.4905,6.9858,1662376124.61245,788118,19,1.02,0.3603,-,missed
7,60.2482,-141.8367,11.3465,1662381577.98132,788092,20,1.03,0.5486,-,missed
8,59.7483,-138.9599,10.3553,1662413115.0984,788132,20,1.2,0.6959,-,missed
9,60.0304,-141.508,0.0,1662415472.79913,788130,14,1.25,0.7485,G,missed
10,60.6252,-140.6683,0.0,1662422673.38417,788162,12,0.99,0.8505,G,missed
11,60.8631,-143.2027,0.0,1662424839.44415,788163,13,0.53,0.4959,G,missed
12,60.5854,-143.5181,0.0,1662450891.71644,788168,9,0.79,0.4146,X,missed
13,61.3863,-144.0916,19.9621,1662836027.06252,788235,23,1.12,0.4931,-,missed
14,60.5839,-144.4121,0.0,1662798369.48372,788505,9,1.66,0.4814,G,missed
15,59.9599,-140.7079,13.8405,1662802021.13136,788509,16,1.57,0.6873,-,missed
16,60.0426,-140.028,9.9366,1663024440.4308,788569,18,1.21,0.5814,-,missed
17,60.6214,-141.2663,13.8966,1662686429.90769,788680,20,1.48,0.4241,-,missed
18,60.1595,-141.4609,0.0,1662857505.69934,788771,10,0.98,0.8185,G,missed
19,60.0082,-139.3972,0.0,1662861009.24578,788772,9,1.08,0.7413,G,missed
20,60.3456,-140.0705,12.0423,1663174160.06488,788798,30,1.3,0.3953,-,missed
21,59.9296,-140.601,3.647,1663178610.82697,788804,22,1.55,0.5156,-,missed
22,60.4341,-143.9695,0.0,1663197008.01125,788821,20,1.33,0.6708,G,missed
23,60.2452,-140.9478,8.8945,1663233523.3109,788944,29,1.25,0.6266,-,missed
24,59.9991,-140.6715,4.8796,1663340389.46109,788983,19,1.35,0.422,-,missed
25,61.4457,-140.7766,5.8233,1663340458.12532,788984,20,1.08,0.5736,-,missed
26,61.2614,-140.9125,14.9736,1663460607.0522,789233,29,0.91,0.9789,-,missed
27,60.1164,-139.4395,15.2887,1663396638.27932,789305,32,1.34,0.5106,-,missed
28,60.1483,-139.9267,3.1739,1663806083.98666,789311,22,1.75,0.7203,-,missed
29,60.5268,-143.106,5.2006,1663827108.95893,789324,18,0.93,0.4579,-,missed
30,61.0311,-140.478,0.0,1663266683.50878,789416,9,1.17,0.7126,X,missed
31,60.3198,-143.137,9.3657,1663273341.42892,789420,24,1.05,0.6758,-,missed
32,60.4727,-143.1797,8.8425,1663745825.97474,789745,30,1.66,0.7688,-,missed
33,61.3146,-141.0931,13.0372,1663800079.31865,789774,22,1.15,0.6519,-,missed
34,60.8861,-143.2172,0.0,1663091813.4509,789797,9,0.88,0.5284,G,missed
35,59.3724,-138.3706,21.2952,1663108757.36233,789801,14,1.94,0.9719,-,missed
36,61.4503,-141.5826,3.9499,1663920826.79436,789951,26,1.16,0.7258,-,missed
37,60.3124,-141.3757,15.0607,1663936470.15231,789956,17,1.3,0.4395,-,missed
38,60.2686,-141.3747,2.7007,1663947838.66235,789964,20,1.51,0.5687,-,missed
39,60.2122,-141.1891,0.0,1663170086.30215,789971,11,1.04,1.1842,G,missed
40,59.2014,-142.7659,6.9944,1663262429.59298,789978,26,1.42,0.3303,-,missed
41,60.1277,-141.0516,10.789,1663397402.84647,790021,18,0.88,0.5994,-,missed
42,60.1275,-139.4346,14.0052,1663399079.89546,790025,23,1.2,0.8376,-,missed
43,59.9087,-140.5835,9.9968,1663449143.56454,790142,12,1.1,0.6382,-,missed
44,61.3174,-141.0779,5.9413,1664079168.21411,790226,28,1.14,0.5953,-,missed
45,59.513,-138.8505,5.2966,1663655617.9383,790272,22,1.72,0.7159,-,missed
