,lat,lon,depth,time,evid,nass,ml,sdobs,etype,matchid
0,60.424,-143.1795,19.5671,1662238940.40635,787321,26,1.39,0.4202,-,0
1,59.9347,-140.6898,12.0158,1662133221.08273,787380,59,2.68,0.7398,-,1
2,60.765,-144.5811,21.436,1662159213.82579,787609,49,1.9,0.482,-,2
3,60.6232,-141.264,18.969,1662451332.64175,787774,37,1.22,0.5184,-,3
4,60.6061,-142.7191,20.4875,1662479391.48646,787807,40,1.1,0.5695,-,4
5,60.3874,-143.0894,11.0765,1662484280.32851,787831,34,1.59,0.6658,-,5
6,60.3359,-143.0822,10.4737,1662484299.8783,787832,52,1.82,0.5764,-,6
7,60.3627,-143.1192,9.4339,1662484717.99397,787833,14,0.79,0.6983,-,7
8,59.811,-139.4449,0.6233,1662488106.52431,787839,26,1.72,0.8846,-,8
9,60.1603,-140.6079,5.7119,1662427357.32084,787887,34,1.41,0.486,-,9
10,60.1616,-141.0797,4.4348,1662538800.93389,787947,29,1.35,0.8141,-,10
11,60.3082,-143.3856,2.5675,1662573837.13948,787999,18,0.79,0.462,-,11
12,60.4951,-142.7755,4.3839,1662593122.35807,788021,30,1.08,0.574,-,12
13,60.2779,-143.2685,0.6472,1662376341.17884,788080,22,1.1,0.6031,-,13
14,60.2584,-141.3036,20.0224,1662381224.59326,788090,28,1.35,0.6244,-,14
15,60.2187,-141.1317,9.752,1662775877.24326,788279,28,1.79,0.5948,-,15
16,60.402,-143.7764,5.0208,1662943832.1303,788343,22,1.35,0.7597,-,16
17,60.2464,-140.694,17.0207,1662519972.57388,788436,28,1.28,0.6863,-,17
18,60.2869,-140.9547,19.0922,1662527080.98561,788404,27,1.15,0.7864,-,18
19,60.3676,-141.9178,13.1167,1662996646.9616,788603,15,0.75,0.4436,-,19
20,59.9577,-139.467,0.0,1662916378.26325,788629,12,1.63,0.4095,G,20
21,60.3839,-140.0237,4.5266,1662926641.14281,788637,50,2.16,0.7636,-,21
22,60.0834,-139.4361,7.8518,1662812499.37186,788753,41,2.05,0.6291,-,22
23,60.1129,-139.4566,2.3253,1662812661.12804,788754,36,1.95,0.5828,-,23
24,60.0714,-139.4253,12.6166,1662813044.00146,788755,30,1.83,0.9505,-,24
25,60.2091,-139.1759,14.5081,1662823348.37152,788756,26,1.57,0.8435,-,25
26,60.3056,-141.0967,9.171,1662954655.82475,788782,26,1.53,0.6706,-,26
27,60.0592,-140.4816,5.7683,1663028720.07139,788908,26,1.32,0.5948,-,27
28,60.2562,-141.2511,0.0,1663322235.72358,788976,11,1.15,0.7977,G,28
29,60.5699,-142.9812,11.8734,1663307441.55296,789142,18,0.71,0.3301,-,29
30,59.9709,-139.575,0.0,1663307659.90702,789129,14,1.61,0.4804,G,30
31,60.4123,-140.0844,8.5549,1663442260.77392,789155,28,1.28,0.7115,-,31
32,60.199,-140.8664,8.7126,1663469964.40829,789241,35,1.37,0.5358,-,32
33,60.3293,-143.1086,13.5151,1663390179.42067,789274,54,1.31,0.6549,-,33
34,60.0491,-141.4717,0.0,1663391256.11528,789276,9,1.08,0.2411,G,34
35,60.4358,-143.8279,0.4503,1663505999.35086,789378,23,0.97,0.6212,-,35
36,59.9868,-141.2406,14.0874,1663534468.81842,789442,29,1.28,0.7247,-,36
37,60.1319,-139.4358,0.7073,1663416798.92544,789521,43,2.19,0.6282,-,37
38,60.2732,-143.3158,0.1585,1663422553.82789,789526,31,2.11,0.7954,-,38
39,60.385,-142.9199,7.362,1663610145.70686,789559,31,1.21,0.5494,-,39
40,60.6633,-142.943,13.9646,1663622359.33807,789567,14,0.97,0.3415,-,40
41,60.1364,-140.7728,12.4262,1663624537.90133,789571,17,1.27,0.2307,-,41
42,60.5245,-142.9789,7.9435,1663701840.84222,789633,30,1.44,0.4758,-,42
43,60.0736,-140.133,6.7943,1663702103.74156,789634,18,1.6,0.6755,-,43
44,60.2144,-140.9268,6.57,1663716893.01193,789648,14,1.48,0.5882,-,44
45,60.231,-141.2102,18.1814,1663670423.12598,789880,23,1.2,0.5778,-,45
46,61.3164,-141.0888,0.7043,1663922502.87439,789937,62,2.52,0.5284,-,46
47,60.2204,-141.3433,0.0,1663889096.86955,790069,9,1.4,0.3472,G,47
48,60.1524,-139.6322,5.6462,1663549155.61682,790202,21,1.04,0.5383,-,48
49,61.1476,-141.7629,0.0,1664086725.54277,790232,27,1.47,0.382,G,49
50,60.4377,-142.9739,5.7438,1663958627.36441,790451,35,1.29,0.9693,-,50
51,61.3084,-141.0958,10.0532,1664117465.03804,790552,43,1.75,1.019,-,51
52,60.6399,-143.0651,12.0319,1664178487.96588,790616,24,0.91,0.4606,-,52
53,61.3701,-141.1036,2.6181,1663747990.61958,790716,117,3.18,0.7201,-,53
54,60.6173,-144.3911,0.0,1663835997.27277,790782,21,1.68,0.4133,G,54
55,60.5699,-142.6382,11.0716,1663917225.88928,790815,40,1.66,0.6687,-,55
56,59.7422,-138.8664,1.6078,1664331950.00996,790904,28,1.52,0.976,-,56
57,60.3731,-143.6297,2.0631,1664333575.19019,790909,22,0.95,0.5361,-,57
58,60.1905,-141.3277,0.0,1664337736.4106,790911,18,1.19,0.4761,G,58
59,60.0722,-141.5344,0.0,1664338401.6367,790912,18,1.1,0.9558,G,59
60,60.2396,-143.2627,0.7436,1664095276.42106,790953,29,1.35,0.597,-,60
61,60.6585,-143.3993,11.0332,1664319404.30896,791039,29,0.99,0.4523,-,61
62,60.2724,-141.5618,3.3536,1664389865.71788,791115,23,0.84,0.6186,-,62
63,60.1261,-140.8957,5.4512,1664398862.04266,791121,36,1.7,0.7135,-,63
64,59.9281,-139.2528,5.8179,1664899291.17422,791178,43,2.01,0.6703,-,64
65,61.3265,-141.1185,1.7112,1664279979.33898,791269,38,1.26,0.883,-,65
66,59.8908,-139.7422,0.0,1664323916.3979,791295,12,1.6,1.4309,G,66
67,60.2703,-141.2126,9.4974,1664497496.95024,791301,17,1.11,0.6329,-,67
68,60.402,-144.2215,14.1469,1664410117.38574,791372,41,1.46,0.4954,-,68
69,60.3656,-143.7991,0.3096,1664539112.35631,791397,43,1.45,0.6851,-,69
70,60.4741,-141.4929,14.5037,1664475476.43427,791426,34,1.67,0.4855,-,70
71,60.2235,-141.1937,13.2844,1664492890.22821,791431,221,5.15,1.1655,-,71
72,60.1667,-141.2585,14.2497,1664495782.49663,791432,17,1.28,0.7538,-,72
73,60.0539,-140.7987,9.1357,1664374568.21557,791462,28,1.23,0.3901,-,73
74,60.0358,-140.5635,12.2785,1664375246.88347,791463,29,1.27,0.5258,-,74
75,60.4323,-143.222,13.8798,1664586334.56872,791497,25,1.0,0.2662,-,75
76,60.4843,-143.0088,5.7661,1664588654.61327,791499,37,1.39,0.6849,-,76
77,60.0218,-141.1353,6.2781,1664598376.92381,791513,59,2.12,0.7646,-,77
78,60.2419,-141.2667,11.8804,1664607205.28607,791520,23,1.28,0.421,-,78
79,60.2491,-141.2369,10.5543,1664624744.09915,791576,27,1.35,0.6547,-,79
80,60.6383,-143.122,10.1572,1664633348.28968,791586,18,0.83,0.6095,-,80
81,60.244,-143.2969,2.2566,1664740922.61873,791616,26,1.58,0.5068,-,81
82,60.2064,-141.1973,12.2321,1664691472.25342,791660,18,1.12,0.4872,-,82
83,60.2105,-141.2517,13.5299,1664578674.40499,791697,55,1.81,0.6336,-,83
84,60.5038,-142.9545,9.1498,1665223035.47032,791813,33,1.17,0.4273,-,84
85,60.3734,-143.6523,1.6943,1664796779.24604,791849,55,1.97,0.6618,-,85
86,60.399,-143.7326,7.1321,1664644412.02586,792056,41,1.62,0.6439,-,86
87,60.651,-143.0921,12.237,1664662903.96446,792070,58,1.62,0.5283,-,87
88,59.9358,-139.2537,4.0911,1664894774.59637,792132,76,2.77,0.5494,-,88
89,61.2304,-139.5735,5.2709,1665072604.89552,792190,35,1.4,0.6636,-,89
90,60.5138,-144.0001,9.7547,1665081190.82539,792198,35,1.23,0.7684,-,90
91,61.2766,-139.5693,3.6984,1665083763.04169,792201,27,1.33,0.777,-,91
92,60.209,-139.5891,9.6006,1664706371.40452,792283,33,2.0,0.8268,-,92
93,60.2169,-141.2122,16.8995,1664706499.20566,792284,18,1.19,0.4276,-,93
94,60.4921,-143.0168,5.3565,1664842808.75571,792540,33,0.93,0.5973,-,94
95,60.6185,-141.293,10.4502,1664847783.58667,792545,56,1.7,0.7316,-,95
96,60.6066,-141.2757,21.4565,1664847907.19761,792546,33,0.98,0.6651,-,96
97,60.2308,-140.7559,18.6114,1664855957.70494,792557,22,1.02,0.4297,-,97
98,61.2305,-140.7014,4.1588,1665395168.54213,792601,39,1.76,0.5428,-,98
99,60.2413,-141.1947,9.9658,1665102509.22348,792639,32,1.2,0.6541,-,99
100,60.0132,-141.5069,0.0,1664844794.4749,792783,16,1.45,0.848,G,100
101,61.1566,-139.0115,5.2431,1665607831.30491,792943,35,2.3,0.537,-,101
102,60.3379,-143.0722,11.1842,1665484224.69541,793031,46,1.92,0.6524,-,102
103,60.6764,-142.9229,11.9838,1665492988.61941,793042,76,2.3,0.7934,-,103
104,60.5792,-141.2606,10.9275,1665501447.18348,793046,24,1.26,0.469,-,104
105,60.278,-140.8408,8.502,1665569746.59831,793075,17,1.08,0.456,-,105
106,60.3503,-141.4597,8.5133,1665810640.93308,793179,25,1.01,0.6463,-,106
107,60.3335,-143.07,9.6462,1665812380.18656,793180,42,1.62,0.5875,-,107
108,60.3143,-143.2569,2.4225,1665818017.90132,793183,38,1.57,0.7752,-,108
109,60.4018,-141.926,10.7149,1665818175.81783,793184,31,1.31,0.601,-,109
110,60.2825,-143.3082,8.5605,1665777941.68788,793215,44,1.24,0.5484,-,110
111,60.3746,-141.4082,13.8795,1665781298.06241,793221,48,1.33,0.5608,-,111
112,60.3621,-143.6214,4.9005,1665748202.36348,793317,17,0.9,0.2783,-,112
113,60.426,-143.4971,10.5142,1665754641.27275,793322,32,1.14,0.4977,-,113
114,60.3713,-141.4612,4.9201,1665471297.60216,793362,22,1.26,0.472,-,114
115,60.5657,-144.7591,9.9249,1665902335.17871,793425,47,1.76,0.6146,-,115
116,60.2991,-143.4216,1.9465,1666005891.18276,793479,18,1.12,0.3542,-,116
117,60.1791,-141.629,0.0,1666062688.35239,793574,18,1.46,0.3699,G,117
118,60.5115,-143.8528,3.643,1666070052.40394,793580,48,1.64,0.5205,-,118
119,60.4947,-143.8387,6.6015,1666070087.38665,793579,36,1.72,0.5142,-,119
120,60.3317,-143.2209,4.6485,1665695023.42516,793623,60,2.64,0.7246,-,120
121,60.3403,-141.2158,19.4739,1665913528.34259,793703,15,1.38,0.4651,-,121
122,60.2341,-141.2499,9.4351,1666026836.66137,793881,36,1.77,0.67,-,122
123,60.6147,-141.5721,15.8593,1666027814.83855,793885,32,1.34,0.6194,-,123
124,60.3517,-143.3601,3.9533,1665992193.28516,794000,22,1.24,0.8337,-,124
125,60.1151,-140.8032,16.0414,1665381003.23188,794198,29,1.7,0.2962,-,125
126,60.0171,-140.2204,17.9826,1666398813.65236,794219,30,1.65,0.7072,-,126
127,60.4903,-143.0423,9.4989,1666275825.93734,794292,31,1.19,0.4142,-,127
128,60.2214,-141.7788,1.8073,1665419695.13486,794314,30,1.34,0.5544,-,128
129,60.0678,-140.4599,14.0381,1666479684.95935,794823,22,1.24,0.7281,-,129
130,60.2764,-141.8003,3.8328,1666638504.08748,794898,30,1.05,0.699,-,130
131,60.7409,-139.8429,14.2224,1665989760.72005,795071,23,1.46,0.6882,-,131
132,60.5533,-144.6575,11.955,1666571572.82054,795113,35,1.43,0.3961,-,132
133,60.3487,-141.4037,9.1866,1666742234.24839,795281,30,1.2,0.5518,-,133
134,60.2502,-141.4711,4.2947,1666748333.88243,795372,49,2.21,0.7324,-,134
135,60.254,-141.4852,6.1606,1666749958.22203,795374,35,1.92,0.5605,-,135
136,60.1685,-141.1357,20.4581,1666350659.22516,795429,45,1.72,0.6333,-,136
137,60.0521,-140.547,6.6536,1666381878.27896,795440,34,1.69,0.6932,-,137
138,60.259,-141.0385,11.6286,1666390311.11579,795458,22,1.25,0.3912,-,138
139,60.3442,-141.819,9.535,1666904066.96169,795465,30,1.43,0.573,-,139
140,60.235,-141.4937,9.849,1666833654.16094,795502,68,2.59,0.6576,-,140
141,60.4169,-141.4747,1.3056,1666712703.35259,795802,55,1.85,0.6769,-,141
142,60.229,-141.3475,8.5137,1667077896.86159,795995,55,2.09,0.7769,-,142
143,60.2494,-141.4667,5.4258,1666743977.45212,796054,23,1.22,0.5889,-,143
144,60.2648,-141.4943,7.2367,1666750781.52529,796056,53,2.29,0.6536,-,144
145,60.4117,-143.7202,0.0,1666753133.82741,796074,23,1.27,0.5381,G,145
146,60.239,-141.4624,8.0028,1666757605.85372,796062,35,1.84,0.4838,-,146
147,60.3237,-143.3152,5.3697,1667180800.33539,796153,22,1.29,0.6057,-,147
148,60.4937,-141.819,11.0066,1667153246.0687,796258,23,0.95,0.4002,-,148
149,61.1759,-140.535,3.0756,1667154123.08505,796260,49,2.06,0.411,-,149
150,60.267,-141.682,3.255,1667225183.89423,796321,34,1.43,0.5667,-,150
151,60.0766,-140.7268,12.2951,1667138792.17335,796452,30,1.55,0.7747,-,151
