,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotation
0,60.2832,-141.474,0.0252,1662012579,557,6,1.35,0.8692,lf_G,low-frequency Glacial-quake
1,60.3409,-142.9134,30.694,1662019241,559,5,-999,1.3295,n,combined impulsive noise
2,60.6963,-144.4318,15.7107,1662036162,561,8,2.42,0.9068,-,regional earthquake signal (high noise on included stations)
6,60.6547,-144.3275,52.8377,1662159119,565,4,1.67,0.1488,-,"earthquake (small, P-only location)"
7,60.6774,-144.143,100,1662159114,566,7,2.18,1.7975,D,duplicate of evid #565
12,60.5669,-141.1678,40,1662333455,572,4,-999,-1,n,combined impulsive noise
13,60.2965,-141.2872,0.0359,1662333694,573,5,-999,0.635,lf_G,low-frequency Glacial-quake
14,59.8256,-141.6935,22.8136,1662351618,574,4,1.54,1.0318,-,earthquake
15,61.3823,-144.9432,100,1662354222,575,14,3.13,1.3965,nT,teleseismic signal
17,60.8894,-143.5877,99.3138,1662377557,577,5,1.49,1.3129,nT,decaying teleseismic signal
19,59.9533,-141.9325,34.1316,1662381574,581,6,1.38,0.4048,-,earthquake
20,60.4118,-143.2569,43.5174,1662381946,582,5,-999,1.3779,hf_G,high-frequency Glacial-quake
22,61.1633,-141.8932,27.9668,1662390758,584,5,2.13,1.2479,D,duplicate of MATCHED evid #583
23,61.202,-144.9303,20.3417,1662397623,585,11,1.63,1.0285,-,"earthquake, P-only solution"
24,59.5491,-142.109,0.003,1662398056,586,5,1.89,0.6032,lf_G,low-frequency Glacial-quake
25,59.8401,-143.4801,12.4795,1662398566,587,5,-999,0.8148,lf_G,low-frequency Glacial-quake
26,60.8169,-142.9596,7.6773,1662404715,588,4,-999,0.4908,n,combined impulsive noise
27,60.3277,-143.6752,11.7874,1662413978,589,6,0.52,0.5598,hf_G,high-frequency Glacial-quake
28,60.1484,-141.661,3.4769,1662415475,590,10,1.19,0.5757,lf_G,low-frequency Glacial-quake
29,60.9032,-141.4715,0.1283,1662424055,591,7,-999,1.1015,-,earthquake (small)
31,60.9863,-141.2483,0.2032,1662440301,594,15,1.71,0.7425,-,earthquake (P-only location)
32,61.0679,-143.9274,62.4321,1662448587,595,8,1.27,1.1889,nT,teleseismic signal
33,59.6493,-139.9631,60.8966,1662448580,596,4,-999,0.8042,D,duplicate of evid #595
34,60.4633,-142.4366,0.0444,1662449548,597,6,1.09,0.9317,-,earthquake
35,59.6428,-143.2965,0.1845,1662450878,598,5,1.81,1.1125,n,possibly a landslide (doesn't look glacial)
37,60.5911,-141.2202,27.9809,1662451300,600,6,0.73,0.1285,-,earthquake
38,60.4521,-141.0008,40,1662451931,601,4,0.39,-1,-,earthquake
39,59.6221,-141.9284,51.1712,1662454322,602,11,2.47,0.9228,nT,teleseismic signal
40,60.7022,-143.3461,51.3076,1662454328,603,6,2.35,0.836,D,duplicate of evid #602
42,59.6774,-138.7273,99.7252,1662467602,605,4,-999,0.9427,nT,teleseismic signal
43,61.1409,-142.021,0,1662468392,606,4,1.51,0.8508,n,combined impulsive noise
44,60.9985,-144.7825,23.8188,1662470839,607,7,-999,0.82,-,earthquake (P-only location)
45,60.423,-143.116,6.2614,1662472362,608,5,1.96,0.6447,lf_G,low-frequency Glacial-quake
46,60.2932,-143.0907,0.0029,1662476942,609,5,0.68,0.2808,-,earthquake
48,60.5864,-143.0132,23.1575,1662478313,612,10,-999,0.6448,D,duplicate of MATCHED evid #610
50,61.3669,-141.2014,3.5396,1662481140,615,19,2.47,0.8268,-,regional earthquake
56,60.8468,-144.798,16.0387,1662498344,624,13,1.78,0.8473,-,earthquake
57,59.6914,-142.8771,34.554,1662498529,625,7,1.19,0.9253,-,earthquake (messier signals)
58,60.5995,-144.8472,23.8198,1662499715,627,18,1.63,0.614,-,regional earthquake (P-only location)
62,60.2776,-141.0681,22.8251,1662536019,631,6,-999,0.1552,-,earthquake (small)
64,61.1766,-141.1743,0.1717,1662540638,633,18,2.27,0.8034,-,earthquake (P-only location)
65,60.4571,-143.0886,3.7408,1662544194,634,6,0.58,0.1811,-,earthquake (small)
67,60.1874,-143.2473,100,1662575054,636,4,1.36,0.8521,n,combined impulsive noise — possibly decaying teleseismic
69,60.8338,-142.2053,49.8749,1662610164,638,10,1.76,0.6694,nT,teleseismic signal
70,61.0988,-139.3873,35.6002,1662610156,639,4,2.08,0.7177,D,duplicate of evid #638
71,59.8452,-139.1514,56.3297,1662623294,640,4,-999,0.8372,nT,teleseismic signal
73,60.1516,-143.3268,100,1662769060,642,7,2.33,1.7139,n,combined impulsive noise — possibly decaying teleseismic
75,60.5388,-144.9792,31.8565,1662798367,645,9,2.13,0.9575,hf_G,high-frequency Glacial-quake
76,60.483,-142.0189,48.6849,1662809651,646,9,1.92,0.7995,nT,teleseismic signal
