,lat,lon,depth,time,evid,nass,ml,sdobs,etype,matchid
0,60.4193,-143.2079,19.2089,1662238940.49567,568,6,1.1,0.5079,-,0
1,60.0012,-140.7228,10.4341,1662133221.60062,564,17,2.78,0.8242,-,1
2,60.8049,-144.4051,27.5864,1662159213.49558,567,7,1.89,0.3292,-,2
3,60.5891,-141.2339,27.1045,1662451332.03801,599,6,1.08,0.1199,-,3
4,60.5728,-142.7287,16.154,1662479392.02355,613,7,1.27,0.7227,-,4
5,60.3362,-143.1023,2.1861,1662484280.64918,617,13,1.3,0.6747,-,5
6,60.351,-143.1037,13.0083,1662484299.62859,616,14,1.75,0.8828,-,6
7,60.299,-143.0857,1.7844,1662484718.19216,620,6,0.61,0.8994,-,7
8,59.9148,-139.3797,0.1584,1662488106.48051,621,10,1.63,0.7936,-,8
9,60.1106,-140.7019,11.3412,1662427356.70406,592,10,1.51,0.6809,-,9
10,60.1956,-141.0957,2.3159,1662538801.7466,632,11,1.14,0.6361,-,10
11,60.3093,-143.3253,0.0,1662573837.86691,635,7,0.82,0.7287,-,11
12,60.4895,-142.8042,1.3924,1662593122.97453,637,8,0.9,0.2909,-,12
13,60.3031,-143.3035,0.022,1662376343.16523,576,6,1.07,0.685,-,13
14,60.2717,-141.3332,16.1347,1662381225.20839,579,12,1.29,0.6182,-,14
15,60.2252,-141.1301,15.6227,1662775877.11776,643,9,1.5,0.9604,-,15
16,60.3737,-143.7702,0.32,1662943832.29539,665,9,1.18,0.7284,-,16
17,60.223,-140.7599,19.5592,1662519972.38869,628,6,-999.0,0.1825,-,17
18,60.2619,-140.9591,20.0305,1662527080.76104,629,5,0.86,0.0478,-,18
19,60.3288,-141.931,29.3393,1662996645.90438,671,5,0.87,0.3951,-,19
20,59.992,-139.386,0.605,1662916378.39963,661,6,1.79,0.3075,-,20
21,60.3798,-140.0099,2.2449,1662926641.06026,662,19,2.22,0.7296,-,21
22,60.1067,-139.4831,0.2168,1662812499.60323,649,9,2.2,0.6804,-,22
23,60.1053,-139.4836,5.3651,1662812661.73982,650,9,2.01,0.8339,-,23
24,60.0906,-139.4801,0.0198,1662813044.81226,652,7,1.99,0.8341,-,24
25,60.2679,-139.2118,0.0411,1662823348.43786,654,6,1.63,0.7269,-,25
26,60.2979,-141.1146,14.6198,1662954655.62127,666,10,1.36,0.4869,-,26
27,60.1074,-140.5018,0.1321,1663028720.75784,675,8,1.44,0.7645,-,27
28,60.1886,-141.4973,10.0,1663322237.30065,702,4,1.26,-1.0,-,28
29,60.5741,-143.0172,10.4881,1663307441.8459,700,4,0.65,0.0281,-,29
30,59.9963,-139.4806,0.0055,1663307660.37995,701,10,1.9,0.4435,-,30
31,60.369,-140.0124,6.9822,1663442259.84266,714,11,1.41,0.8481,-,31
32,60.1407,-140.8846,21.4824,1663469963.3233,717,8,1.29,0.2527,-,32
33,60.303,-143.0932,6.4668,1663390179.0846,706,9,1.3,0.9464,-,33
34,60.1259,-141.5159,11.7587,1663391256.73469,707,5,1.25,0.5643,-,34
35,60.4559,-143.8758,1.777,1663505998.99826,725,6,1.11,1.0828,-,35
36,60.078,-141.3184,0.0,1663534470.61998,726,8,1.34,0.7013,-,36
37,60.1428,-139.4825,0.0028,1663416799.34219,708,16,2.32,0.6671,-,37
38,60.2845,-143.2955,0.0139,1663422553.85713,711,15,2.21,0.4961,-,38
39,60.3588,-142.9045,8.2423,1663610145.8004,739,11,1.11,0.3042,-,39
40,60.664,-142.9722,15.2773,1663622359.55726,747,5,0.76,0.0547,-,40
41,60.1155,-140.7406,8.5155,1663624537.77381,749,5,1.17,0.1127,-,41
42,60.5142,-143.0414,19.0939,1663701840.01557,758,11,1.66,0.4697,-,42
43,60.0988,-140.107,15.3899,1663702103.52205,760,5,1.63,0.0316,-,43
44,60.2326,-140.941,1.111,1663716893.5643,761,5,1.91,0.4573,-,44
45,60.2643,-141.2436,13.8382,1663670423.76105,754,5,-999.0,0.3454,-,45
46,61.2852,-141.1537,7.9394,1663922503.85233,783,18,2.7,0.7258,-,46
47,60.2321,-141.3698,7.7179,1663889096.79314,779,6,1.52,0.5179,-,47
48,60.165,-139.6774,15.5929,1663549155.65884,727,7,1.23,0.6296,-,48
49,61.1215,-141.8121,0.761,1664086726.08368,792,4,1.41,0.356,-,49
50,60.3772,-143.047,0.0039,1663958627.23414,789,4,1.12,0.2419,-,50
51,61.2928,-141.1666,4.9636,1664117465.01905,795,14,2.01,0.5787,-,51
52,60.6152,-143.2119,25.0,1664178486.62539,797,5,0.67,-1.0,-,52
53,61.2831,-141.1539,5.4445,1663747992.41845,766,21,3.41,0.8477,-,53
54,60.614,-144.4941,5.1514,1663835998.47662,772,14,1.95,0.901,-,54
55,60.5603,-142.6066,5.4467,1663917226.13938,781,10,1.67,0.3036,-,55
56,59.7438,-138.7729,4.6217,1664331948.98108,814,9,1.7,0.4321,-,56
57,60.3509,-143.6552,0.0164,1664333575.63855,815,7,1.22,0.4713,-,57
58,60.2499,-141.4166,8.3629,1664337736.59065,816,6,1.01,0.4944,-,58
59,60.0651,-141.3351,0.8904,1664338400.57945,817,8,1.4,0.7996,-,59
60,60.1155,-143.3431,0.574,1664095275.02838,793,7,1.64,0.9091,-,60
61,60.6414,-143.2635,1.4495,1664319405.82609,810,6,0.67,0.4873,-,61
62,60.1668,-141.5174,19.1157,1664389864.87435,825,6,0.8,0.289,-,62
63,60.0921,-140.9401,7.7444,1664398861.54603,827,14,1.8,0.5682,-,63
64,59.9988,-139.3203,5.8303,1664899290.98177,891,24,2.13,0.6871,-,64
65,61.2805,-141.1266,21.955,1664279981.09603,806,7,1.49,0.7489,-,65
66,59.876,-139.502,25.9007,1664323915.67002,811,4,1.68,0.4332,-,66
67,60.2551,-141.0674,5.0,1664497497.53064,841,4,-999.0,-1.0,-,67
68,60.4055,-144.2042,20.2614,1664410117.02421,829,12,1.35,0.4867,-,68
69,60.3932,-143.894,2.1375,1664539111.46206,843,10,1.7,0.6557,-,69
70,60.4656,-141.4918,11.2278,1664475476.69344,836,8,1.72,0.2225,-,70
71,60.2436,-141.2731,14.3031,1664492890.65489,838,23,5.19,0.4172,-,71
72,60.2551,-141.0674,5.0,1664495783.97064,840,4,-999.0,-1.0,-,72
73,60.1295,-140.7016,4.6072,1664374569.26817,822,5,1.2,0.5132,-,73
74,60.0557,-140.4538,2.1191,1664375246.80037,823,5,-999.0,0.5248,-,74
75,60.4278,-143.2192,16.3175,1664586334.17802,848,7,0.81,0.3158,-,75
76,60.4919,-143.0189,6.327,1664588654.7485,851,12,1.55,0.5839,-,76
77,59.9735,-141.1594,11.9382,1664598375.5176,855,21,2.2,0.745,-,77
78,60.2406,-141.2298,17.2009,1664607204.37281,859,6,1.36,0.1605,-,78
79,60.224,-141.2298,18.0812,1664624743.2943,860,7,0.94,0.1441,-,79
80,60.6018,-143.01,20.0,1664633348.01768,861,7,0.54,-1.0,-,80
81,60.3025,-143.2943,0.0,1664740923.70307,873,8,1.95,0.6775,-,81
82,60.162,-141.2831,20.7183,1664691471.18845,868,5,1.13,0.1915,-,82
83,60.1996,-141.2674,15.9346,1664578674.12102,844,17,1.84,0.6021,-,83
84,60.5096,-142.95,0.5285,1665223036.23013,936,5,1.19,0.3334,-,84
85,60.3726,-143.6446,2.1853,1664796779.11534,877,19,2.04,0.5858,-,85
86,60.3732,-143.6956,3.9664,1664644412.20357,863,16,1.87,0.9058,-,86
87,60.6355,-143.0251,0.0,1664662904.80084,864,13,1.57,0.5869,-,87
88,60.0007,-139.3189,5.5659,1664894774.27506,889,25,3.0,0.7763,-,88
89,61.0858,-139.5412,9.4258,1665072606.55609,919,4,-999.0,0.2047,-,89
90,60.5088,-144.0136,0.1042,1665081190.95578,922,16,1.47,0.809,-,90
91,61.0493,-139.5634,8.8938,1665083764.71653,923,4,-999.0,0.1075,-,91
92,60.1954,-139.5605,2.7988,1664706371.91736,870,14,2.17,0.6176,-,92
93,60.1657,-141.2805,19.6237,1664706498.44226,871,6,1.16,0.2814,-,93
94,60.4843,-143.0143,5.2292,1664842808.72697,881,6,0.94,0.0548,-,94
95,60.6872,-141.1418,12.503,1664847782.46207,883,23,1.8,0.7774,-,95
96,60.5786,-141.1884,28.1112,1664847906.65349,884,5,1.02,0.4468,-,96
97,60.214,-140.6766,21.2721,1664855957.34468,886,4,0.85,0.2186,-,97
98,61.2206,-140.7156,11.6728,1665395168.22811,946,11,2.0,0.3729,-,98
99,60.2462,-141.2242,9.6721,1665102509.45215,927,10,1.17,0.3817,-,99
100,59.969,-141.3729,0.2664,1664844793.36307,882,11,1.59,0.7063,-,100
101,61.1615,-138.8417,6.3331,1665607832.93114,970,10,2.55,1.0345,-,101
102,60.3486,-143.0564,1.5134,1665484224.78581,956,20,1.94,0.5362,-,102
103,60.6979,-142.8779,22.8101,1665492988.1669,958,20,2.31,0.3203,-,103
104,60.5586,-141.1737,32.2313,1665501445.79087,959,5,0.93,0.2561,-,104
105,60.2452,-140.8619,19.7431,1665569745.96378,967,4,1.18,0.0185,-,105
106,60.2537,-141.4423,19.5545,1665810639.24416,987,7,0.87,0.2297,-,106
107,60.3383,-143.0596,1.1069,1665812380.23148,988,16,1.74,0.5149,-,107
108,60.3497,-143.2381,1.7539,1665818018.7568,991,10,1.61,0.499,-,108
109,60.3881,-141.8816,16.5844,1665818175.48024,992,9,1.34,0.5197,-,109
110,60.3034,-143.2874,0.0,1665777942.41832,982,8,1.02,0.2988,-,110
111,60.3704,-141.4576,0.031,1665781298.79607,983,13,1.14,0.4168,-,111
112,60.3638,-143.6346,4.4431,1665748202.76163,978,7,0.78,0.4977,-,112
113,60.4007,-143.6328,29.4968,1665754639.46994,980,9,1.13,0.6487,-,113
114,60.299,-141.4508,15.2488,1665471296.98257,954,6,1.64,0.189,-,114
115,60.5774,-144.5959,6.5215,1665902335.46061,997,9,1.79,0.6778,-,115
116,60.2919,-143.2861,0.0,1666005892.79609,1006,6,-999.0,0.7067,-,116
