,lat,lon,depth,time,evid,nass,ml,sdobs,etype
1,66.2382,-157.3825,8.3591,1549007882.03669,2245,7,-999.0,0.0896,-
2,66.3713,-157.108,4.7804,1549015894.566,2246,11,1.32,0.6558,-
7,66.2946,-157.3965,12.37,1549110709.4657,2255,13,1.34,0.7124,-
8,66.171,-157.2242,9.1351,1549129602.80737,2256,7,-999.0,0.4142,-
10,66.168,-158.2393,14.4211,1549142222.89407,2258,8,1.23,0.1562,-
13,66.3229,-157.2156,9.1106,1549198867.507,2261,6,-999.0,0.447,-
15,66.1693,-158.2916,9.8988,1549234766.49503,2263,16,1.33,0.6642,-
17,66.0876,-158.1612,1.1707,1549238540.16212,2265,7,-999.0,0.547,-
21,66.0849,-158.1627,14.7538,1549271902.339,2269,12,-999.0,0.7789,-
24,66.3334,-157.2964,9.553,1549317597.87591,2272,14,-999.0,0.6733,-
25,66.1461,-158.2661,11.4377,1549323812.96111,2273,21,1.47,0.7036,-
27,66.3352,-157.2275,10.6007,1549349758.12974,2275,13,1.26,0.6115,-
31,66.1039,-157.4245,1.9045,1549366201.26123,2280,8,-999.0,0.7066,-
34,66.232,-157.4496,4.7843,1549371955.42098,2284,7,-999.0,0.8297,-
48,66.1465,-158.2603,9.9002,1549589489.49163,2300,14,1.23,0.4871,-
53,66.1741,-158.2567,4.5571,1549599161.74698,2306,8,-999.0,0.2135,-
54,66.1538,-158.2876,11.5899,1549599816.84765,2307,11,-999.0,0.5499,-
56,66.1622,-158.2597,5.7248,1549606880.59234,2309,24,1.44,0.612,-
59,66.2939,-157.2509,4.6071,1549618457.97048,2313,14,1.29,0.6445,-
61,66.1652,-158.276,6.2798,1549623689.64245,2315,24,1.23,0.5843,-
62,66.1707,-158.2455,13.7662,1549623789.90028,2316,9,-999.0,0.4327,-
63,66.1646,-158.164,5.1584,1549628769.45362,2318,6,-999.0,0.4821,-
65,66.149,-158.2627,10.0497,1549631525.69626,2320,18,1.62,0.5714,-
67,66.1627,-158.338,9.2701,1549638395.26245,2322,13,1.47,0.6391,-
68,66.1653,-158.2714,10.6581,1549639982.6863,2323,13,1.18,0.4172,-
71,66.2871,-157.2806,0.0966,1549647685.17583,2326,7,0.84,0.3514,-
78,66.1721,-158.2519,15.1574,1549690990.46258,2333,10,-999.0,0.1848,-
80,66.1578,-158.2594,10.9283,1549691851.82013,2335,19,1.19,0.5603,-
81,66.1858,-158.2493,12.8756,1549698318.97668,2336,9,-999.0,0.4867,-
82,66.1643,-158.2378,12.3798,1549698616.89562,2337,17,1.37,0.5409,-
83,66.217,-158.4048,0.1282,1549704025.87007,2338,11,1.42,0.706,-
87,66.3152,-157.2135,1.9102,1549710061.37291,2342,13,1.3,0.5014,-
90,66.157,-158.2335,11.6479,1549712321.02694,2345,19,1.39,0.5749,-
91,66.1761,-158.2454,16.0244,1549716444.36237,2346,7,-999.0,0.1706,-
92,66.0836,-158.1564,0.4362,1549720285.04305,2347,7,-999.0,0.5154,-
93,66.3252,-157.3454,7.6283,1549727064.23194,2348,10,1.31,0.8076,-
95,66.1725,-158.2484,13.9751,1549750907.50234,2350,11,1.36,0.3923,-
96,66.1682,-158.2139,5.3188,1549752281.81349,2351,18,-999.0,0.6142,-
98,66.3174,-157.1933,12.4384,1549764861.93225,2353,9,-999.0,0.3586,-
100,66.3119,-157.218,3.0421,1549765452.01571,2355,19,1.47,0.6342,-
101,66.3055,-157.1974,11.9856,1549765566.19545,2356,7,-999.0,0.2492,-
102,66.3127,-157.2164,4.8812,1549766818.64511,2358,10,-999.0,0.7872,-
103,66.3255,-157.2147,12.62,1549770604.74844,2359,7,-999.0,0.308,-
104,66.3479,-157.2141,8.8592,1549773608.84079,2360,9,1.18,0.4395,-
105,66.4101,-157.2528,1.2962,1549777879.8121,2361,6,-999.0,0.8968,-
106,66.2977,-157.2207,10.2238,1549787161.61606,2362,7,-999.0,0.1642,-
108,66.3224,-157.2194,9.7103,1549805394.2268,2364,9,1.33,0.5787,-
112,66.2999,-157.2122,4.4646,1549806382.00139,2369,16,1.6,0.6659,-
113,66.2918,-157.213,11.2094,1549806453.26241,2370,16,1.58,0.4286,-
114,66.0902,-157.2064,0.0151,1549806536.92372,2371,8,-999.0,1.125,-
117,66.2863,-157.1981,0.2155,1549806773.66753,2375,15,1.54,0.7819,-
126,66.1354,-157.2384,0.0005,1549807950.30843,2391,10,1.24,1.3928,-
128,66.3095,-157.2175,10.1816,1549808291.16579,2395,11,-999.0,0.653,-
129,66.0819,-157.1967,1.4544,1549808519.63708,2396,7,-999.0,1.0698,-
130,66.3233,-157.1997,2.1377,1549808865.49978,2397,12,-999.0,0.6848,-
131,66.3226,-157.2156,1.3647,1549808390.46584,2398,6,1.32,0.2734,-
134,66.3116,-157.2026,4.5563,1549809612.5409,2401,5,1.59,0.0838,-
135,66.2955,-157.2197,1.5926,1549809669.9363,2402,14,1.18,0.9593,-
136,66.2894,-157.2104,11.3928,1549809725.28593,2403,14,1.54,0.455,-
138,66.6805,-156.3887,0.0,1549809822.0666,2406,6,1.95,2.7764,-
139,66.3148,-157.2139,0.0446,1549810173.33051,2408,7,-999.0,0.459,-
140,66.3339,-157.2139,0.0122,1549810192.1596,2409,7,-999.0,0.4098,-
141,66.3329,-157.1898,9.3814,1549810809.58953,2411,11,1.33,0.3584,-
142,66.2561,-157.1935,0.001,1549811094.97175,2412,6,-999.0,0.5523,-
143,66.3056,-157.2117,9.7397,1549811157.7982,2413,7,-999.0,0.1663,-
144,66.277,-157.2086,12.3717,1549811774.82673,2414,15,1.22,0.475,-
145,66.3547,-157.2302,11.3547,1549811800.95323,2415,9,1.23,1.3091,-
148,66.298,-157.1857,12.1798,1549812790.78552,2419,8,-999.0,0.4814,-
149,66.3216,-157.2023,10.0225,1549813189.35889,2421,6,1.35,0.3956,-
150,66.3211,-157.2372,10.0787,1549813548.54737,2422,12,1.28,0.633,-
151,66.2988,-157.1888,11.1768,1549813535.06977,2423,5,1.2,0.131,-
152,66.2886,-157.2065,10.7613,1549813887.66414,2424,14,1.26,0.4749,-
154,66.1187,-157.2452,2.425,1549814266.27012,2427,6,-999.0,0.8446,-
155,66.312,-157.2022,10.9494,1549814406.93846,2428,14,1.51,0.754,-
157,66.2543,-157.2346,2.5569,1549814655.09512,2432,8,1.42,0.692,-
