,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotations
1,66.2382,-157.3825,8.3591,1549007882,2245,7,-999,0.0896,-,earthquake
8,66.171,-157.2242,9.1351,1549129603,2256,7,-999,0.4142,-,earthquake
13,66.3229,-157.2156,9.1106,1549198868,2261,6,-999,0.447,-,earthquake
17,66.0876,-158.1612,1.1707,1549238540,2265,7,-999,0.547,-,earthquake
21,66.0849,-158.1627,14.7538,1549271902,2269,12,-999,0.7789,-,earthquake
24,66.3334,-157.2964,9.553,1549317598,2272,14,-999,0.6733,-,earthquake 
31,66.1039,-157.4245,1.9045,1549366201,2280,8,-999,0.7066,-,"earthquake (very small, low signal-to-noise ratio)"
34,66.232,-157.4496,4.7843,1549371955,2284,7,-999,0.8297,-,earthquake
53,66.1741,-158.2567,4.5571,1549599162,2306,8,-999,0.2135,-,earthquake
54,66.1538,-158.2876,11.5899,1549599817,2307,11,-999,0.5499,-,earthquake
62,66.1707,-158.2455,13.7662,1549623790,2316,9,-999,0.4327,-,earthquake
63,66.1646,-158.164,5.1584,1549628769,2318,6,-999,0.4821,-,"earthquake (small, low SNR)"
78,66.1721,-158.2519,15.1574,1549690990,2333,10,-999,0.1848,-,earthquake
81,66.1858,-158.2493,12.8756,1549698319,2336,9,-999,0.4867,-,earthquake
91,66.1761,-158.2454,16.0244,1549716444,2346,7,-999,0.1706,-,earthquake
92,66.0836,-158.1564,0.4362,1549720285,2347,7,-999,0.5154,-,"earthquake (small, low SNR)"
96,66.1682,-158.2139,5.3188,1549752282,2351,18,-999,0.6142,-,earthquake
98,66.3174,-157.1933,12.4384,1549764862,2353,9,-999,0.3586,-,earthquake
101,66.3055,-157.1974,11.9856,1549765566,2356,7,-999,0.2492,-,earthquake (follows larger event)
102,66.3127,-157.2164,4.8812,1549766819,2358,10,-999,0.7872,-,earthquake
103,66.3255,-157.2147,12.62,1549770605,2359,7,-999,0.308,-,earthquake (many unassociated P's)
105,66.4101,-157.2528,1.2962,1549777880,2361,6,-999,0.8968,-,"earthquake (small, low SNR)"
106,66.2977,-157.2207,10.2238,1549787162,2362,7,-999,0.1642,-,earthquake
