,lat,lon,depth,time,evid,nass,ml,sdobs,etype,matchid
0,66.1647,-158.2554,6.2575,1549234980.02438,2264,23,1.28,0.5662,-,0
1,66.163,-158.238,5.2457,1549240527.08791,2266,23,1.3,0.638,-,1
2,66.319,-157.216,8.6458,1549434851.98431,2288,17,1.29,0.5565,-,2
3,66.168,-158.245,14.6796,1549598710.03111,2305,16,2.04,0.385,-,3
4,66.1705,-158.2232,3.5968,1549606360.79055,2308,17,1.19,0.5516,-,4
5,66.3158,-157.2091,9.6863,1549617434.03023,2311,20,2.13,0.4796,-,5
6,66.1649,-158.2713,7.3436,1549623387.44986,2314,25,2.31,0.6336,-,6
7,66.1654,-158.2308,7.5032,1549631814.29226,2321,18,1.48,0.5306,-,7
8,66.1701,-158.2315,12.2882,1549640496.45609,2324,19,1.35,0.4709,-,8
9,66.1754,-158.2544,5.1485,1549681862.61285,2329,23,2.18,0.6111,-,9
10,66.1762,-158.2543,7.6144,1549687071.17223,2330,26,3.57,0.5009,-,10
11,66.172,-158.2344,0.0635,1549688486.40811,2331,19,1.4,0.6766,-,11
12,66.171,-158.2469,9.6552,1549689492.03088,2332,21,1.35,0.5962,-,12
13,66.1617,-158.2466,8.9383,1549691273.27442,2334,18,1.26,0.5911,-,13
14,66.3044,-157.2068,10.0843,1549765306.80822,2354,22,2.72,0.635,-,14
15,66.3188,-157.2234,0.0,1549791635.30622,2363,9,1.24,0.2408,-,15
16,66.3074,-157.219,4.8123,1549805748.21955,2365,21,4.54,0.6534,-,16
17,66.2671,-157.2228,9.9998,1549806003.32899,2366,20,2.84,1.1067,-,17
18,66.3113,-157.2043,9.2713,1549806285.61308,2368,13,1.69,0.6799,-,18
19,66.2177,-157.2077,8.1102,1549806629.10242,2373,6,1.22,0.437,-,19
20,66.2988,-157.2266,13.2166,1549806664.29071,2374,14,1.45,0.3172,-,20
21,66.2969,-157.2031,9.8218,1549806983.24769,2377,18,1.71,0.5284,-,21
22,66.2973,-157.2145,0.1404,1549807129.65741,2379,17,1.84,0.7205,-,22
23,66.3066,-157.2173,10.6103,1549807295.30719,2380,10,1.57,0.1757,-,23
24,66.309,-157.2146,11.5288,1549807329.09374,2381,15,2.32,0.4224,-,24
25,66.2934,-157.2156,11.2387,1549807362.91898,2383,15,2.43,0.4938,-,25
26,66.2913,-157.1937,9.4906,1549807500.74187,2386,19,2.48,0.5846,-,26
27,66.3121,-157.2007,10.3395,1549807782.94433,2388,23,2.78,0.6602,-,27
28,66.3073,-157.2249,11.5602,1549807829.71312,2389,15,2.66,0.4887,-,28
29,66.2986,-157.1809,11.8422,1549808128.68889,2393,12,1.47,0.3706,-,29
30,66.2993,-157.2244,4.6889,1549809116.69991,2399,19,1.77,0.7302,-,30
31,66.3226,-157.2394,18.9597,1549809412.51687,2400,11,1.53,0.9525,-,31
32,66.3191,-157.1686,10.0859,1549809808.10642,2405,10,1.38,0.5477,-,32
33,66.2888,-157.1943,12.1977,1549812622.14413,2418,17,1.66,0.4425,-,33
34,66.2994,-157.2175,12.5534,1549814053.08293,2425,16,1.73,0.5787,-,34
35,66.3144,-157.1938,9.246,1549814600.53348,2430,16,1.33,0.6749,-,35
36,66.163,-158.2734,9.5255,1549816053.3786,2438,16,1.58,0.5347,-,36
37,66.3102,-157.2054,12.423,1549817119.51063,2441,15,1.31,0.3661,-,37
38,66.2751,-157.2112,9.8103,1549817805.21964,2444,19,3.05,1.0776,-,38
39,66.2834,-157.1207,10.1317,1549818226.64884,2447,13,1.61,1.0904,-,39
40,66.2877,-157.2022,12.2343,1549818544.6019,2450,16,1.46,0.3748,-,40
41,66.2922,-157.2052,10.6919,1549819026.27859,2454,20,1.98,0.685,-,41
42,66.3025,-157.2123,10.8441,1549819924.83667,2456,15,1.25,0.424,-,42
43,66.3191,-157.0896,4.2472,1549820106.22796,2457,15,1.28,0.6938,-,43
44,66.3084,-157.203,11.8815,1549821148.70321,2461,15,1.49,0.4054,-,44
45,66.3434,-157.1702,7.0301,1549821589.9205,2463,15,1.46,0.6004,-,45
46,66.3212,-157.1894,0.1218,1549822051.91075,2466,12,1.5,0.5991,-,46
47,66.2933,-157.2103,13.3448,1549822426.07463,2469,15,1.38,0.9975,-,47
48,66.2917,-157.2125,3.4131,1549822760.53069,2474,19,1.75,0.7815,-,48
49,66.2978,-157.2234,0.0268,1549822921.24058,2476,15,1.35,0.5403,-,49
50,66.3082,-157.2144,9.9433,1549823033.67398,2477,18,1.71,0.6676,-,50
51,66.3037,-157.2327,0.0004,1549823271.89317,2480,15,1.5,0.6965,-,51
52,66.3048,-157.2042,8.683,1549823446.18749,2484,18,1.39,0.8387,-,52
53,66.3359,-157.2178,3.5435,1549823851.93791,2486,12,1.61,0.7837,-,53
54,66.296,-157.2163,0.0,1549824097.03027,2487,9,1.46,0.3727,-,54
55,66.3192,-157.2198,0.5878,1549826322.87426,2496,9,1.43,0.6386,-,55
56,66.2964,-157.2088,10.9624,1549829245.82666,2508,16,1.52,0.7687,-,56
57,66.2947,-157.2057,13.0045,1549830173.88175,2514,16,-999.0,0.358,-,57
58,66.3159,-157.2194,10.0,1549833992.23314,2520,11,1.23,-1.0,-,58
59,66.2992,-157.2135,11.4001,1549837065.2431,2524,16,1.39,0.3816,-,59
60,66.2985,-157.2182,5.1669,1549837258.51721,2525,24,2.59,0.765,-,60
61,66.2934,-157.2281,4.6978,1549838808.5206,2533,21,2.61,0.7683,-,61
62,66.2967,-157.2202,11.8989,1549839116.53814,2536,16,1.39,0.4636,-,62
63,66.2966,-157.2149,0.1145,1549839646.51326,2542,19,1.61,0.6843,-,63
64,66.2909,-157.2218,6.3082,1549841071.86378,2545,19,2.35,0.7584,-,64
65,66.2986,-157.2093,11.9875,1549841804.07657,2546,18,1.88,0.4881,-,65
66,66.2794,-157.1531,10.8466,1549846567.21426,2550,9,-999.0,0.3897,-,66
67,66.2819,-157.2302,5.132,1549849912.65605,2556,21,2.34,0.7806,-,67
68,66.3043,-157.1915,11.9296,1549854075.90237,2562,14,1.38,0.2654,-,68
69,66.2795,-157.1988,10.6999,1549854370.37344,2564,12,1.36,0.5745,-,69
70,66.3039,-157.2235,3.9646,1549860778.69447,2567,17,1.66,0.6809,-,70
71,66.3015,-157.1838,13.1998,1549871345.85931,2578,13,1.41,0.3272,-,71
72,66.306,-157.0189,2.6518,1549878458.31297,2583,13,1.74,0.6799,-,72
73,66.303,-157.2177,10.4201,1549883501.79647,2589,16,1.63,0.7616,-,73
74,66.1706,-158.2491,10.5711,1549890305.47191,2599,19,2.24,0.5932,-,74
75,66.1683,-158.2469,4.4368,1549898128.60565,2610,22,2.24,0.5552,-,75
76,66.3241,-157.1719,11.1161,1549914336.63193,2622,15,1.57,0.6003,-,76
77,66.2746,-157.2264,3.4626,1549929957.91351,2630,11,1.94,1.1381,-,77
78,66.287,-157.1928,12.1112,1549938637.80521,2633,12,1.66,0.4442,-,78
