,lat,lon,depth,time,evid,nass,ml,sdobs,etype,matchid
0,66.2762,-157.2707,8.8813,1549791635.47197,1329,16,1.0,0.4537,-,missed
1,66.3146,-157.1599,9.0726,1549807263.06479,1341,13,1.4,0.4933,-,missed
2,66.3008,-157.1747,15.1876,1549807328.7062,1345,20,2.34,0.4364,-,missed
3,66.3134,-157.1737,12.8573,1549807829.34689,1348,22,2.81,0.7543,-,missed
4,66.3218,-157.1538,14.4887,1549807946.73221,1347,18,1.22,0.3391,-,missed
5,66.3001,-157.1199,22.2394,1549809412.61051,1346,18,1.3,0.8152,-,missed
6,66.2864,-157.1609,20.1308,1549809807.82023,1351,19,1.04,0.4364,-,missed
7,66.3309,-157.2149,4.6997,1549817804.74852,1294,68,3.02,0.6957,-,missed
8,66.2997,-157.2077,10.1249,1550113380.39131,1802,12,0.7,0.6673,-,missed
9,66.2975,-157.2162,7.3138,1550229611.97732,1972,13,1.62,0.1896,-,missed
10,66.3118,-157.2265,6.0038,1550271589.13624,1974,16,2.06,0.3534,-,missed
11,66.322,-157.2004,6.3508,1550274977.14466,1971,13,1.54,0.3099,-,missed
12,66.3056,-157.2571,9.0787,1550422259.8642,2213,14,0.84,0.5941,-,missed
13,66.2815,-157.3682,9.0941,1550453625.99156,2310,13,0.9,0.5248,-,missed
14,66.3287,-157.2121,10.1725,1550755005.75293,2658,17,0.91,0.7665,-,missed
15,66.3004,-157.1994,7.0837,1550932940.65613,2907,14,1.1,0.634,-,missed
16,66.3029,-157.1957,6.925,1550978529.0332,3009,20,0.84,0.7014,-,missed
17,66.3,-157.1855,11.3668,1550989934.35224,3014,16,0.89,0.6242,-,missed
