,lat,lon,depth,time,evid,nass,ml,sdobs,etype,matchid
0,66.173,-158.2894,8.5778,1549234980.27649,409,21,1.06,0.6659,-,0
1,66.1592,-158.2707,13.9902,1549240527.55433,514,15,0.88,0.4562,-,1
2,66.3182,-157.1921,5.9306,1549434852.01785,689,25,0.98,0.7445,-,2
3,66.1539,-158.2728,12.9435,1549598710.46063,1058,31,2.08,0.4852,-,3
4,66.1639,-158.2235,7.5086,1549606361.06459,988,20,0.93,0.4137,-,4
5,66.2929,-157.2351,8.3646,1549617434.38257,1067,46,2.1,0.474,-,5
6,66.1529,-158.3449,8.2629,1549623387.94144,1006,30,2.28,0.4414,-,6
7,66.1855,-158.2621,2.8843,1549631814.59888,1074,23,0.86,0.4278,-,7
8,66.1788,-158.2855,0.2898,1549640496.5881,1076,23,1.08,0.416,-,8
9,66.1512,-158.2823,9.5203,1549681862.81837,1204,37,2.09,0.5415,-,9
10,66.1775,-158.1954,11.7505,1549687071.33707,1106,110,3.65,0.7796,-,10
11,66.1508,-158.3309,6.2677,1549688487.37732,1206,20,1.02,0.4885,-,11
12,66.1679,-158.2432,8.0204,1549689492.12991,1109,23,1.16,0.6397,-,12
13,66.175,-158.2776,3.3249,1549691273.20471,1209,24,0.82,0.4848,-,13
14,66.3274,-157.1699,4.922,1549765306.65268,1238,57,2.65,0.6866,-,14
15,66.3181,-157.1942,8.8403,1549805748.17525,1283,199,4.75,0.7781,-,15
16,66.3042,-157.161,19.5632,1549806001.82894,1336,30,2.93,0.6208,-,16
17,66.2994,-157.2526,5.8849,1549806285.81264,1337,25,1.46,0.5979,-,17
18,66.2924,-157.2134,19.2872,1549806627.44866,1338,27,1.44,0.8978,-,18
19,66.3217,-157.1993,11.3338,1549806663.27571,1339,21,1.44,0.6353,-,19
20,66.2968,-157.1534,18.0254,1549806982.56199,1343,27,1.46,0.5166,-,20
21,66.2915,-157.1804,15.8017,1549807128.62199,1340,30,1.63,0.6501,-,21
22,66.308,-157.1709,16.8816,1549807294.73902,1342,19,1.96,0.4644,-,22
23,66.2914,-157.1649,17.218,1549807362.18949,1344,21,2.33,0.5061,-,23
24,66.2868,-157.173,14.6731,1549807500.169,1285,58,2.46,0.6297,-,24
