,lat,lon,depth,time,evid,nass,ml,sdobs,etype
0,66.2956,-157.4439,6.3247,1549007881.64916,1056,6,-999.0,1.3626,-
2,66.2668,-157.2045,8.6108,1549015895.75664,1058,4,-999.0,0.0166,-
7,66.722,-157.3119,6.7114,1549033249.15169,1064,5,-999.0,0.2508,-
10,66.2701,-157.1915,26.5704,1549038275.0222,1068,8,3.0,0.6609,-
19,65.8867,-159.35,19.9701,1549098985.92201,1080,4,1.34,0.696,-
20,66.6883,-158.0555,25.0,1549099498.45781,1081,4,-999.0,-1.0,-
28,66.5041,-157.3802,0.0073,1549110705.58398,1090,8,1.41,1.5737,-
31,66.3617,-157.4852,17.0564,1549163728.12509,1093,8,1.55,0.8799,-
37,66.7584,-159.349,10.5317,1549215115.07891,1101,5,1.44,0.8951,-
40,66.1873,-158.3568,3.885,1549234766.06655,1104,13,1.19,0.7396,-
46,66.3436,-158.4279,89.265,1549244819.07898,1111,4,1.39,0.6882,-
53,66.0054,-158.708,16.5889,1549277445.61917,1118,8,1.44,0.6718,-
54,66.2598,-158.474,31.8818,1549277456.5564,1119,4,1.13,0.3937,-
59,65.9586,-158.369,24.207,1549291518.49206,1126,6,1.82,0.8845,-
61,66.002,-158.7403,12.8378,1549294253.2377,1128,7,1.44,0.7054,-
62,66.261,-158.4683,17.604,1549294265.08856,1129,4,0.89,0.5394,-
68,66.3531,-157.5141,1.4934,1549303083.63474,1135,9,1.89,0.9809,-
69,66.3273,-157.709,41.7832,1549303095.99065,1136,4,1.26,0.1879,-
73,66.4339,-158.7732,33.6486,1549309388.15021,1140,4,1.89,0.0108,-
76,66.6965,-157.5545,0.7423,1549314984.13175,1143,6,1.46,0.4896,-
77,66.5887,-158.0316,40.0,1549314995.31251,1144,4,-999.0,-1.0,-
78,66.2567,-157.2455,0.5587,1549317599.21564,1145,13,0.95,0.78,-
80,66.2098,-158.4112,0.2395,1549323812.14874,1147,10,1.44,0.7054,-
85,66.3089,-157.1826,1.7704,1549349758.37609,1152,11,-999.0,0.7833,-
86,66.7544,-158.0686,35.4075,1549361129.25605,1153,6,1.4,0.7602,-
91,66.2602,-157.1776,36.224,1549383942.22288,1159,7,1.47,0.5029,-
92,66.4845,-159.235,60.7703,1549383990.74565,1163,4,1.23,0.7902,-
93,66.5681,-158.8736,36.8624,1549385881.83397,1164,9,2.44,0.8529,-
96,66.436,-159.489,38.1611,1549395759.41247,1168,8,1.64,1.1042,-
98,66.0128,-158.2105,32.0095,1549409378.12931,1170,4,1.48,0.14,-
