,lat,lon,depth,time,evid,nass,ml,sdobs,etype,matchid
0,66.1548,-158.2701,7.1139,1549234980.30649,1105,15,1.33,0.5841,-,0
1,66.1641,-158.2632,6.0036,1549240527.34271,1106,19,1.3,0.7091,-,1
2,66.3123,-157.2246,0.1717,1549434852.24922,1175,13,1.2,0.6163,-,2
3,66.1719,-158.2692,4.9696,1549598709.84865,1214,16,2.08,0.5296,-,3
4,66.1538,-158.2518,1.8592,1549606360.85617,1215,18,1.24,0.4784,-,4
5,66.3016,-157.0883,0.0083,1549617433.88685,1218,17,2.12,0.6793,-,5
6,66.1685,-158.2647,6.5855,1549623387.15145,1221,16,2.31,0.5511,-,6
7,66.165,-158.3353,5.1976,1549631814.10457,1232,15,1.35,0.5964,-,7
8,66.1597,-158.2643,7.1761,1549640496.60078,1234,19,1.41,0.6154,-,8
9,66.1708,-158.2622,6.0731,1549681862.56904,1245,16,2.18,0.4948,-,9
10,66.1677,-158.2436,5.9982,1549687070.84782,1246,15,3.58,0.4515,-,10
11,66.1662,-158.2562,9.8912,1549688486.83518,1247,14,1.28,0.6431,-,11
12,66.1645,-158.2578,6.314,1549689491.92346,1248,17,1.4,0.4565,-,12
13,66.1537,-158.337,12.3587,1549691273.78926,1250,13,1.3,0.7543,-,13
14,66.3082,-157.0282,0.095,1549765306.19275,1272,16,2.7,0.786,-,14
15,66.3038,-157.213,4.017,1549805747.94622,1283,15,4.53,0.4521,-,15
16,66.314,-157.2118,4.9374,1549806002.66264,1285,18,2.93,0.7098,-,16
17,66.3165,-157.1561,9.7512,1549806285.99045,1286,17,1.69,0.5423,-,17
18,66.2855,-157.2154,0.0245,1549806628.27763,1293,13,1.56,0.8906,-,18
19,66.3204,-157.2083,1.69,1549806663.72431,1292,17,1.71,0.7788,-,19
20,66.2969,-157.1927,3.1901,1549806983.26958,1296,13,1.79,0.6607,-,20
21,66.2969,-157.1875,9.5345,1549807129.23108,1298,14,1.65,0.629,-,21
22,66.3183,-157.2122,0.1374,1549807295.08669,1300,11,1.79,0.7547,-,22
23,66.3159,-157.2155,10.055,1549807362.9371,1301,20,2.37,0.8399,-,23
24,66.2721,-157.1921,0.7931,1549807500.52912,1302,19,2.52,0.7545,-,24
